t_sec,x,y,z,solve_ms
4.404,0.2211,0.1502,-0.2015,1.557
4.503,0.1842,0.1164,-0.1584,1.126
4.603,0.2028,0.1256,-0.1553,1.208
4.704,0.2210,0.1354,-0.1518,1.541
4.804,0.2390,0.1450,-0.1482,1.346
4.903,0.2570,0.1546,-0.1446,1.103
5.003,0.2750,0.1642,-0.1410,1.331
5.103,0.2931,0.1738,-0.1373,1.292
5.204,0.3111,0.1833,-0.1337,1.520
5.303,0.3291,0.1929,-0.1301,1.275
5.403,0.3471,0.2025,-0.1265,1.137
5.503,0.3651,0.2121,-0.1229,1.055
5.603,0.3831,0.2217,-0.1192,1.241
5.703,0.4011,0.2313,-0.1156,1.102
5.803,0.4191,0.2409,-0.1120,1.497
5.904,0.4372,0.2505,-0.1084,1.612
6.003,0.4552,0.2600,-0.1048,1.313
6.104,0.4732,0.2696,-0.1011,1.612
6.203,0.4912,0.2792,-0.0975,1.116
6.303,0.5092,0.2888,-0.0939,1.272
6.403,0.5272,0.2984,-0.0903,1.225
6.504,0.5452,0.3080,-0.0867,1.397
6.603,0.5632,0.3176,-0.0830,1.132
6.704,0.5813,0.3272,-0.0794,1.632
6.803,0.5993,0.3367,-0.0758,1.160
6.904,0.6173,0.3463,-0.0722,1.520
7.004,0.6353,0.3559,-0.0685,1.831
7.103,0.6533,0.3655,-0.0649,1.212
7.203,0.6713,0.3751,-0.0613,1.096
7.303,0.6893,0.3847,-0.0577,1.178
7.403,0.7073,0.3943,-0.0541,1.098
7.504,0.7254,0.4039,-0.0504,1.712
7.603,0.7434,0.4134,-0.0468,1.259
7.703,0.7614,0.4230,-0.0432,1.124
7.804,0.7794,0.4326,-0.0396,1.763
7.904,0.7974,0.4422,-0.0360,2.049
8.004,0.8154,0.4518,-0.0323,1.536
8.104,0.8334,0.4614,-0.0287,1.496
8.204,0.8514,0.4710,-0.0251,1.612
8.304,0.8695,0.4806,-0.0215,1.142
8.403,0.8875,0.4901,-0.0179,1.281
8.503,0.9055,0.4997,-0.0142,1.207
8.603,0.9235,0.5093,-0.0106,1.050
8.704,0.9415,0.5189,-0.0070,1.677
8.803,0.9595,0.5285,-0.0034,1.145
8.903,0.9775,0.5381,0.0002,1.078
9.003,0.9955,0.5477,0.0039,1.198
9.104,1.0136,0.5573,0.0075,1.570
9.204,1.0316,0.5668,0.0111,1.463
9.304,1.0496,0.5764,0.0147,1.183
9.403,1.0676,0.5860,0.0184,1.087
9.411,1.0676,0.5860,0.0184,0.751
9.416,1.0426,0.6109,0.0113,1.535
14.929,1.0517,0.6157,0.0131,1.870
20.429,1.0561,0.6131,0.0460,1.654
25.932,1.0407,0.6326,0.0037,1.238
31.440,1.0149,0.6194,0.0294,1.413
36.952,1.0492,0.5935,0.0450,1.275
42.467,0.8492,0.4642,0.0229,2.105
47.974,0.6856,0.3601,0.0117,1.189
53.486,0.5098,0.2682,0.0171,1.725
58.995,0.5512,0.3076,0.0156,2.051
70.014,0.4331,0.2184,-0.0284,1.356
75.515,0.3987,0.2094,-0.0197,1.387
75.526,0.4109,0.1934,0.0374,1.811
86.526,0.3756,0.2221,-0.0030,1.558
86.529,0.3631,0.2223,-0.0133,1.285
92.046,0.3470,0.2609,0.0093,1.663
97.554,0.3043,0.2451,-0.0118,1.635
103.066,0.3463,0.2922,0.0067,1.404
108.566,0.3554,0.3145,0.0068,1.406
114.078,0.3695,0.2925,0.0036,1.402
119.578,0.3234,0.2907,-0.0422,1.556
125.095,0.3816,0.2411,-0.0400,1.731
130.605,0.3582,0.2858,-0.0445,1.487
136.115,0.3718,0.2749,0.7192,2.055
