t_sec,x,y,z,solve_ms
9.637,4.0881,-0.1273,0.2872,2.082
15.146,3.6542,0.0055,-0.0074,1.326
20.649,-1.8606,1.1776,5.3598,2.876
26.166,-5.3282,2.1812,4.8712,5.581
31.675,-5.7000,3.8898,5.0042,1.835
37.193,-7.6155,6.7036,5.0278,2.800
42.700,-5.4384,6.9502,5.1635,2.526
48.205,-5.5940,7.6126,4.5715,2.867
53.712,-2.5265,4.8834,1.2045,2.308
59.226,-0.1692,1.6604,0.9646,4.510
64.738,5.3585,-2.0489,1.0198,3.304
70.240,13.9773,-4.3509,1.1106,2.718
75.749,16.4163,-5.2081,1.1621,4.200
81.259,15.0640,-4.3894,1.0501,2.554
86.758,15.0293,-6.2089,1.0503,3.942
92.278,15.3210,-10.2349,1.0558,2.805
97.776,13.7850,-3.1629,1.2651,3.434
103.285,13.7619,-2.3384,1.7881,2.730
114.302,5.6367,-7.6798,4.9774,4.029
119.808,9.2675,-6.4642,3.8085,2.482
125.315,8.5408,-6.2823,3.5328,1.596
130.825,11.7492,-7.6645,2.4836,4.730
136.337,14.1186,-11.4909,2.3280,3.402
