t_sec,x,y,z,solve_ms
8.392,4.1750,0.1681,-0.2134,1.743
13.909,4.0915,0.1147,-0.1457,1.770
19.424,4.1475,0.1272,-0.1905,1.403
24.934,4.1088,0.0893,-0.1611,0.868
30.445,4.2007,0.1760,-0.1651,1.997
35.948,4.1044,0.1411,-0.1854,1.416
41.461,4.1681,0.1346,-0.1884,1.462
46.960,4.1456,0.1778,-0.1660,1.078
52.474,4.1049,0.1082,-0.1910,1.859
57.984,4.1001,0.1079,-0.1818,0.969
63.500,4.1210,0.1408,-0.1839,1.197
69.017,4.0937,0.0837,-0.1524,1.894
74.516,4.1401,0.1405,-0.2016,1.095
80.018,4.0934,0.0944,-0.1689,1.676
85.524,4.1344,0.1263,-0.1874,1.046
91.032,4.1056,0.0982,-0.1855,1.091
96.549,4.1314,0.1067,-0.1794,1.430
102.056,4.1032,0.0884,-0.1677,1.368
107.559,4.1198,0.1100,-0.1635,0.997
113.060,4.1027,0.1358,-0.1776,1.015
118.564,4.1623,0.1544,-0.1820,1.496
124.072,4.1384,0.1176,-0.1598,0.973
129.586,4.1073,0.1132,-0.1540,0.928
135.102,4.1473,0.1028,-0.1553,1.708
