t_sec,x,y,z,solve_ms
8.921,4.2032,0.2153,-0.2571,1.618
14.424,4.0898,0.1963,-0.2088,1.596
19.941,4.1991,0.2091,-0.2356,1.579
25.444,4.1206,0.2190,-0.2206,1.605
30.952,4.1801,0.1947,-0.2144,1.482
36.469,4.1267,0.2032,-0.2273,1.613
41.971,4.1409,0.1731,-0.1844,1.696
47.486,4.2102,0.2153,-0.2487,0.937
52.988,4.0938,0.2037,-0.1962,1.792
58.500,4.1816,0.1815,-0.2006,1.164
64.011,4.1195,0.1898,-0.2394,1.098
69.515,4.1952,0.2129,-0.2224,0.993
75.020,4.0997,0.1794,-0.2125,1.820
80.528,4.1471,0.1911,-0.2140,1.386
80.530,4.1384,0.1924,-0.2091,1.369
86.035,4.1282,0.1959,-0.1809,1.869
91.544,4.1536,0.2014,-0.1853,1.664
97.060,4.1339,0.2349,-0.1833,1.407
102.563,4.0443,0.2242,-0.1498,1.185
108.072,4.1244,0.2095,-0.1771,1.218
113.583,4.1473,0.2082,-0.1543,1.608
119.101,4.1215,0.2134,-0.1708,1.591
124.609,4.1440,0.2581,-0.1616,1.329
130.119,4.1208,0.2432,-0.1672,1.135
135.640,4.1177,0.2214,-0.3665,2.057
