t_sec,x,y,z,solve_ms
4.704,3.1986,0.1571,-0.2358,2.804
4.803,3.1669,0.3302,-0.0914,1.642
4.903,3.1496,0.2826,-0.0875,1.272
5.002,3.1351,0.2855,-0.0462,1.241
5.103,3.1204,0.2762,-0.0144,1.802
5.203,3.1056,0.2699,0.0199,1.874
5.302,3.0909,0.2629,0.0535,1.292
5.403,3.0762,0.2560,0.0873,2.027
5.502,3.0614,0.2491,0.1211,1.278
5.603,3.0467,0.2422,0.1548,1.589
5.702,3.0320,0.2353,0.1886,1.193
5.802,3.0173,0.2285,0.2223,1.277
5.902,3.0025,0.2216,0.2561,1.132
6.003,2.9878,0.2147,0.2898,1.256
6.103,2.9731,0.2078,0.3236,1.282
6.202,2.9583,0.2009,0.3574,1.317
6.303,2.9436,0.1940,0.3911,1.320
6.402,2.9289,0.1871,0.4249,1.178
6.503,2.9142,0.1802,0.4586,1.489
6.602,2.8994,0.1733,0.4924,1.180
6.703,2.8847,0.1664,0.5261,1.628
6.802,2.8700,0.1596,0.5599,1.208
6.904,2.8552,0.1527,0.5937,1.651
7.002,2.8405,0.1458,0.6274,1.171
7.102,2.8258,0.1389,0.6612,1.105
7.203,2.8093,0.1312,0.6991,1.470
7.303,2.7951,0.1245,0.7315,1.494
7.402,2.7802,0.1176,0.7656,1.341
7.502,2.7655,0.1107,0.7993,1.333
7.603,2.7508,0.1038,0.8330,1.533
7.702,2.7361,0.0969,0.8668,1.140
7.802,2.7213,0.0900,0.9005,1.120
7.902,2.7066,0.0832,0.9343,1.039
8.002,2.6919,0.0763,0.9681,1.190
8.103,2.6771,0.0694,1.0018,1.601
8.203,2.6624,0.0625,1.0356,1.300
8.303,2.6477,0.0556,1.0693,1.641
8.403,2.6330,0.0487,1.1031,1.359
8.503,2.6182,0.0418,1.1368,1.493
8.602,2.6035,0.0349,1.1706,1.207
8.703,2.5888,0.0280,1.2044,1.249
8.802,2.5740,0.0211,1.2381,1.122
8.902,2.5593,0.0143,1.2719,1.208
9.002,2.5446,0.0074,1.3056,1.105
9.103,2.5299,0.0005,1.3394,1.511
9.202,2.5151,-0.0064,1.3732,1.125
9.302,2.5004,-0.0133,1.4069,1.170
9.402,2.4857,-0.0202,1.4407,1.197
9.502,2.4709,-0.0271,1.4744,1.191
9.603,2.4562,-0.0340,1.5082,1.101
10.203,2.1954,-0.0173,3.0086,1.003
10.303,2.1588,-0.0411,2.6322,1.752
10.402,2.0803,-0.0610,3.1117,1.198
10.503,2.0463,-0.0717,3.3222,1.161
10.603,2.0215,-0.0787,3.6203,1.160
10.703,2.0072,-0.0829,3.8893,1.279
10.803,1.9980,-0.0856,4.1680,1.609
10.903,1.9924,-0.0872,4.4435,1.341
11.003,1.9890,-0.0882,4.6661,1.415
11.103,1.9868,-0.0889,4.8177,1.352
11.203,1.9855,-0.0893,4.9085,1.227
11.303,1.9847,-0.0895,4.9655,1.346
11.403,1.9841,-0.0897,5.0005,1.455
11.503,1.9838,-0.0897,5.0223,1.404
11.603,1.9836,-0.0898,5.0357,1.400
11.704,1.9835,-0.0898,5.0441,1.786
11.803,1.9834,-0.0899,5.0492,1.296
11.903,1.9834,-0.0899,5.0524,1.436
12.003,1.9834,-0.0899,5.0544,1.345
12.103,1.9833,-0.0899,5.0556,1.425
12.203,1.9833,-0.0899,5.0564,1.411
12.303,1.9833,-0.0899,5.0568,1.743
12.403,1.9833,-0.0899,5.0571,1.295
12.503,1.9833,-0.0899,5.0573,1.308
12.603,1.9833,-0.0899,5.0574,1.069
12.703,1.9833,-0.0899,5.0575,1.057
12.802,1.9833,-0.0899,5.0575,1.056
12.903,1.9833,-0.0899,5.0575,1.061
13.003,1.9833,-0.0899,5.0576,1.641
13.103,1.9833,-0.0899,5.0576,1.451
13.203,1.9833,-0.0899,5.0576,1.277
13.303,1.9833,-0.0899,5.0576,1.498
13.403,1.9833,-0.0899,5.0576,1.761
13.503,1.9833,-0.0899,5.0576,1.021
13.603,1.9833,-0.0899,5.0576,1.257
13.702,1.9833,-0.0899,5.0576,1.118
13.803,1.9833,-0.0899,5.0576,1.298
13.902,1.9833,-0.0899,5.0576,1.180
14.003,1.9833,-0.0899,5.0576,1.241
14.103,1.9833,-0.0899,5.0576,1.177
14.202,1.9833,-0.0899,5.0576,0.838
14.302,1.9833,-0.0899,5.0576,1.256
14.403,1.9833,-0.0899,5.0576,1.214
14.503,1.9833,-0.0899,5.0576,1.360
14.603,1.9833,-0.0899,5.0576,1.568
14.703,1.9833,-0.0899,5.0576,0.856
14.803,1.9833,-0.0899,5.0576,1.227
14.903,1.9833,-0.0899,5.0576,0.782
15.002,1.9833,-0.0899,5.0576,0.698
15.102,1.9833,-0.0899,5.0576,0.927
15.138,1.9833,-0.0899,5.0576,0.948
20.643,2.0043,-0.0384,5.6996,2.682
26.144,2.0117,-0.0830,5.4985,0.877
31.656,1.5377,-0.1130,5.7971,2.013
37.174,2.7635,1.4362,4.9501,4.374
42.676,0.3721,-0.1469,6.8996,3.084
48.182,2.3991,1.6958,2.2993,6.115
53.689,9.5884,3.1223,5.5769,6.219
59.194,9.3054,2.1798,3.0226,1.461
64.698,9.4375,2.3494,0.5103,1.888
70.214,9.3766,2.2705,2.3479,1.368
81.238,4.0631,2.0322,-2.8619,3.512
86.737,0.0689,0.0969,0.6372,2.613
92.257,3.1568,0.6965,0.9574,3.261
97.769,1.9354,0.2005,0.7911,2.019
103.269,2.4097,0.2785,0.2181,2.315
108.775,2.3317,0.1394,0.2463,1.299
119.806,2.3158,0.1328,0.6997,1.272
125.319,2.5002,0.1830,0.3306,1.494
125.377,2.4356,0.1578,0.4220,1.025
125.477,2.4065,0.1798,0.3887,1.021
125.578,2.4156,0.1418,0.3779,1.083
125.677,2.4543,0.1212,0.4050,1.085
125.777,2.4007,0.1270,0.4217,0.896
125.877,2.4331,0.1307,0.3971,0.948
125.977,2.4481,0.1226,0.4369,1.126
126.077,2.4364,0.1443,0.4038,1.066
126.177,2.4725,0.1586,0.4375,1.138
126.278,2.4603,0.1746,0.4269,1.473
126.378,2.4550,0.1534,0.4320,1.440
126.477,2.4481,0.1751,0.4225,1.087
126.577,2.4902,0.1707,0.4394,1.170
126.678,2.4828,0.1741,0.4264,1.808
126.778,2.4658,0.1958,0.4394,1.874
126.879,2.4753,0.1977,0.4323,1.979
126.979,2.5016,0.1643,0.4334,1.691
127.078,2.4718,0.1656,0.4223,2.007
127.177,2.4851,0.1473,0.4151,1.339
127.277,2.4857,0.1415,0.4594,1.099
127.377,2.4587,0.1526,0.4233,1.230
127.478,2.4688,0.1987,0.4191,2.006
127.577,2.4120,0.1974,0.3831,1.830
127.677,2.4272,0.1917,0.3677,1.644
127.777,2.4207,0.1796,0.3669,1.346
127.878,2.4393,0.1893,0.3888,1.199
127.978,2.4585,0.2080,0.3717,1.530
128.078,2.4425,0.2458,0.3457,1.764
128.177,2.4552,0.2429,0.4157,1.159
128.279,2.4239,0.2462,0.4007,1.951
128.377,2.4025,0.2360,0.3817,1.130
128.478,2.3892,0.2571,0.4190,1.201
128.577,2.3743,0.2748,0.4030,1.228
128.677,2.3333,0.3000,0.3895,1.141
128.777,2.2790,0.3431,0.4424,1.260
128.878,2.2531,0.3614,0.4553,1.781
128.977,2.1779,0.4015,0.4627,1.146
129.077,2.1628,0.4046,0.4835,1.148
129.177,2.1264,0.4896,0.5014,1.280
129.278,2.1257,0.5629,0.5153,1.024
129.377,2.1046,0.7168,0.5066,1.034
129.478,2.1137,0.7835,0.4745,1.697
129.578,2.1053,0.9326,0.4362,1.398
129.678,2.1117,0.9997,0.3992,1.600
129.778,2.0719,1.1342,0.3934,1.294
129.877,2.0608,1.1789,0.3636,1.080
129.978,2.0386,1.2930,0.3464,1.528
130.078,2.0099,1.2826,0.3244,1.503
130.177,2.0084,1.3952,0.2835,1.238
130.277,1.9789,1.4163,0.2084,1.261
130.377,1.9780,1.4497,0.1703,1.164
130.477,1.9964,1.4205,0.1308,1.140
130.578,1.9303,1.4447,0.0500,1.886
130.678,1.9178,1.4385,-0.0012,1.979
130.778,1.9167,1.4565,-0.0454,1.740
130.878,1.9391,1.4506,-0.0468,1.342
130.977,1.8915,1.4545,-0.1118,1.128
131.078,1.9190,1.4137,-0.1432,1.889
131.177,1.8493,1.3929,-0.1815,1.213
131.278,1.8408,1.2579,-0.2048,1.756
131.378,1.8637,1.1571,-0.2562,1.753
131.478,1.8762,1.0777,-0.2724,1.738
131.578,1.8496,0.9144,-0.2842,2.186
131.677,1.8662,0.8534,-0.2821,1.037
131.777,1.8593,0.7478,-0.2987,1.389
131.878,1.8270,0.6726,-0.3123,1.260
131.978,1.7875,0.6534,-0.2962,2.012
132.078,1.7460,0.6416,-0.3055,1.466
132.177,1.6796,0.6561,-0.2946,1.525
132.277,1.6772,0.7071,-0.3034,1.083
132.378,1.6531,0.7317,-0.3043,1.636
132.477,1.6352,0.8193,-0.3107,1.132
132.577,1.6561,0.8851,-0.3217,1.120
132.677,1.6498,0.9882,-0.3203,1.108
132.778,1.6765,1.0883,-0.3167,1.159
132.878,1.6574,1.1186,-0.3189,1.347
132.977,1.7400,1.1720,-0.2959,1.070
133.077,1.7097,1.1896,-0.3046,1.152
133.178,1.7277,1.2367,-0.2683,1.671
133.277,1.7377,1.3613,-0.2517,1.130
133.377,1.7582,1.4795,-0.1715,1.464
133.477,1.8831,1.4648,-0.1817,1.060
133.578,2.0867,1.5416,-0.1880,1.149
133.677,2.1648,1.6031,-0.2095,1.124
133.778,2.2581,1.7600,-0.1891,1.005
133.878,2.3091,1.8412,-0.1609,1.181
133.978,2.2335,2.0621,-0.0557,1.967
134.077,2.1805,2.1457,-0.0030,1.031
134.177,2.1171,2.3589,0.0560,1.444
134.279,2.0409,2.4853,0.0998,2.298
134.377,1.8621,2.6645,0.1954,1.064
134.478,1.7839,2.7516,0.1648,1.393
134.578,1.6100,2.8435,0.2011,1.237
134.677,1.5630,2.8850,0.2189,1.054
134.778,1.4695,2.9326,0.1828,1.225
134.877,1.4474,2.8829,0.1451,1.121
134.977,1.3839,2.8734,0.1377,1.073
135.077,1.3812,2.8045,0.1152,1.286
135.177,1.4172,2.6542,0.0456,1.129
135.277,1.4216,2.5318,0.0092,1.296
135.377,1.4574,2.3814,-0.0346,1.281
135.477,1.4826,2.2973,-0.0558,1.182
135.577,1.4953,2.1079,-0.1096,1.307
135.678,1.5401,1.9787,-0.1357,1.558
135.777,1.5730,1.8748,-0.1367,0.926
135.877,1.5831,1.7615,-0.1568,0.980
135.977,1.6408,1.6563,-0.1783,1.094
136.077,1.6493,1.5445,-0.2079,1.234
136.177,1.6661,1.3381,-0.2352,1.004
136.278,1.6750,1.2818,-0.2533,1.470
136.377,1.7202,1.2900,-0.2873,1.078
