t_sec,x,y,z,solve_ms
7.582,4.1263,2.1942,-0.0992,3.057
13.094,4.0831,2.1344,-0.1661,1.037
18.600,4.1485,2.1027,-0.1590,1.674
24.116,4.1413,2.1505,-0.2050,1.640
29.625,4.1425,2.1498,-0.2203,1.892
35.131,4.1006,2.1346,-0.2081,2.326
40.637,4.1095,2.1162,-0.1433,1.191
46.150,4.0947,2.0794,-0.1765,1.164
51.670,4.0983,2.0867,-0.1031,1.713
57.185,4.1512,2.1073,-0.1359,1.090
62.695,4.1115,2.1326,-0.1186,1.579
68.210,4.1960,2.1837,-0.1393,1.102
73.723,4.1164,2.0588,-0.1049,1.570
79.232,4.1345,2.0663,-0.1506,1.808
84.751,4.1710,2.1220,-0.1327,2.270
90.263,4.1677,2.0717,-0.1657,2.015
95.770,4.0723,2.0750,-0.1024,1.266
101.283,4.3198,2.2241,-0.1364,1.791
106.799,4.4173,2.3632,-0.1487,2.441
112.298,4.6690,2.5434,-0.1566,1.250
117.811,4.6493,2.4941,-0.1710,1.366
123.322,4.6539,2.5358,-0.1700,1.192
128.829,4.6179,2.4463,-0.1176,1.080
134.344,4.6696,2.5545,-0.3224,1.170
