t_sec,x,y,z,solve_ms
4.380,2.1599,0.8746,0.9481,3.044
4.478,2.3510,1.1588,0.7660,1.081
4.579,2.3231,1.1242,0.7699,1.743
4.679,2.3189,1.1481,0.7664,1.700
4.778,2.3035,1.1425,0.7062,1.121
4.878,2.2512,1.1031,0.7647,1.075
4.978,2.2158,1.0672,0.7212,0.982
5.078,2.1212,1.0402,0.7939,1.073
5.178,2.0037,0.9942,0.8465,1.138
5.278,1.8743,0.9756,0.9207,1.196
5.379,1.7802,0.9528,0.9883,1.360
5.479,1.6727,0.9519,1.1092,1.440
5.578,1.5535,0.9204,1.2580,1.107
5.679,1.4233,0.8934,1.4734,1.883
5.778,1.3826,0.8786,1.5613,0.849
5.878,1.2859,0.8738,1.7953,1.154
5.978,1.2142,0.8388,1.9253,1.264
6.078,1.1128,0.8029,2.0631,1.017
6.178,1.0633,0.8081,2.1583,1.055
6.278,1.0027,0.7944,2.2725,0.998
6.378,0.9535,0.7879,2.3593,1.003
6.478,0.9344,0.7903,2.4220,0.898
6.578,0.8798,0.7334,2.4519,1.095
6.678,0.8223,0.6936,2.5295,1.091
6.779,0.7700,0.6978,2.5811,1.744
6.878,0.7418,0.6369,2.6101,1.133
6.979,0.7214,0.6079,2.6136,1.664
7.079,0.6714,0.6513,2.6662,1.611
7.178,0.6766,0.6663,2.6537,1.014
7.278,0.6567,0.6982,2.7156,1.220
7.379,0.6625,0.6934,2.7127,1.683
7.478,0.6551,0.7644,2.7827,1.420
7.579,0.6904,0.7784,2.7698,1.422
7.679,0.7399,0.8125,2.8033,1.528
7.778,0.7921,0.8432,2.7621,1.043
7.878,0.8633,0.9232,2.7426,1.003
7.979,0.9710,0.9223,2.7395,1.215
8.078,1.0982,0.9925,2.7209,1.417
8.178,1.2381,1.0897,2.6398,1.160
8.278,1.5067,1.1615,2.5869,1.012
8.379,1.6864,1.1995,2.5249,1.343
8.478,2.0518,1.3354,2.3823,1.554
8.579,2.2545,1.3518,2.2403,1.679
8.678,2.6018,1.4164,1.9784,1.005
8.779,2.8256,1.4895,1.7891,1.641
8.879,3.0895,1.5588,1.5321,1.416
8.979,3.2270,1.6057,1.3680,1.735
9.081,3.4200,1.6413,1.0509,1.844
9.178,3.5021,1.7058,0.9299,1.110
9.279,3.6283,1.7931,0.6205,1.236
9.379,3.6674,1.8226,0.4572,1.761
9.479,3.7775,1.8355,0.2597,1.879
9.578,3.8195,1.8814,0.1629,1.134
9.679,3.8512,1.9432,0.0312,1.327
9.778,3.8779,1.9465,-0.0564,0.974
9.878,3.9476,1.9809,-0.1276,1.015
9.979,3.9441,2.0120,-0.1963,1.788
10.079,3.9117,2.0254,-0.2816,1.675
10.179,3.9036,2.0812,-0.2964,1.750
10.279,3.8772,2.1199,-0.3933,2.148
10.379,3.8853,2.1160,-0.4153,1.372
10.478,3.8202,2.1421,-0.4781,1.323
10.578,3.7697,2.1542,-0.4951,1.085
10.678,3.7584,2.1958,-0.5549,1.080
10.778,3.7513,2.1489,-0.5954,1.141
10.878,3.7202,2.1900,-0.6768,1.283
10.979,3.7092,2.1561,-0.7909,1.420
11.078,3.6416,2.2128,-0.9327,1.026
11.179,3.6348,2.2123,-1.1206,1.638
11.279,3.6360,2.2672,-1.2972,1.416
11.379,3.6100,2.2429,-1.5274,1.435
11.479,3.6849,2.2877,-1.6173,1.611
11.579,3.8158,2.2884,-1.6426,1.535
11.679,3.9324,2.3003,-1.6533,1.567
11.778,4.1311,2.3949,-1.6007,1.088
11.878,4.2766,2.4605,-1.6140,1.489
11.979,4.4416,2.4697,-1.6571,1.757
12.078,4.6910,2.5259,-1.7495,1.435
12.178,4.8480,2.6682,-1.7735,0.959
12.278,4.9974,2.7794,-1.8229,1.149
12.378,5.0710,2.7936,-1.8642,1.201
12.479,5.1326,2.7759,-1.8526,1.705
12.578,5.1643,2.8342,-1.8077,1.167
12.678,5.2261,2.8447,-1.7488,1.310
12.779,5.2988,2.8909,-1.7511,2.046
12.879,5.3538,2.9074,-1.7331,1.677
12.978,5.4258,2.9368,-1.7085,1.327
13.079,5.4742,2.9589,-1.6114,1.186
13.179,5.4853,2.9492,-1.5669,1.302
13.278,5.5757,2.9724,-1.5411,1.200
13.379,5.6158,3.0060,-1.4895,1.548
13.478,5.5781,3.0105,-1.4245,1.003
13.579,5.5867,3.0106,-1.3789,1.433
13.679,5.5164,2.9824,-1.3138,1.674
13.778,5.4970,2.9944,-1.2623,1.113
13.878,5.4122,2.9520,-1.2353,1.448
13.978,5.3144,2.9387,-1.1454,1.241
14.078,5.1871,2.8785,-1.1273,1.389
14.179,5.0903,2.8811,-1.0447,1.469
14.279,4.9594,2.8481,-1.0333,1.462
14.378,4.8507,2.8317,-1.0258,1.034
14.480,4.7828,2.7967,-1.0460,1.943
14.579,4.7060,2.7831,-1.0227,1.584
14.679,4.6330,2.7396,-0.9989,1.729
14.779,4.5639,2.7471,-0.9734,1.307
14.878,4.4578,2.6891,-0.9630,1.243
14.979,4.3842,2.6650,-0.9780,1.539
15.078,4.3297,2.6360,-0.9544,1.003
15.179,4.2600,2.6232,-0.9545,1.583
15.278,4.2019,2.6266,-0.9545,1.080
15.379,4.1527,2.5901,-0.9205,1.744
15.479,4.0714,2.5551,-0.9655,1.345
15.578,4.0517,2.5385,-0.9463,1.443
15.678,4.0453,2.5521,-0.9385,1.240
15.779,4.0199,2.5501,-0.9479,1.728
15.879,3.9987,2.5463,-0.9353,1.566
15.978,3.9607,2.5471,-0.9549,1.125
16.079,3.9753,2.5536,-0.9369,1.369
16.178,3.9677,2.5291,-0.8824,0.993
16.279,3.9375,2.5170,-0.8927,1.506
16.378,3.9386,2.5008,-0.9156,1.066
16.479,3.9826,2.5327,-0.8955,1.737
16.579,4.0251,2.5098,-0.9306,1.498
16.681,4.0311,2.5384,-0.8948,2.216
16.779,4.0350,2.5206,-0.9170,1.611
16.878,4.0629,2.5120,-0.9206,1.297
16.979,4.0770,2.5524,-0.9130,1.211
17.079,4.0171,2.5100,-0.9196,1.636
17.178,4.0261,2.5428,-0.9302,1.216
17.278,4.0533,2.5610,-0.9321,0.959
17.379,4.0249,2.5473,-0.9144,1.008
17.479,4.0322,2.5479,-0.9273,1.072
17.579,3.9986,2.5727,-0.9282,1.526
17.678,4.0356,2.5789,-0.9136,1.089
17.779,4.0031,2.5494,-0.8921,1.345
17.878,4.0034,2.5860,-0.9020,0.985
17.978,4.0383,2.6028,-0.9380,1.080
18.079,4.0100,2.5897,-0.9080,1.429
18.178,4.0334,2.6100,-0.9068,1.205
18.278,4.0186,2.6214,-0.8801,1.311
18.378,4.0595,2.6338,-0.9012,1.229
18.479,4.1032,2.6323,-0.9031,1.526
18.579,4.0564,2.6490,-0.8988,1.478
18.680,4.0851,2.6422,-0.8595,1.642
18.778,4.1014,2.6458,-0.8573,1.085
