t_sec,x,y,z,solve_ms
13.403,4.1470,2.1141,-0.1458,1.427
18.910,4.0766,2.0818,-0.1060,1.845
24.419,4.0767,2.0739,-0.1420,1.076
29.928,4.0895,2.0816,-0.1364,1.837
46.457,4.0727,2.1034,-0.0870,1.730
51.970,4.0659,2.0979,-0.1018,1.018
57.480,4.0943,2.1013,-0.0969,1.762
62.987,4.0654,2.0928,-0.1183,1.547
68.494,4.1029,2.1164,-0.1304,1.497
79.506,4.1046,2.0971,-0.0947,1.034
85.015,4.1107,2.1093,-0.0858,1.439
90.520,4.0979,2.0665,-0.0643,2.067
96.031,4.0287,2.0132,-0.0391,1.323
101.535,4.1049,2.0769,-0.0390,1.249
107.039,4.0486,2.0490,-0.0387,1.337
118.052,4.0567,2.0289,-0.0271,1.905
129.086,4.0300,2.0538,-0.0114,1.264
129.128,4.0526,2.0183,-0.0429,1.101
129.228,4.0624,2.0118,-0.0426,1.206
129.329,4.0423,2.0311,-0.0299,2.035
129.429,4.0764,2.0503,-0.0257,1.363
129.528,4.0827,2.0262,-0.0273,1.209
129.629,4.1604,2.0862,-0.0676,1.593
129.729,4.0852,2.0508,-0.0570,1.861
129.829,4.1142,2.0622,-0.0444,1.382
129.929,4.1043,2.0851,-0.0004,1.630
130.029,4.1215,2.0387,-0.0572,1.767
130.129,4.1079,2.0607,-0.0216,1.590
130.230,4.1389,2.0296,-0.0602,2.182
130.329,4.1031,2.0235,-0.0199,1.962
130.429,4.1326,2.0344,-0.0295,1.240
130.529,4.1061,2.0494,-0.0563,1.286
130.629,4.1193,2.0773,-0.0920,1.699
130.728,4.1484,2.0646,-0.0960,1.254
130.829,4.1172,2.0554,-0.0877,1.365
130.929,4.1374,2.0897,-0.0750,1.400
131.029,4.0913,2.0554,-0.1238,1.510
131.129,4.1024,2.0439,-0.1164,1.157
131.228,4.1070,2.0881,-0.1140,1.045
131.329,4.0596,2.0365,-0.1055,1.326
131.428,4.0799,2.1017,-0.0839,1.323
131.529,4.0765,2.0118,-0.0870,1.441
131.629,4.0864,2.0129,-0.0509,1.741
131.729,4.0803,2.0603,-0.0594,1.904
131.830,4.1103,2.0520,-0.0492,1.290
131.929,4.1301,2.0669,-0.0390,1.231
132.028,4.0984,2.0415,-0.0751,1.065
132.128,4.1354,2.0700,-0.0696,1.106
132.228,4.1143,2.0149,-0.0731,1.137
132.328,4.1108,2.0758,-0.0537,1.157
132.428,4.1155,2.0570,-0.0425,1.096
132.528,4.1038,2.0691,-0.0562,0.947
132.629,4.1438,2.0835,-0.0767,1.746
132.728,4.1622,2.0538,-0.1108,1.131
132.829,4.1470,2.0291,-0.0900,1.743
132.930,4.1736,2.0711,-0.1183,2.012
133.030,4.1820,2.0386,-0.1319,2.314
133.129,4.1334,2.0740,-0.0635,1.825
133.229,4.1542,2.0512,-0.0584,1.972
133.328,4.1149,2.0768,-0.0221,0.993
133.428,4.1009,2.0443,-0.0172,1.062
133.528,4.0842,2.0559,-0.0205,1.089
133.629,4.0876,1.9912,-0.0591,1.258
133.730,4.1024,2.0230,-0.0581,1.912
133.829,4.0959,2.0108,-0.0787,1.814
133.930,4.1071,1.9766,-0.0673,1.826
134.030,4.1066,1.9786,-0.0551,1.846
134.130,4.1197,1.9990,-0.0460,2.138
134.229,4.1118,1.9852,-0.0579,1.726
134.329,4.1251,2.0005,-0.0758,1.303
134.428,4.1230,2.0024,-0.0801,1.218
134.528,4.1319,1.9738,-0.0900,1.352
134.629,4.1293,1.9929,-0.1143,1.367
134.729,4.1390,2.0260,-0.0845,1.631
134.829,4.1377,2.0374,-0.0895,1.617
134.929,4.1312,2.0165,-0.0195,1.257
135.029,4.1103,2.0693,-0.0452,1.813
135.128,4.1203,2.0970,-0.0367,1.038
135.230,4.1193,2.1185,-0.0463,1.769
135.328,4.1096,2.1317,-0.0421,1.036
135.428,4.1128,2.1594,-0.0487,1.078
135.529,4.1185,2.2131,-0.0593,1.547
135.628,4.1004,2.1579,-0.0588,0.969
135.728,4.1232,2.1833,-0.0506,0.961
135.828,4.1339,2.1722,-0.0773,0.989
135.930,4.1118,2.1626,-0.0978,1.108
136.029,4.0841,2.1651,-0.0890,1.885
136.129,4.0918,2.2004,-0.0978,1.372
136.229,4.1075,2.2051,-0.0834,1.389
136.329,4.1094,2.1698,-0.0663,1.388
136.428,4.0808,2.0995,-0.0828,1.116
136.528,4.1217,2.1651,-0.0929,1.036
136.628,4.1059,2.1482,-0.1068,1.009
136.729,4.1038,2.1852,-0.0983,1.979
136.828,4.0952,2.1511,-0.0707,1.212
136.928,4.0939,2.1762,-0.0804,1.291
137.030,4.0494,2.1620,-0.0676,1.867
137.128,4.0695,2.1691,-0.0693,1.147
137.228,4.0441,2.1569,-0.0686,1.188
137.329,4.0344,2.1622,-0.0487,1.939
137.429,4.0152,2.1112,-0.0770,1.309
137.528,4.0307,2.0951,-0.0623,1.042
137.628,3.9730,2.0910,-0.0679,1.149
137.728,3.9641,2.0960,-0.0637,1.066
137.829,3.9994,2.0633,-0.0429,1.194
137.929,3.9920,2.0645,-0.0342,1.275
138.029,4.0274,2.0708,-0.0390,1.892
138.129,4.0168,2.0491,-0.0499,1.352
138.229,3.9983,2.0246,-0.0388,1.655
138.328,4.0114,2.0426,-0.0373,1.135
138.429,3.9947,2.0142,-0.0460,1.351
138.529,4.0176,2.0642,-0.0657,1.381
138.628,3.9879,2.0536,-0.0176,1.246
138.730,4.0440,2.0780,-0.0403,1.450
