t_sec,x,y,z,solve_ms
9.426,4.1950,2.0183,0.2430,2.586
14.935,3.5867,2.3166,-0.1307,1.528
20.440,4.0671,1.9264,0.3870,2.092
25.953,4.1307,2.0302,0.0440,1.474
31.465,4.5633,1.8079,-0.1028,2.433
36.978,0.7802,0.5147,0.3343,3.756
42.482,4.3839,2.3903,-0.5779,3.679
47.997,0.9346,0.5179,-0.5644,2.826
53.504,1.1817,0.9093,-0.4140,1.977
59.017,1.1372,0.8647,-0.1348,1.441
64.526,1.1201,0.8971,-0.1733,1.196
70.032,1.1112,0.8945,-0.1774,1.792
75.549,0.6479,0.8571,0.0352,2.337
81.063,0.9782,0.7505,0.9447,1.485
86.578,1.1510,0.9019,-0.8617,1.343
92.092,1.1636,0.9456,-0.8617,1.447
97.601,1.1087,0.9161,-0.9154,1.038
103.108,1.1756,0.9434,-0.8703,1.673
103.111,1.1651,0.9062,-0.8902,1.521
108.617,4.1780,2.5387,-2.0746,2.751
114.117,3.9806,2.2359,-0.6147,2.299
119.626,4.0034,2.4905,-1.4208,3.143
125.142,0.7321,1.0831,-1.1462,3.320
130.663,3.7916,3.0623,-2.0445,7.004
136.170,2.7653,2.5866,-1.8800,2.218
