t_sec,x,y,z,solve_ms
26.5580,2.002433,1.990813,4.879412,0.000
32.0675,2.187071,1.976672,5.108562,0.000
37.5791,3.963640,2.474437,3.762210,0.000
43.0950,2.886641,1.695760,5.513841,0.000
54.1218,2.886641,1.695760,5.513841,0.000
59.6387,0.851802,0.405953,14.511676,0.000
65.1470,0.855427,0.459300,14.519242,0.000
70.6563,-8.490511,-8.248336,14.242532,0.000
76.1689,-0.281440,-0.358725,13.241235,0.000
81.6839,-6.121505,-5.823666,14.023278,0.000
87.1875,-7.789807,-7.371338,13.914384,0.000
98.1922,-7.789807,-7.371338,13.914384,0.000
103.6974,2.531417,2.855349,11.361404,0.000
109.1967,3.864785,2.291734,10.772489,0.000
114.7125,3.054515,1.241266,13.640195,0.000
125.7133,0.110513,-0.041579,-0.918852,0.000
131.2233,-2.734317,-3.054769,5.913357,0.000
