t_sec,x,y,z,solve_ms
3.0534,4.973408,3.539930,2.443474,0.000
3.0541,5.014454,3.565598,2.421890,0.000
3.0545,5.004088,3.580798,2.434454,0.000
3.0548,5.014309,3.552970,2.434213,0.000
3.0550,5.011630,3.539299,2.416136,0.000
3.1399,5.005059,3.500214,2.406744,0.000
3.2401,5.032188,3.516193,2.349855,0.000
3.3399,5.013160,3.452427,2.363978,0.000
3.4409,5.002171,3.470679,2.356578,0.000
3.5410,5.007182,3.500339,2.393323,0.000
3.6507,5.003238,3.507086,2.376617,0.000
3.7402,4.998650,3.485264,2.394301,0.000
3.8403,5.005003,3.501560,2.402275,0.000
3.9415,5.007436,3.565076,2.389765,0.000
4.0422,5.007126,3.541931,2.409502,0.000
4.1410,5.008047,3.549898,2.400389,0.000
4.2405,4.990937,3.529644,2.428180,0.000
4.3404,4.963907,3.544889,2.407882,0.000
4.4400,4.968136,3.590999,2.434560,0.000
4.5404,5.021742,3.627719,2.429620,0.000
4.6412,4.986988,3.610362,2.432896,0.000
4.7408,5.010632,3.617785,2.413588,0.000
4.8404,4.987500,3.612018,2.419905,0.000
4.9408,5.005081,3.617152,2.388373,0.000
5.0407,5.020652,3.639552,2.425830,0.000
5.1401,4.969668,3.655597,2.387546,0.000
5.2409,4.997096,3.648133,2.391884,0.000
5.3402,4.993277,3.683881,2.365434,0.000
5.4404,4.960700,3.680842,2.391021,0.000
5.5406,4.962165,3.684181,2.359747,0.000
5.6404,4.971041,3.656232,2.361551,0.000
5.7403,4.959373,3.678358,2.361264,0.000
5.8410,4.937446,3.665028,2.343277,0.000
5.9409,4.893736,3.678590,2.316384,0.000
6.0410,4.956766,3.686086,2.306174,0.000
6.1408,4.961540,3.677015,2.300716,0.000
6.2409,4.960357,3.710875,2.284522,0.000
6.3417,4.972111,3.742386,2.300962,0.000
6.4403,4.952983,3.675426,2.347116,0.000
6.5409,4.946648,3.710680,2.323162,0.000
6.6407,4.952303,3.719520,2.339650,0.000
6.7410,4.980694,3.720611,2.357795,0.000
6.8412,4.995459,3.709502,2.327235,0.000
6.9405,4.941525,3.672832,2.323702,0.000
7.0410,4.969365,3.664576,2.328312,0.000
7.1418,4.967468,3.666459,2.318180,0.000
7.2409,4.974396,3.640480,2.302802,0.000
7.3413,4.987270,3.624040,2.320722,0.000
7.4403,4.961486,3.660590,2.324544,0.000
7.5406,4.946019,3.629438,2.314532,0.000
7.6403,4.991961,3.647400,2.260337,0.000
7.7405,4.978464,3.658262,2.270806,0.000
7.8408,4.987394,3.659531,2.247280,0.000
7.9402,5.009988,3.669165,2.192456,0.000
8.0410,4.946482,3.654981,2.213550,0.000
8.1408,4.968361,3.665121,2.208045,0.000
8.2413,4.999772,3.678695,2.195204,0.000
8.3414,5.036053,3.676647,2.190460,0.000
8.4409,5.056780,3.641158,2.156751,0.000
8.5400,5.066677,3.692993,2.169051,0.000
8.6402,5.058573,3.665213,2.158152,0.000
8.7399,5.044226,3.657812,2.156147,0.000
8.8407,5.055864,3.617061,2.191875,0.000
8.9406,5.055771,3.674846,2.169771,0.000
9.0405,5.031119,3.680421,2.202506,0.000
9.1417,5.033734,3.661700,2.201068,0.000
9.2401,5.078756,3.677217,2.214694,0.000
9.3426,5.044364,3.653794,2.207405,0.000
9.4404,5.010799,3.657166,2.224423,0.000
9.5405,5.005830,3.673366,2.219262,0.000
9.6398,5.051188,3.733559,2.195072,0.000
9.7407,5.018709,3.688998,2.201351,0.000
9.8400,5.001311,3.644148,2.218072,0.000
9.9409,5.021893,3.627375,2.186661,0.000
10.0402,4.967207,3.643485,2.216580,0.000
10.1400,4.948321,3.657324,2.230222,0.000
10.2407,4.923859,3.633990,2.229089,0.000
10.3399,4.898411,3.613939,2.274978,0.000
10.4396,4.924494,3.655429,2.250370,0.000
10.5407,4.891299,3.666496,2.262538,0.000
10.6401,4.905832,3.671342,2.258818,0.000
10.7398,4.916969,3.682951,2.237962,0.000
10.8396,4.911585,3.663388,2.254231,0.000
10.9400,4.921575,3.673446,2.241582,0.000
11.0403,4.933812,3.661072,2.231542,0.000
11.1404,4.906747,3.689456,2.254991,0.000
11.2402,4.923277,3.652898,2.252213,0.000
11.3405,4.885171,3.673647,2.240867,0.000
11.4399,4.921672,3.676449,2.268691,0.000
11.5394,4.941978,3.712886,2.245080,0.000
11.6414,4.908027,3.678081,2.285311,0.000
11.7396,4.939504,3.671688,2.278819,0.000
11.8399,4.933333,3.718566,2.287371,0.000
11.9403,4.968582,3.684365,2.296568,0.000
12.0397,4.968877,3.752860,2.250040,0.000
12.1401,4.914336,3.731439,2.267430,0.000
12.2399,4.943318,3.745622,2.302347,0.000
12.3400,4.957344,3.734141,2.288481,0.000
12.4402,4.942509,3.754374,2.303286,0.000
12.5398,4.954651,3.736881,2.302032,0.000
12.6397,4.954217,3.802089,2.301985,0.000
12.7397,4.972826,3.752441,2.283605,0.000
12.8397,4.952345,3.759422,2.292813,0.000
12.9396,4.974262,3.785255,2.319299,0.000
13.0396,4.938480,3.763334,2.347336,0.000
13.1396,4.997493,3.769724,2.338754,0.000
13.2395,5.007700,3.808604,2.346499,0.000
13.3396,5.003265,3.810242,2.375212,0.000
13.4397,4.995536,3.819852,2.362339,0.000
13.5396,4.981448,3.833005,2.354103,0.000
13.6400,4.998309,3.832038,2.353838,0.000
13.7395,4.977795,3.859854,2.363208,0.000
13.8397,5.001635,3.820544,2.372257,0.000
13.9397,4.993512,3.839820,2.388584,0.000
14.0398,5.016293,3.864571,2.379288,0.000
14.1395,4.982744,3.851642,2.373834,0.000
14.2397,4.957797,3.867643,2.379318,0.000
14.3401,5.002213,3.865861,2.364487,0.000
14.4398,5.005625,3.860958,2.328767,0.000
14.5396,5.024937,3.865932,2.348552,0.000
14.6402,4.976845,3.796901,2.322152,0.000
14.7408,5.014871,3.844437,2.345537,0.000
14.8396,4.961956,3.853659,2.343173,0.000
14.9399,4.985816,3.843959,2.349663,0.000
15.0398,4.991064,3.858628,2.323452,0.000
15.1397,5.025396,3.865625,2.316161,0.000
15.2395,5.008897,3.898421,2.336123,0.000
15.3401,5.021270,3.878795,2.329224,0.000
15.4398,5.032168,3.905717,2.337131,0.000
15.5398,5.050069,3.957079,2.319548,0.000
15.6395,5.037180,3.911052,2.331469,0.000
15.7405,5.031646,3.945861,2.293441,0.000
