t_sec,x,y,z,solve_ms
27.5290,4.047295,0.030649,-0.013000,0.000
27.5826,-15.985379,24.151351,25.760040,0.000
27.6819,-16.680729,24.651990,25.135377,0.000
27.7820,-15.658435,23.885138,24.444512,0.000
27.8817,-15.512535,24.112311,24.383234,0.000
27.9819,-15.290744,24.200735,23.973157,0.000
28.0817,-15.046753,24.469980,24.767605,0.000
28.1821,-14.828743,24.529208,23.867694,0.000
28.2821,-14.572261,24.707490,23.806462,0.000
28.3818,-14.317251,24.824168,23.242907,0.000
28.4822,-14.094019,25.132475,24.270404,0.000
28.5820,-13.840337,25.361782,24.675963,0.000
28.6819,-13.631134,25.513447,24.145434,0.000
28.7826,-13.401687,25.739443,24.530599,0.000
28.8820,-13.170135,25.740351,22.903691,0.000
28.9816,-12.955501,25.832814,22.212203,0.000
29.0817,-12.673025,26.049668,22.020565,0.000
29.1817,-12.454592,26.297288,22.715143,0.000
29.2818,-12.200672,26.314118,21.076675,0.000
29.3818,-11.969962,26.639345,22.423525,0.000
29.4816,-11.711681,26.859319,22.415554,0.000
29.5817,-11.496264,27.041381,22.324367,0.000
29.6819,-11.232571,27.282276,22.950499,0.000
29.7822,-11.019898,27.645323,24.279807,0.000
29.8824,-10.738099,27.824534,24.193778,0.000
29.9823,-10.483444,27.915260,23.270612,0.000
30.0820,-10.218223,27.996862,22.454410,0.000
30.1820,-9.905618,28.294319,23.090407,0.000
30.2820,-9.605319,28.298812,21.143951,0.000
30.3819,-9.275109,28.595873,22.340191,0.000
30.4820,-8.921607,28.786833,22.090249,0.000
30.5813,-8.527264,29.099553,23.506287,0.000
30.6819,-8.177674,29.187227,22.380966,0.000
30.7821,-7.739251,29.386981,22.831577,0.000
30.8821,-7.387233,29.410320,21.272074,0.000
30.9815,-7.026121,29.489402,20.638110,0.000
31.0816,-6.673080,29.757436,21.722914,0.000
31.1817,-6.330881,29.871541,21.402200,0.000
31.2829,-6.023999,30.041793,21.002854,0.000
31.3818,-5.742395,30.063899,19.605869,0.000
31.4827,-5.508830,30.485696,22.058495,0.000
31.5816,-5.249913,30.583664,21.116849,0.000
31.6821,-4.919148,30.919588,22.127059,0.000
31.7823,-4.687864,31.205313,23.205061,0.000
31.8820,-4.427877,31.331063,21.799051,0.000
31.9817,-4.165245,31.503769,21.563763,0.000
32.0815,-3.944151,31.633580,20.766602,0.000
32.1818,-3.709258,31.856480,21.021293,0.000
32.2816,-3.433781,32.143532,21.534924,0.000
32.3823,-3.210279,32.299271,20.996119,0.000
32.4819,-2.938452,32.508338,20.625658,0.000
32.5815,-2.695020,32.819371,22.153646,0.000
32.6819,-2.427849,33.020184,21.907267,0.000
32.7818,-2.214431,33.223214,22.034126,0.000
32.8821,-1.991967,33.356805,20.954990,0.000
32.9821,-1.775509,33.650870,21.584994,0.000
33.0820,-1.523250,33.851348,21.417355,0.000
33.1818,-1.325686,34.034974,21.221873,0.000
33.2829,-0.999077,34.387809,22.783343,0.000
33.3818,-0.827530,34.597271,23.131129,0.000
33.4826,-0.559554,34.846607,23.650200,0.000
33.5818,-0.355246,35.078889,24.310349,0.000
33.6817,-0.075314,35.327028,24.681587,0.000
33.7815,0.155587,35.566997,24.998823,0.000
33.8816,0.330741,35.900371,27.007401,0.000
33.9821,0.583084,36.041428,26.146248,0.000
34.0820,0.798161,36.193067,25.625932,0.000
34.1819,1.044331,36.493019,26.997858,0.000
34.2832,1.302789,36.774363,27.498243,0.000
34.3815,1.507999,36.947301,27.693347,0.000
34.4818,1.743920,37.186041,27.653015,0.000
34.5821,1.960857,37.366097,27.612808,0.000
34.6820,2.203391,37.536196,26.537215,0.000
34.7823,2.381336,37.562694,25.075037,0.000
34.8815,2.643452,37.646405,23.453464,0.000
34.9815,2.860294,37.829893,23.499308,0.000
35.0819,3.005843,38.102738,25.691517,0.000
35.1833,3.215029,38.179951,24.250539,0.000
35.2825,3.436917,38.440615,25.164687,0.000
35.3824,3.636261,38.579622,24.266623,0.000
35.4824,3.933286,38.802170,24.347438,0.000
35.5816,4.140548,38.988325,23.777049,0.000
35.6832,4.378133,39.220936,24.234687,0.000
35.7821,4.623567,39.403277,24.761374,0.000
35.8818,4.858590,39.608797,24.393235,0.000
35.9824,5.060337,39.799407,24.404226,0.000
36.0820,5.311194,39.984357,24.145713,0.000
36.1825,5.561779,40.169692,24.178403,0.000
36.2822,5.795783,40.429488,25.206618,0.000
36.3822,6.026917,40.689717,25.966504,0.000
36.4823,6.226229,40.815047,25.044958,0.000
36.5822,6.451326,40.957383,25.092360,0.000
36.6825,6.641151,41.149440,24.658155,0.000
