t_sec,x,y,z,solve_ms
2.1936,5.004813,3.309364,4.950973,0.000
2.2938,5.032553,3.284381,4.950243,0.000
2.3927,4.994560,3.296863,4.979051,0.000
2.4918,5.007995,3.325840,4.948465,0.000
2.5918,4.999223,3.325395,4.961084,0.000
2.6925,4.991568,3.320474,4.987933,0.000
2.7920,5.001849,3.300457,4.983500,0.000
2.8918,4.982586,3.272804,4.966485,0.000
2.9927,5.026091,3.256394,4.957065,0.000
3.0918,4.985997,3.236661,4.940155,0.000
3.1921,5.004120,3.208939,4.966100,0.000
3.2917,4.996881,3.198913,4.975404,0.000
3.3922,5.030855,3.217785,4.936117,0.000
3.4924,5.009586,3.238269,4.972619,0.000
3.5920,5.000100,3.239366,4.954512,0.000
3.6920,5.016004,3.214488,4.955035,0.000
3.7921,4.982263,3.243110,4.963412,0.000
3.8928,4.980589,3.276121,4.968844,0.000
3.9921,4.985929,3.222754,4.938159,0.000
4.0920,5.001593,3.209364,4.968720,0.000
4.1917,5.017319,3.233352,4.950665,0.000
4.2917,5.048522,3.208184,4.960255,0.000
4.3923,5.045317,3.203003,4.963572,0.000
4.4918,4.998487,3.219641,4.955931,0.000
4.5921,5.033817,3.192267,4.946438,0.000
4.6921,5.034759,3.177182,4.924307,0.000
4.7918,5.012159,3.178946,4.926675,0.000
4.8923,5.004408,3.173254,4.925340,0.000
4.9925,4.993436,3.197168,4.912039,0.000
5.0918,4.982098,3.181680,4.923789,0.000
5.1918,5.001790,3.176559,4.910007,0.000
5.2919,4.955785,3.215126,4.920369,0.000
5.3924,4.934732,3.204476,4.910777,0.000
5.4920,4.914971,3.195992,4.898546,0.000
5.5918,4.931941,3.175045,4.907142,0.000
5.6926,4.942225,3.194887,4.910425,0.000
5.7923,4.962003,3.225100,4.867430,0.000
5.8924,4.958145,3.200322,4.837455,0.000
5.9922,4.990543,3.181046,4.824777,0.000
6.0924,4.943250,3.175616,4.810555,0.000
6.1920,5.008269,3.201286,4.840675,0.000
6.2917,5.004645,3.212051,4.860727,0.000
6.3918,4.983518,3.211475,4.860347,0.000
6.4919,5.001319,3.209452,4.831510,0.000
6.5916,4.976344,3.195095,4.870734,0.000
6.6920,4.981795,3.203701,4.874982,0.000
6.7922,4.945775,3.223536,4.884162,0.000
6.8919,4.955916,3.273500,4.831223,0.000
6.9920,4.987660,3.278909,4.861370,0.000
7.0921,5.009638,3.234160,4.807023,0.000
7.1922,4.976159,3.213824,4.802495,0.000
7.2917,4.995843,3.231245,4.803282,0.000
7.3920,4.976707,3.242955,4.782727,0.000
7.4924,4.960291,3.240560,4.763615,0.000
7.5919,4.988330,3.221425,4.765416,0.000
7.6919,5.018926,3.196598,4.745722,0.000
7.7918,5.052146,3.209204,4.754623,0.000
7.8918,5.040355,3.200465,4.784800,0.000
7.9920,5.048364,3.184873,4.789825,0.000
8.0917,5.024437,3.230075,4.799856,0.000
8.1919,4.999163,3.190245,4.797943,0.000
8.2917,5.008850,3.161278,4.817448,0.000
8.3921,4.978613,3.144216,4.847853,0.000
8.4917,4.979065,3.154898,4.825724,0.000
8.5921,4.964391,3.173233,4.848941,0.000
8.6921,4.945256,3.191851,4.837042,0.000
8.7917,4.978617,3.167489,4.851917,0.000
8.8924,4.998265,3.229289,4.835380,0.000
8.9917,4.950219,3.232844,4.886885,0.000
9.0919,5.029927,3.236716,4.853396,0.000
9.1923,5.008809,3.253645,4.846671,0.000
9.2923,5.006505,3.253495,4.824104,0.000
9.3917,5.022932,3.260909,4.860878,0.000
9.4920,4.982640,3.256927,4.861914,0.000
9.5919,4.973323,3.295706,4.891055,0.000
9.6916,4.983964,3.302607,4.907966,0.000
9.7920,4.957270,3.293057,4.874412,0.000
9.8916,4.958234,3.270168,4.879036,0.000
9.9919,4.958651,3.282712,4.882024,0.000
10.0917,4.951991,3.268468,4.895425,0.000
10.1918,4.969472,3.256083,4.870641,0.000
10.2917,4.966485,3.249223,4.891633,0.000
10.3923,4.936265,3.217343,4.904065,0.000
10.4919,4.959449,3.235454,4.905824,0.000
10.5918,4.957118,3.217472,4.899946,0.000
10.6922,4.946764,3.232405,4.873609,0.000
10.7932,4.934999,3.216663,4.897125,0.000
10.8923,4.930534,3.231702,4.923480,0.000
10.9917,4.926006,3.259608,4.888047,0.000
11.0918,4.944989,3.290695,4.909107,0.000
11.1925,4.942650,3.321862,4.901788,0.000
11.2916,4.916838,3.289066,4.966513,0.000
11.3920,4.917452,3.256495,4.945515,0.000
11.4927,4.875086,3.285114,4.975815,0.000
11.5919,4.883776,3.255949,4.979360,0.000
11.6918,4.861396,3.284291,4.960054,0.000
11.7921,4.872567,3.313680,4.962942,0.000
11.8919,4.916996,3.328920,4.937337,0.000
11.9919,4.939387,3.328236,4.924649,0.000
12.0918,4.899211,3.294797,4.910740,0.000
12.1921,4.933265,3.293431,4.891641,0.000
12.2918,4.929742,3.314538,4.897392,0.000
12.3922,4.936586,3.330978,4.907443,0.000
12.4921,4.949648,3.323383,4.904928,0.000
12.5918,4.899229,3.273628,4.922719,0.000
12.6917,4.925180,3.247422,4.894248,0.000
12.7917,4.916543,3.263650,4.927324,0.000
12.8922,4.962227,3.262425,4.920693,0.000
12.9920,4.915668,3.249760,4.919676,0.000
13.0922,4.925941,3.259794,4.892039,0.000
13.1926,4.938822,3.263518,4.899696,0.000
13.2920,5.005828,3.296633,4.898802,0.000
13.3922,4.983128,3.299811,4.932677,0.000
13.4924,4.982999,3.311077,4.875089,0.000
13.5918,4.989389,3.304605,4.866387,0.000
13.6925,4.964796,3.272618,4.878081,0.000
13.7918,5.008743,3.295345,4.849384,0.000
13.8919,5.008611,3.306015,4.818348,0.000
13.9917,5.024474,3.327906,4.827419,0.000
14.0916,5.051375,3.307886,4.870490,0.000
14.1922,5.043772,3.289509,4.859954,0.000
14.2919,5.082896,3.286082,4.821740,0.000
14.3919,5.080650,3.276412,4.841600,0.000
14.4929,5.104769,3.286722,4.811609,0.000
14.5917,5.097038,3.252388,4.807219,0.000
14.6922,5.133378,3.296531,4.790469,0.000
14.7925,5.115408,3.300043,4.818309,0.000
14.8920,5.083298,3.240373,4.833103,0.000
14.9921,5.035757,3.270034,4.845827,0.000
15.0922,5.078654,3.256053,4.846551,0.000
15.1922,5.075205,3.268660,4.877888,0.000
15.2921,5.055313,3.261879,4.847279,0.000
15.3927,5.043579,3.270766,4.825792,0.000
15.4924,5.054543,3.271115,4.856926,0.000
15.5919,5.058648,3.248232,4.847274,0.000
15.6922,5.028828,3.260619,4.873962,0.000
15.7926,5.034622,3.250245,4.897447,0.000
15.8918,5.024731,3.240738,4.867097,0.000
15.9920,5.026473,3.252898,4.873986,0.000
16.0920,4.986127,3.246202,4.874812,0.000
16.1921,5.045131,3.283869,4.902326,0.000
16.2926,5.035126,3.206629,4.918252,0.000
16.3919,5.041279,3.242488,4.907034,0.000
16.4920,5.097526,3.265056,4.951824,0.000
16.5918,5.050910,3.226671,4.928797,0.000
16.6923,5.032249,3.210834,4.926230,0.000
16.7916,5.007995,3.239519,4.944907,0.000
16.8916,5.043687,3.243994,4.898974,0.000
16.9921,5.063446,3.263862,4.923965,0.000
17.0919,5.070381,3.296853,4.932048,0.000
17.1920,5.028232,3.280312,4.938668,0.000
17.2922,5.009786,3.225086,4.962219,0.000
17.3919,5.016287,3.250957,4.928945,0.000
17.4920,4.991704,3.260958,4.938334,0.000
17.5920,4.993245,3.260093,4.970480,0.000
17.6922,4.999468,3.272210,4.945769,0.000
17.7926,5.014571,3.265584,4.955913,0.000
17.8924,5.054578,3.248138,4.933040,0.000
17.9924,5.021074,3.268226,4.911493,0.000
18.0918,4.995376,3.265083,4.925996,0.000
18.1917,5.058918,3.289951,4.867698,0.000
18.2922,5.017652,3.284249,4.856107,0.000
18.3922,5.025544,3.312150,4.872583,0.000
18.4923,5.005417,3.304456,4.925345,0.000
18.5922,4.985934,3.260190,4.948599,0.000
18.6920,5.002329,3.324321,4.936629,0.000
18.7918,5.005422,3.295780,4.927574,0.000
18.8922,5.032888,3.277085,4.958405,0.000
18.9917,5.003797,3.300775,4.931517,0.000
19.0924,5.016994,3.308051,4.946798,0.000
19.1918,5.004281,3.271989,4.932446,0.000
19.2917,5.081725,3.250532,4.914318,0.000
19.3923,5.084138,3.262057,4.922301,0.000
19.4917,5.078239,3.224028,4.957749,0.000
19.5918,5.074454,3.207265,4.991223,0.000
19.6920,5.074129,3.236018,4.983033,0.000
19.7917,5.057597,3.208973,4.959286,0.000
19.8920,5.083082,3.249457,4.934720,0.000
19.9917,5.097034,3.257836,4.934300,0.000
20.0919,5.069907,3.262371,4.953421,0.000
20.1922,5.082414,3.253450,4.938048,0.000
20.2918,5.055518,3.196693,4.968157,0.000
20.3917,5.077185,3.173754,4.960578,0.000
20.4918,5.067761,3.156824,4.951251,0.000
20.5920,5.039908,3.157197,4.944327,0.000
20.6920,5.076235,3.208681,4.976859,0.000
20.7922,5.062058,3.159062,4.966154,0.000
20.8920,5.054516,3.162882,4.956808,0.000
20.9920,5.021197,3.187928,4.911563,0.000
21.0922,5.030833,3.178452,4.928605,0.000
21.1919,5.042554,3.112457,4.933496,0.000
21.2915,4.999769,3.144936,4.955240,0.000
21.3918,5.002670,3.114559,4.968444,0.000
21.4918,5.023487,3.116086,5.003369,0.000
21.5916,5.008632,3.155260,5.007456,0.000
21.6916,5.007876,3.130012,5.015367,0.000
21.7917,5.028904,3.108570,4.962835,0.000
21.8916,4.979217,3.093617,4.982005,0.000
21.9921,5.030722,3.083767,4.960296,0.000
22.0915,5.046856,3.075932,4.940588,0.000
22.1919,4.997147,3.048191,4.950752,0.000
22.2923,5.041724,3.081397,4.947579,0.000
22.3915,4.963608,3.043975,4.955609,0.000
22.4919,4.989298,3.036499,4.959301,0.000
22.5921,4.952217,3.032821,4.963431,0.000
22.6917,4.997659,3.039753,4.933958,0.000
22.7922,4.990959,3.009854,4.947983,0.000
22.8919,4.998375,3.019325,4.949665,0.000
22.9920,4.982131,3.022815,4.987428,0.000
23.0916,4.977081,2.976811,4.994685,0.000
23.1920,4.993265,2.965926,4.968840,0.000
23.2920,5.017652,2.917372,4.979173,0.000
