t_sec,x,y,z,solve_ms
15.4474,1.784169,2.037333,-0.162346,0.000
46.3500,1.784169,2.037333,-0.162346,0.000
46.4203,1.784169,2.037333,-0.162346,0.000
46.5203,1.784169,2.037333,-0.162346,0.000
46.6210,1.784169,2.037333,-0.162346,0.000
46.7206,1.784169,2.037333,-0.162346,0.000
46.8202,1.784169,2.037333,-0.162346,0.000
46.9203,1.784169,2.037333,-0.162346,0.000
47.0200,1.784169,2.037333,-0.162346,0.000
47.1203,1.784169,2.037333,-0.162346,0.000
47.2226,1.784169,2.037333,-0.162346,0.000
47.3206,1.784169,2.037333,-0.162346,0.000
47.4205,1.784169,2.037333,-0.162346,0.000
47.5206,1.784169,2.037333,-0.162346,0.000
47.6204,1.784169,2.037333,-0.162346,0.000
47.7207,1.784169,2.037333,-0.162346,0.000
47.8203,1.784169,2.037333,-0.162346,0.000
47.9205,1.784169,2.037333,-0.162346,0.000
48.0204,1.784169,2.037333,-0.162346,0.000
48.1202,1.784169,2.037333,-0.162346,0.000
48.2204,1.784169,2.037333,-0.162346,0.000
48.3201,1.784169,2.037333,-0.162346,0.000
48.4206,1.784169,2.037333,-0.162346,0.000
48.5218,1.784169,2.037333,-0.162346,0.000
54.0378,2.766655,2.872109,7.578565,0.000
59.5462,2.551134,3.142454,4.988054,0.000
65.0472,3.054981,0.024101,10.430212,0.000
70.5573,2.456806,0.795000,8.051233,0.000
81.5787,2.296602,2.327323,5.240751,0.000
98.1113,2.296602,2.327323,5.240751,0.000
103.6221,2.296602,2.327323,5.240751,0.000
109.1286,2.422433,3.558160,5.158725,0.000
114.6493,3.822735,0.020777,5.991260,0.000
120.1480,4.136627,0.902891,6.506268,0.000
125.6637,3.496516,0.347399,6.258065,0.000
131.1772,2.572596,-1.528007,6.260005,0.000
