t_sec,x,y,z,solve_ms
15.3777,2.572860,3.010084,-0.006361,0.000
15.3820,1.438573,2.922924,0.159573,0.000
20.8907,1.438573,2.922924,0.159573,0.000
57.3424,1.438573,2.922924,0.159573,0.000
57.4057,1.438573,2.922924,0.159573,0.000
57.5058,1.438573,2.922924,0.159573,0.000
57.6064,1.438573,2.922924,0.159573,0.000
57.7058,1.438573,2.922924,0.159573,0.000
57.8056,1.438573,2.922924,0.159573,0.000
57.9056,1.438573,2.922924,0.159573,0.000
58.0058,1.438573,2.922924,0.159573,0.000
58.1058,1.438573,2.922924,0.159573,0.000
58.2054,1.438573,2.922924,0.159573,0.000
58.3064,1.438573,2.922924,0.159573,0.000
58.4053,1.438573,2.922924,0.159573,0.000
58.5057,1.438573,2.922924,0.159573,0.000
58.6067,1.438573,2.922924,0.159573,0.000
58.7057,1.438573,2.922924,0.159573,0.000
58.8058,1.438573,2.922924,0.159573,0.000
58.9068,1.438573,2.922924,0.159573,0.000
59.0059,1.438573,2.922924,0.159573,0.000
59.1054,1.438573,2.922924,0.159573,0.000
59.2058,1.438573,2.922924,0.159573,0.000
59.3065,1.438573,2.922924,0.159573,0.000
59.4060,1.438573,2.922924,0.159573,0.000
59.4609,1.438573,2.922924,0.159573,0.000
64.9699,1.390492,2.899440,0.198671,0.000
70.4758,1.379481,2.922391,0.164939,0.000
75.9746,0.048833,3.528528,0.367013,0.000
81.4794,0.318388,3.312862,0.283264,0.000
86.9946,0.199251,3.300274,0.280340,0.000
92.5071,0.952198,3.744999,0.256012,0.000
98.0147,0.737672,3.635236,0.201630,0.000
109.0194,1.320008,5.088108,-0.854825,0.000
131.0530,1.320008,5.088108,-0.854825,0.000
