t_sec,x,y,z,solve_ms
9.9293,2.482145,-12.726308,23.592059,0.000
15.4475,46.111851,3.090858,-19.592141,0.000
20.9542,8.978963,0.526587,-10.500664,0.000
26.4636,-8.914307,2.997544,-14.591000,0.000
31.9709,-8.914307,2.997544,-14.591000,0.000
37.4788,7.179510,-0.563003,-16.338865,0.000
42.9906,0.428696,-0.491853,-5.541380,0.000
48.5027,4.063011,-0.400646,-14.912023,0.000
54.0108,0.148025,0.388469,-19.518359,0.000
70.5937,2.448540,1.635334,-0.634912,0.000
70.6931,2.512812,1.563553,0.323415,0.000
70.7935,2.308047,1.693104,0.058259,0.000
70.8938,2.171755,1.732567,-0.087969,0.000
70.9939,2.028459,1.803802,-0.213553,0.000
71.0935,1.891210,1.847612,-0.287211,0.000
71.1936,1.840586,1.825114,-0.303910,0.000
71.2936,1.766772,1.947926,-0.324931,0.000
71.3937,1.716706,1.928943,-0.357362,0.000
71.4936,1.698391,1.958605,-0.359341,0.000
71.5936,1.604427,1.987595,-0.321819,0.000
71.6932,1.625204,1.983003,-0.319316,0.000
71.7936,1.607729,2.019015,-0.347618,0.000
71.8937,1.576875,1.963654,-0.314904,0.000
71.9932,1.575113,1.976666,-0.338805,0.000
72.0937,1.563256,2.011615,-0.313123,0.000
72.1934,1.554211,2.004328,-0.350808,0.000
72.2938,1.536720,2.040173,-0.405168,0.000
72.3937,1.532831,2.002508,-0.398484,0.000
72.4930,1.401512,1.949426,-0.386936,0.000
72.5931,1.308210,1.881664,-0.308803,0.000
72.6936,1.124603,1.873724,-0.302468,0.000
72.7941,1.073271,1.799409,-0.231265,0.000
72.8933,0.963085,1.807983,-0.229482,0.000
72.9940,0.958820,1.841156,-0.150428,0.000
73.0935,0.895492,1.821386,-0.082417,0.000
73.1935,0.947319,1.865463,-0.096825,0.000
73.2937,1.008201,1.863506,-0.024451,0.000
73.3940,1.002107,1.901309,-0.022512,0.000
73.4944,1.109151,1.998999,-0.006955,0.000
73.5935,1.137134,2.048724,0.044206,0.000
73.6945,1.255168,2.054741,0.113211,0.000
73.7933,1.338549,2.079598,0.159367,0.000
73.8937,1.443830,2.110985,0.179321,0.000
73.9941,1.555899,2.150270,0.208356,0.000
74.0932,1.657717,2.180291,0.198260,0.000
74.1938,1.714950,2.202127,0.251373,0.000
74.2932,1.790117,2.268400,0.296207,0.000
74.3933,1.842449,2.275800,0.299875,0.000
74.4938,1.848041,2.324046,0.302012,0.000
74.5938,1.915949,2.306226,0.273145,0.000
74.6937,1.962078,2.378355,0.264917,0.000
74.7945,2.002547,2.335260,0.261846,0.000
74.8937,2.021485,2.373513,0.238503,0.000
74.9935,2.048996,2.405244,0.196581,0.000
75.0940,2.106294,2.381492,0.195750,0.000
75.1939,2.109101,2.385958,0.155256,0.000
75.2934,2.096341,2.385451,0.115035,0.000
75.3935,2.127492,2.375626,0.083260,0.000
75.4937,2.227292,2.347323,0.071214,0.000
75.5937,2.249149,2.333120,0.042954,0.000
75.6938,2.236992,2.335162,0.043992,0.000
75.7938,2.241662,2.319332,0.032403,0.000
75.8944,2.227948,2.267099,0.020807,0.000
75.9933,2.232074,2.291804,0.004775,0.000
76.0936,2.239737,2.282718,0.002416,0.000
76.1937,2.211909,2.263554,0.026855,0.000
76.2938,2.197448,2.225905,0.021711,0.000
76.3936,2.221897,2.196249,0.008522,0.000
76.4944,2.239933,2.174056,0.001673,0.000
76.5941,2.230085,2.182212,-0.007541,0.000
76.6941,2.185673,2.167271,-0.012277,0.000
76.7932,2.176859,2.110624,-0.012186,0.000
76.8936,2.216647,2.124944,-0.038123,0.000
76.9932,2.163149,2.089003,-0.017692,0.000
77.0940,2.178897,2.120337,-0.014634,0.000
77.1935,2.117019,2.112266,-0.007592,0.000
77.2936,2.170749,2.087365,-0.019080,0.000
77.3934,2.127896,2.087160,-0.010710,0.000
77.4934,2.112140,2.096254,-0.013043,0.000
77.5936,2.137921,2.056727,-0.029715,0.000
77.6935,2.061409,2.069983,-0.012255,0.000
77.7936,2.044893,2.038375,-0.043663,0.000
77.8936,2.051805,1.984152,-0.076351,0.000
77.9936,2.066320,1.933501,-0.053819,0.000
78.0936,2.008370,1.863038,-0.056531,0.000
78.1934,2.079748,1.810530,0.011624,0.000
78.2935,2.113740,1.692017,0.017571,0.000
78.3943,2.114392,1.588554,0.052685,0.000
78.4937,2.167919,1.498398,0.023492,0.000
78.5933,2.167042,1.430762,0.030001,0.000
78.6934,2.184693,1.385738,0.038503,0.000
78.7938,2.171298,1.363121,0.011923,0.000
78.8933,2.148781,1.302130,-0.005684,0.000
78.9944,2.158539,1.359776,-0.023709,0.000
79.0933,2.067603,1.410881,-0.048228,0.000
79.1936,2.081300,1.453674,-0.060203,0.000
79.2929,2.067712,1.534994,-0.071920,0.000
79.3937,2.011784,1.602760,-0.077100,0.000
79.4942,1.959500,1.680717,-0.038005,0.000
79.5940,1.950665,1.750544,-0.068950,0.000
79.6940,1.913210,1.761268,-0.079489,0.000
79.7934,1.920554,1.789013,-0.049577,0.000
79.8943,1.869570,1.811463,-0.049395,0.000
79.9936,1.798895,1.841564,-0.076416,0.000
80.0942,1.750115,1.898933,-0.070329,0.000
80.1939,1.758637,1.888742,-0.055411,0.000
80.2940,1.734819,1.879962,-0.075965,0.000
80.3932,1.703154,1.904513,-0.061221,0.000
80.4931,1.712764,1.905403,-0.053427,0.000
80.5937,1.706397,1.871520,-0.044514,0.000
80.6943,1.680463,1.871461,-0.077183,0.000
80.7936,1.733065,1.870776,-0.069480,0.000
80.8936,1.814835,1.899778,-0.067467,0.000
80.9939,1.767339,1.916409,-0.088021,0.000
81.0936,1.865720,1.967687,-0.106831,0.000
81.1942,1.932100,1.970594,-0.108867,0.000
81.2939,1.864174,1.949824,-0.143979,0.000
81.3939,1.808564,1.918584,-0.145704,0.000
81.4939,1.767627,1.964911,-0.159220,0.000
81.5931,1.706416,1.990556,-0.177646,0.000
81.6936,1.633610,2.043110,-0.150894,0.000
81.7936,1.620116,2.049703,-0.138148,0.000
81.8939,1.598653,2.143331,-0.154434,0.000
81.9937,1.587407,2.151393,-0.144097,0.000
82.0936,1.535722,2.138926,-0.130970,0.000
82.1937,1.564330,2.183561,-0.109920,0.000
82.2934,1.601335,2.182470,-0.099849,0.000
82.3932,1.626807,2.201481,-0.105048,0.000
82.4938,1.694862,2.208666,-0.098212,0.000
82.5932,1.834666,2.287893,-0.111235,0.000
82.6934,2.123158,2.332420,-0.016663,0.000
82.7930,2.238308,2.362716,0.089395,0.000
82.8929,2.535503,2.395454,0.271429,0.000
82.9935,2.655625,2.424581,0.431545,0.000
83.0929,2.872733,2.447374,0.614433,0.000
83.1936,3.002982,2.492022,0.753093,0.000
83.2936,3.070056,2.493541,0.855357,0.000
83.3932,3.146513,2.550393,0.996562,0.000
83.4932,3.139746,2.519789,1.089916,0.000
83.5936,3.145695,2.502424,1.133108,0.000
83.6935,3.038712,2.548619,1.213404,0.000
83.7930,2.984549,2.504467,1.260109,0.000
83.8936,2.850598,2.489458,1.254654,0.000
83.9934,2.734097,2.473311,1.254114,0.000
84.0936,2.580650,2.487197,1.209669,0.000
84.1935,2.506726,2.463460,1.143124,0.000
84.2932,2.349316,2.474561,1.078463,0.000
84.3937,2.347757,2.450430,0.988645,0.000
84.4936,2.272671,2.443760,0.891686,0.000
84.5939,2.217861,2.395835,0.806794,0.000
84.6946,2.174057,2.365853,0.719131,0.000
84.7939,2.155970,2.297642,0.647462,0.000
84.8938,2.110925,2.266894,0.576258,0.000
84.9938,2.146583,2.251228,0.544291,0.000
85.0938,2.098337,2.166215,0.439706,0.000
85.1935,2.104523,2.102967,0.430631,0.000
85.2937,2.080890,1.899200,0.621101,0.000
85.3935,1.997875,1.695454,0.753023,0.000
85.4935,1.893135,1.405830,0.998681,0.000
92.5696,1.819795,1.208644,1.150495,0.000
98.0816,3.926282,3.674468,-10.341398,0.000
103.5984,4.592299,0.523027,-23.742727,0.000
109.1025,-5.178370,3.900877,-23.801460,0.000
