t_sec,x,y,z,solve_ms
26.1545,3.799081,3.934376,5.316666,0.000
31.6687,6.307389,-3.369178,7.940186,0.000
48.2040,4.042751,-2.435789,3.813589,0.000
53.7169,-6.275406,3.758792,5.626884,0.000
59.2286,-1.417466,2.483421,1.325888,0.000
64.7356,-0.115334,3.477569,1.781136,0.000
92.2873,-0.282255,2.510436,1.221317,0.000
127.1029,0.008980,2.767141,1.225880,0.000
127.2002,-0.170560,2.700214,1.265728,0.000
127.3001,-0.182296,2.680035,1.243602,0.000
127.4002,-0.208572,2.654436,1.227507,0.000
127.5002,-0.234407,2.629197,1.211135,0.000
127.6000,-0.260138,2.603962,1.194737,0.000
127.7002,-0.285893,2.578722,1.178347,0.000
127.8003,-0.311645,2.553484,1.161955,0.000
127.9015,-0.337397,2.528245,1.145564,0.000
128.0001,-0.363149,2.503006,1.129172,0.000
128.1001,-0.388901,2.477766,1.112781,0.000
128.2003,-0.414653,2.452527,1.096390,0.000
128.3000,-0.440405,2.427288,1.079998,0.000
128.4004,-0.466157,2.402049,1.063607,0.000
128.5002,-0.491909,2.376810,1.047216,0.000
128.6002,-0.517661,2.351571,1.030824,0.000
128.7005,-0.543413,2.326332,1.014433,0.000
128.8001,-0.569165,2.301093,0.998042,0.000
128.9003,-0.594918,2.275854,0.981650,0.000
129.0003,-0.620670,2.250615,0.965259,0.000
129.1002,-0.646422,2.225376,0.948868,0.000
129.2002,-0.672174,2.200137,0.932476,0.000
129.3004,-0.697926,2.174898,0.916085,0.000
129.4000,-0.723678,2.149659,0.899693,0.000
129.5000,-0.749430,2.124420,0.883302,0.000
129.6000,-0.775182,2.099181,0.866911,0.000
129.7002,-0.800934,2.073942,0.850519,0.000
129.7999,-0.826686,2.048703,0.834128,0.000
129.9107,-0.852438,2.023464,0.817737,0.000
130.0001,-0.878190,1.998225,0.801345,0.000
130.1001,-0.903943,1.972986,0.784954,0.000
130.2000,-0.929695,1.947747,0.768563,0.000
130.3001,-0.955447,1.922508,0.752171,0.000
130.4000,-0.981199,1.897269,0.735780,0.000
130.5001,-1.006951,1.872030,0.719389,0.000
130.6000,-1.032703,1.846791,0.702997,0.000
130.7000,-1.058455,1.821552,0.686606,0.000
130.7998,-1.084207,1.796313,0.670215,0.000
131.4003,-1.109959,1.771074,0.653823,0.000
131.5006,-1.135711,1.745835,0.637432,0.000
131.6004,-1.161463,1.720596,0.621041,0.000
131.7002,-1.187216,1.695357,0.604649,0.000
131.8003,-1.212968,1.670118,0.588258,0.000
131.9000,-1.238720,1.644879,0.571866,0.000
132.0003,-1.264472,1.619640,0.555475,0.000
132.1003,-1.290224,1.594401,0.539084,0.000
132.2002,-1.315976,1.569162,0.522692,0.000
132.3070,-1.341728,1.543923,0.506301,0.000
132.4004,-1.367480,1.518684,0.489910,0.000
132.5003,-1.393232,1.493445,0.473518,0.000
132.6003,-1.418984,1.468206,0.457127,0.000
132.7005,-1.444736,1.442967,0.440736,0.000
132.8004,-1.470488,1.417728,0.424344,0.000
132.9003,-1.496241,1.392489,0.407953,0.000
133.0003,-1.521993,1.367250,0.391562,0.000
133.1003,-1.547745,1.342011,0.375170,0.000
133.2004,-1.573497,1.316772,0.358779,0.000
133.3002,-1.599249,1.291533,0.342388,0.000
133.4003,-1.625001,1.266294,0.325996,0.000
133.5008,-1.650753,1.241055,0.309605,0.000
133.6003,-1.676505,1.215816,0.293213,0.000
133.7004,-1.702257,1.190577,0.276822,0.000
133.8005,-1.728009,1.165338,0.260431,0.000
133.9001,-1.753761,1.140098,0.244039,0.000
134.0003,-1.779513,1.114859,0.227648,0.000
134.1002,-1.805266,1.089620,0.211257,0.000
134.2003,-1.831018,1.064381,0.194865,0.000
134.3003,-1.856770,1.039142,0.178474,0.000
134.4003,-1.882522,1.013903,0.162083,0.000
134.5002,-1.908274,0.988664,0.145691,0.000
134.6001,-1.934026,0.963425,0.129300,0.000
134.7003,-1.959778,0.938186,0.112909,0.000
134.8010,-1.985530,0.912947,0.096517,0.000
134.9006,-2.011282,0.887708,0.080126,0.000
135.0002,-2.037034,0.862469,0.063735,0.000
135.1003,-2.062786,0.837230,0.047343,0.000
135.2002,-2.088539,0.811991,0.030952,0.000
135.3004,-2.114291,0.786752,0.014560,0.000
135.4002,-2.140043,0.761513,-0.001831,0.000
135.5003,-2.165795,0.736274,-0.018222,0.000
135.6004,-2.191547,0.711035,-0.034614,0.000
135.7006,-2.217299,0.685796,-0.051005,0.000
135.8004,-2.243051,0.660557,-0.067396,0.000
135.9008,-2.268803,0.635318,-0.083788,0.000
136.0003,-2.294555,0.610079,-0.100179,0.000
136.1005,-2.320307,0.584840,-0.116570,0.000
136.2013,-2.346059,0.559601,-0.132962,0.000
136.3003,-2.371811,0.534362,-0.149353,0.000
136.3521,-2.380396,0.525949,-0.154817,0.000
