t_sec,x,y,z,solve_ms
17.1011,-5.849141,-1.438614,0.300360,0.000
17.1998,-5.849141,-1.438614,0.300360,0.000
17.2998,-5.849141,-1.438614,0.300360,0.000
17.4002,-5.849141,-1.438614,0.300360,0.000
17.5004,-5.849141,-1.438614,0.300360,0.000
17.5999,-5.849141,-1.438614,0.300360,0.000
17.7001,-5.849141,-1.438614,0.300360,0.000
17.7999,-5.849141,-1.438614,0.300360,0.000
17.8997,-5.849141,-1.438614,0.300360,0.000
18.0000,-5.849141,-1.438614,0.300360,0.000
18.0999,-5.849141,-1.438614,0.300360,0.000
18.1995,-5.849141,-1.438614,0.300360,0.000
18.2996,-5.849141,-1.438614,0.300360,0.000
18.3998,-5.849141,-1.438614,0.300360,0.000
18.4991,-5.849141,-1.438614,0.300360,0.000
18.5992,-5.849141,-1.438614,0.300360,0.000
18.6994,-5.849141,-1.438614,0.300360,0.000
18.8001,-5.849141,-1.438614,0.300360,0.000
18.8997,-5.849141,-1.438614,0.300360,0.000
18.9999,-5.849141,-1.438614,0.300360,0.000
19.0999,-5.849141,-1.438614,0.300360,0.000
19.1999,-5.849141,-1.438614,0.300360,0.000
19.2993,-5.849141,-1.438614,0.300360,0.000
19.3991,-5.849141,-1.438614,0.300360,0.000
19.5001,-5.849141,-1.438614,0.300360,0.000
19.6009,-5.849141,-1.438614,0.300360,0.000
19.6993,-5.849141,-1.438614,0.300360,0.000
19.7996,-5.849141,-1.438614,0.300360,0.000
19.9000,-5.849141,-1.438614,0.300360,0.000
19.9996,-5.849141,-1.438614,0.300360,0.000
20.0997,-5.849141,-1.438614,0.300360,0.000
20.2001,-5.849141,-1.438614,0.300360,0.000
20.2997,-5.849141,-1.438614,0.300360,0.000
20.4000,-5.849141,-1.438614,0.300360,0.000
20.4606,-5.849141,-1.438614,0.300360,0.000
25.9604,-0.926917,-2.385216,10.270970,0.000
31.4670,-3.718742,2.074152,7.627876,0.000
36.9831,-0.898905,-0.663889,8.363224,0.000
42.4871,-4.192473,1.826699,8.144470,0.000
47.9954,-1.360430,-0.187843,8.202310,0.000
59.0101,-1.360430,-0.187843,8.202310,0.000
64.5174,3.556708,7.926134,8.146345,0.000
64.5191,2.945330,6.917507,8.140963,0.000
70.0285,-0.237477,1.091644,8.124027,0.000
75.5385,-0.521753,3.806253,8.146003,0.000
103.0907,-0.521753,3.806253,8.146003,0.000
108.6006,0.958225,5.292719,8.123190,0.000
114.1091,1.024756,-2.266580,8.092065,0.000
119.6238,2.174142,-2.737449,8.139169,0.000
130.6515,2.174142,-2.737449,8.139169,0.000
