t_sec,x,y,z,solve_ms
18.6638,0.000000,0.000000,0.000000,0.000
18.7632,0.000000,0.000000,0.000000,0.000
18.8635,0.000000,0.000000,0.000000,0.000
18.9635,0.000000,0.000000,0.000000,0.000
19.0637,0.000000,0.000000,0.000000,0.000
19.1634,6.733012,15.690850,0.300461,0.000
19.2637,6.733012,15.690850,0.300461,0.000
19.3634,6.733012,15.690850,0.300461,0.000
19.4635,6.733012,15.690850,0.300461,0.000
19.5650,6.733012,15.690850,0.300461,0.000
19.6632,6.733012,15.690850,0.300461,0.000
19.7635,6.733012,15.690850,0.300461,0.000
19.8643,6.733012,15.690850,0.300461,0.000
19.9637,6.733012,15.690850,0.300461,0.000
20.0633,6.733012,15.690850,0.300461,0.000
20.1634,6.733012,15.690850,0.300461,0.000
20.2635,6.733012,15.690850,0.300461,0.000
20.3634,6.733012,15.690850,0.300461,0.000
20.4633,6.733012,15.690850,0.300461,0.000
20.5639,6.733012,15.690850,0.300461,0.000
20.6634,6.733012,15.690850,0.300461,0.000
20.7632,6.733012,15.690850,0.300461,0.000
20.8636,6.733012,15.690850,0.300461,0.000
20.9634,6.733012,15.690850,0.300461,0.000
21.0363,6.733012,15.690850,0.300461,0.000
26.5430,16.590032,5.519059,0.227114,0.000
32.0542,10.818271,8.310367,0.310767,0.000
37.5654,12.210743,7.575113,0.225276,0.000
43.0780,9.013375,7.390794,0.270956,0.000
48.5890,12.964603,10.584022,0.248173,0.000
54.0944,11.248512,10.335432,0.343264,0.000
54.0957,11.348494,10.361810,0.328432,0.000
59.6052,11.640053,10.171356,0.265724,0.000
65.1127,5.856740,9.368247,0.302924,0.000
70.6189,3.119564,7.820296,2.742328,0.000
76.1251,3.251106,10.938374,4.024261,0.000
81.6342,1.020682,7.817614,2.632617,0.000
87.1378,2.359932,8.180517,-0.142824,0.000
92.6410,2.501695,10.057901,0.033426,0.000
98.1575,4.867472,13.102734,0.007776,0.000
103.6790,3.849702,9.625068,-0.027466,0.000
109.1899,4.387354,12.346881,1.323927,0.000
114.6910,2.314917,8.988692,0.700586,0.000
120.1983,2.859784,6.405325,1.178652,0.000
125.7119,1.497453,7.717730,2.374697,0.000
136.7196,4.136467,6.996594,2.797970,0.000
