t_sec,x,y,z,solve_ms
3.0173,4.791560,5.386761,4.555367,0.000
3.1187,4.741510,5.360640,4.605159,0.000
3.2161,4.767410,5.362644,4.552447,0.000
3.3168,4.771891,5.328057,4.543360,0.000
3.4162,4.803468,5.380563,4.543486,0.000
3.5171,4.773004,5.319386,4.565366,0.000
3.6168,4.782900,5.337333,4.576872,0.000
3.7169,4.774411,5.332572,4.555769,0.000
3.8162,4.777245,5.361326,4.566720,0.000
3.9169,4.764127,5.305395,4.578644,0.000
4.0164,4.765237,5.368158,4.583803,0.000
4.1159,4.755778,5.368183,4.598253,0.000
4.2162,4.729636,5.309950,4.621780,0.000
4.3162,4.719925,5.301278,4.585930,0.000
4.4164,4.757457,5.289852,4.590068,0.000
4.5171,4.695424,5.268058,4.577048,0.000
4.6163,4.685301,5.263142,4.602152,0.000
4.7161,4.678931,5.246942,4.568576,0.000
4.8161,4.675737,5.255895,4.575460,0.000
4.9164,4.679774,5.266266,4.576182,0.000
5.0164,4.694100,5.249072,4.563014,0.000
5.1161,4.693972,5.252013,4.528569,0.000
5.2159,4.722188,5.209797,4.512656,0.000
5.3167,4.730643,5.258363,4.482221,0.000
5.4161,4.719000,5.205978,4.524518,0.000
5.5160,4.751710,5.236343,4.507216,0.000
5.6172,4.719589,5.233326,4.558726,0.000
5.7162,4.695160,5.231801,4.538152,0.000
5.8161,4.693259,5.237020,4.559891,0.000
5.9167,4.692172,5.234022,4.484677,0.000
6.0164,4.670807,5.272364,4.534795,0.000
6.1162,4.629502,5.242161,4.532754,0.000
6.2163,4.635753,5.216181,4.572787,0.000
6.3160,4.652346,5.258396,4.531399,0.000
6.4162,4.614396,5.241839,4.562342,0.000
6.5167,4.628109,5.262477,4.587494,0.000
6.6164,4.604518,5.238835,4.555229,0.000
6.7161,4.644434,5.258429,4.567636,0.000
6.8162,4.628045,5.238094,4.557356,0.000
6.9162,4.641576,5.269277,4.550234,0.000
7.0165,4.628174,5.233801,4.555775,0.000
7.1170,4.663603,5.309496,4.601947,0.000
7.2170,4.656660,5.243782,4.548789,0.000
7.3162,4.631960,5.252755,4.578728,0.000
7.4165,4.621583,5.206982,4.587079,0.000
7.5169,4.610273,5.169176,4.585736,0.000
7.6167,4.622669,5.200442,4.529943,0.000
7.7164,4.624862,5.186220,4.588507,0.000
7.8169,4.620975,5.182643,4.588732,0.000
7.9162,4.633097,5.223114,4.610556,0.000
8.0171,4.620060,5.235536,4.651305,0.000
8.1167,4.645962,5.240196,4.678173,0.000
8.2161,4.608463,5.219710,4.674795,0.000
8.3160,4.642772,5.213602,4.637475,0.000
8.4161,4.622551,5.232343,4.663134,0.000
8.5168,4.634572,5.233165,4.678685,0.000
8.6160,4.637570,5.241538,4.674087,0.000
8.7166,4.675743,5.221795,4.661181,0.000
8.8163,4.677903,5.222159,4.664888,0.000
8.9169,4.647676,5.224909,4.648185,0.000
9.0162,4.659589,5.221572,4.634468,0.000
9.1161,4.651344,5.189961,4.610809,0.000
9.2164,4.630873,5.197142,4.672357,0.000
9.3162,4.616936,5.171035,4.666531,0.000
9.4161,4.661243,5.175268,4.639579,0.000
9.5164,4.605015,5.175116,4.684524,0.000
9.6160,4.605539,5.212209,4.691680,0.000
9.7166,4.651424,5.177066,4.668653,0.000
9.8159,4.637920,5.199187,4.672041,0.000
9.9161,4.619805,5.199230,4.668116,0.000
10.0162,4.610534,5.183124,4.671009,0.000
10.1167,4.641010,5.226885,4.655238,0.000
10.2161,4.657936,5.213479,4.688529,0.000
10.3166,4.626704,5.194240,4.719755,0.000
10.4163,4.622849,5.198284,4.720853,0.000
10.5160,4.611429,5.175373,4.699063,0.000
10.6161,4.618405,5.202384,4.674191,0.000
10.7163,4.598333,5.219320,4.663727,0.000
10.8161,4.607631,5.218308,4.664933,0.000
10.9164,4.609871,5.237449,4.669829,0.000
11.0174,4.590255,5.240440,4.661220,0.000
11.1167,4.554944,5.226600,4.643970,0.000
11.2173,4.558879,5.264705,4.693408,0.000
11.3166,4.593577,5.260939,4.656364,0.000
11.4163,4.594009,5.251102,4.637526,0.000
11.5167,4.586609,5.309497,4.670739,0.000
11.6162,4.567336,5.249175,4.657518,0.000
11.7160,4.609110,5.318107,4.715568,0.000
11.8159,4.590373,5.278152,4.717904,0.000
11.9162,4.580248,5.246306,4.705023,0.000
12.0168,4.624922,5.299143,4.706267,0.000
12.1160,4.605987,5.290518,4.717705,0.000
12.2161,4.600651,5.220760,4.691482,0.000
12.3167,4.584197,5.253406,4.661469,0.000
12.4167,4.575759,5.245332,4.663001,0.000
12.5167,4.530850,5.219334,4.643844,0.000
12.6161,4.567264,5.256743,4.651138,0.000
12.7162,4.544010,5.245087,4.660554,0.000
12.8161,4.554813,5.268387,4.638960,0.000
12.9164,4.514064,5.246634,4.637677,0.000
