t_sec,x,y,z,solve_ms,n_zero_weights
9.519,0.0124,0.0024,-0.0007,2.031,3
15.033,-0.0541,-0.0537,0.0069,3.497,3
20.540,-0.1033,0.0088,-0.0024,1.698,3
26.048,-0.0331,-0.0127,-0.0168,1.874,0
31.562,-0.0808,-0.0077,-0.0395,3.250,0
42.570,-0.1324,-0.0582,-0.0146,1.758,0
48.077,-0.0552,-0.0239,0.0061,4.111,0
53.574,-0.0890,-0.0468,-0.0232,2.578,0
59.091,-0.1220,-0.0652,-0.0118,3.223,0
64.589,-0.0952,-0.0177,-0.0196,1.827,0
70.097,-0.0812,-0.0569,0.0246,2.083,0
75.611,-0.0454,-0.0325,0.0328,2.900,0
81.113,-0.1031,-0.0780,0.0026,2.102,0
86.622,-0.0610,-0.0260,0.0074,2.557,0
92.138,-0.1015,-0.0396,-0.0462,2.565,0
97.651,-0.1181,-0.0587,-0.0025,3.356,0
103.151,-0.0910,-0.0454,0.0109,3.370,0
108.660,-0.0785,-0.0306,0.0135,2.914,0
114.161,-0.0753,-0.0514,-0.0000,1.821,0
119.662,-0.1160,-0.0328,0.0385,2.601,0
130.679,-0.0499,-0.0131,0.0091,3.173,0
136.179,-0.0718,-0.0073,0.7384,1.626,0
