t_sec,x,y,z,solve_ms,n_zero_weights
9.441,-0.0535,-0.0195,0.0049,2.247,3
14.955,-0.0204,0.0117,0.0218,2.437,0
20.465,0.0153,-0.0084,0.0086,1.741,0
25.971,-0.0132,0.0260,0.0011,2.439,0
31.489,0.0356,-0.0395,0.0064,7.759,0
36.996,0.0195,0.0118,-0.0241,3.449,0
42.507,0.0065,0.0161,-0.0127,1.968,0
48.016,-0.0456,-0.0025,-0.0412,2.511,0
53.526,0.0024,0.0265,-0.0600,1.760,0
59.027,-0.0108,0.0101,-0.0375,3.071,0
64.532,0.0088,0.0127,0.0091,2.302,0
70.047,0.0341,0.0101,0.0047,2.122,0
75.558,0.0474,0.0307,-0.0303,1.757,0
81.070,-0.0168,0.0091,-0.0412,2.025,0
86.586,0.0344,0.0160,-0.0461,2.350,0
86.609,0.0492,0.0042,-0.0364,2.242,0
86.707,0.0369,-0.0200,-0.0514,1.687,0
86.810,-0.0064,-0.0186,-0.0607,3.070,0
86.907,-0.0013,0.0286,-0.0835,1.879,0
87.009,-0.0010,0.0173,-0.1149,2.182,0
87.108,0.0218,0.0369,-0.1627,2.175,0
87.209,0.0202,0.0568,-0.1734,2.620,0
87.308,0.0502,0.0594,-0.1459,2.412,0
87.408,0.0568,0.0742,-0.1486,1.938,0
87.509,0.0932,0.0742,-0.1849,2.141,0
87.609,0.0760,0.0795,-0.1908,2.549,0
87.709,0.1022,0.1052,-0.2302,2.451,0
87.808,0.0711,0.1224,-0.2728,2.058,0
87.910,0.1160,0.1433,-0.2560,4.197,0
88.008,0.1467,0.1332,-0.2512,1.798,0
88.108,0.1216,0.1546,-0.2552,1.992,0
88.208,0.1481,0.1448,-0.2551,1.840,0
88.307,0.1030,0.1602,-0.2269,1.866,0
88.408,0.1212,0.2056,-0.2330,1.869,0
88.508,0.1352,0.1903,-0.1969,2.051,0
88.609,0.1417,0.2188,-0.1959,2.015,0
88.708,0.1158,0.1962,-0.1883,2.073,0
88.808,0.1003,0.1730,-0.1958,1.944,0
88.908,0.1043,0.1487,-0.1867,2.379,0
89.008,0.1311,0.1594,-0.1821,2.237,0
89.107,0.1522,0.1646,-0.1514,1.792,0
89.208,0.1616,0.1526,-0.1882,1.974,0
89.309,0.1257,0.1729,-0.1888,3.274,0
89.408,0.1561,0.1953,-0.2197,1.836,0
89.510,0.1356,0.2236,-0.1887,4.206,0
89.608,0.1408,0.2239,-0.1950,1.890,0
89.709,0.1832,0.2300,-0.2322,3.004,0
89.810,0.1394,0.2314,-0.2275,3.538,0
89.910,0.1524,0.2373,-0.2139,3.529,0
