t_sec,x,y,z,solve_ms,n_zero_weights
15.165,1.8141,-0.1270,0.0251,2.288,4
20.672,1.8656,-0.0605,-0.0991,1.754,4
26.190,2.3676,-0.1016,0.3030,3.610,4
31.689,2.0875,0.0501,0.2234,2.590,3
37.195,2.3997,-0.0458,0.2840,2.779,5
42.712,1.2237,-0.1540,3.2609,1.433,4
53.744,0.4827,0.0293,1.1831,1.647,5
59.245,0.5112,0.0239,0.0428,1.754,1
64.753,0.5072,0.0424,0.0005,2.772,1
70.267,2.2507,-0.0752,0.6162,2.196,5
75.786,2.3241,0.0201,-0.4239,2.979,5
81.298,2.1981,0.0992,-0.0545,2.451,3
86.806,0.7307,0.0669,0.1475,3.029,3
92.324,2.7261,0.1750,0.0098,3.659,3
103.343,0.2899,0.1827,0.3612,2.258,2
108.847,0.3121,0.2444,0.1414,4.386,2
114.350,0.2766,0.2147,0.1017,2.103,2
119.862,0.2192,0.1169,0.0939,2.058,3
125.377,-0.6507,0.2691,0.1024,1.876,6
130.882,2.2027,0.1717,0.0842,2.968,6
