t_sec,x,y,z,solve_ms,n_zero_weights
9.685,6.5921,74.8268,-0.1445,5.160,8
15.187,5.5505,72.0043,0.0472,2.284,5
20.706,6.2640,75.1277,-0.3886,2.714,7
26.208,1.5231,72.5941,-0.9706,3.168,6
31.724,2.5047,73.2511,-0.5714,3.056,3
37.226,-3.5366,76.4438,-1.0258,2.229,3
42.743,-1.3334,75.8255,-0.1995,2.919,4
48.245,-0.5436,76.2423,0.3341,2.917,5
53.747,0.0941,71.8123,4.1794,2.225,3
59.268,-3.4487,67.3639,4.4270,3.619,2
64.767,-3.2143,65.4165,3.5209,2.602,3
70.279,2.8556,62.5706,4.1445,3.021,2
75.789,3.0124,62.5944,3.5256,3.746,5
81.305,1.5637,58.4586,3.0480,3.520,5
86.820,-0.0557,63.4476,2.6258,4.415,5
92.327,-0.5683,59.5192,3.3468,4.483,5
97.834,1.8549,56.2592,-0.3022,1.598,2
103.346,2.0506,53.0506,-0.2708,2.458,7
108.862,2.4744,53.6728,-0.8084,3.498,7
114.367,2.6121,53.9994,2.8916,2.425,7
119.886,-0.6366,55.9664,3.9294,5.294,6
125.394,-0.6203,55.7025,2.8507,2.025,2
