t_sec,x,y,z,solve_ms,n_zero_weights
9.414,3.1934,-0.4837,0.0536,2.245,2
14.920,3.9060,0.7549,1.1945,3.158,0
25.931,2.3372,-1.4370,4.2506,3.469,0
31.437,5.8163,2.0790,-0.7446,2.057,4
36.948,0.2660,0.1566,0.8482,3.428,2
42.463,5.0210,6.4203,1.7664,3.288,9
47.970,4.9943,-1.7386,1.4684,1.899,10
53.472,1.8984,2.8108,-1.3232,2.638,6
58.980,4.0191,-0.1960,-0.3329,3.247,3
70.010,3.0359,0.5877,0.2418,1.636,5
75.523,4.2051,-0.1536,-0.7283,2.654,5
81.031,3.9805,-0.0074,-0.3305,2.417,5
86.539,4.9689,0.8614,-0.6443,2.685,3
103.063,4.7812,0.6487,-0.5770,2.195,5
108.567,1.4996,0.8029,-0.2127,2.857,2
114.084,6.8083,0.6170,-1.6492,2.645,4
125.098,2.5775,0.7000,-0.3298,2.580,1
130.613,2.7805,0.6368,0.2325,2.818,7
136.124,6.3641,0.6463,-0.9759,2.054,7
