t_sec,x,y,z,solve_ms,n_zero_weights
9.547,3.8444,0.0178,0.0000,2.714,8
15.059,3.8821,0.0336,0.0000,2.720,4
20.565,3.9170,0.0330,0.0000,2.496,4
26.083,3.8311,-0.0431,0.0000,3.046,4
31.590,3.9042,0.0066,0.0000,5.322,4
37.098,3.8477,0.0314,0.0000,3.245,4
42.611,3.8692,0.0194,0.0000,3.308,4
48.118,3.8500,0.2806,0.0000,2.249,4
53.630,4.4616,-0.1770,0.0000,2.127,7
59.148,2.5993,0.2067,0.0000,3.872,5
70.164,2.6410,0.0772,0.0000,2.727,5
75.666,2.6040,0.2326,0.0000,2.581,6
81.177,2.4294,0.3604,0.0000,2.431,2
92.208,2.5371,0.2333,0.0000,3.739,2
97.725,2.3925,0.1845,0.0000,4.702,2
103.238,2.3139,0.1416,-0.0169,1.581,2
108.740,2.3922,0.1388,-0.1828,1.836,3
114.257,2.3213,0.1556,-0.0882,1.961,3
119.767,2.3142,0.1042,-0.1357,3.259,3
125.268,2.2688,0.1298,-0.1101,3.264,2
130.773,2.1589,0.0774,-0.0134,2.816,2
