t_sec,x,y,z,solve_ms,n_zero_weights
9.033,0.0623,0.0499,4.9400,4.244,0
14.538,0.1429,0.0141,4.4864,2.307,5
20.053,0.0600,0.0714,1.0169,3.063,5
25.566,0.1524,0.0510,0.4536,2.624,6
31.070,0.0602,0.0402,0.4796,2.383,5
36.586,0.1321,0.0101,0.4593,3.725,5
42.102,-0.2862,-0.0072,0.7812,4.488,4
47.617,0.0849,0.0029,5.3258,2.649,3
53.124,0.0285,0.0127,5.3818,2.322,1
58.641,0.1140,-0.0695,5.2744,3.234,3
64.158,0.1490,0.3581,5.4468,2.993,4
69.669,0.5811,0.3311,5.4554,2.538,4
75.180,0.3046,0.3718,5.4924,2.796,2
80.686,0.3909,0.6583,5.2417,3.723,0
86.191,0.3953,0.5889,5.2525,3.502,3
91.697,0.4644,0.7574,5.2659,3.093,1
97.200,0.4540,0.7533,5.0301,2.868,6
102.707,0.4364,0.8093,5.2636,3.574,4
108.219,0.5674,0.8431,4.3462,3.866,5
113.721,0.4724,0.8145,0.6504,4.525,7
119.238,0.5490,0.8368,0.1816,3.238,5
124.751,0.4535,0.8450,0.3048,4.038,3
130.261,0.6843,0.8037,0.2868,3.322,3
