t_sec,x,y,z,solve_ms,n_zero_weights
8.277,0.0017,0.0287,4.5733,3.173,0
13.788,0.0047,0.0386,4.8470,3.527,0
19.296,-0.0086,0.0472,4.9572,3.218,0
24.804,-0.0233,0.0077,4.9157,3.145,0
30.315,-0.0266,0.0217,4.9642,2.039,0
35.825,-0.0098,-0.0043,4.9328,2.928,0
41.334,-0.0258,0.0714,4.9660,3.818,0
46.849,-0.0440,-0.0181,4.9773,3.127,0
52.354,-0.0354,0.0579,4.9434,2.928,0
57.865,-0.0418,-0.0280,4.9799,3.152,0
63.376,-0.0391,0.0058,4.9495,1.830,0
68.883,-0.0468,0.0447,4.9655,3.806,0
74.389,-0.0559,0.0552,4.9620,3.243,0
79.890,-0.0317,0.0374,4.9021,2.528,0
85.402,-0.0682,0.0414,4.9419,3.215,0
90.908,-0.0486,0.0118,4.9428,1.985,0
96.425,-0.0827,0.0194,4.9978,3.211,0
107.448,-0.0425,0.0373,4.9540,3.646,0
112.965,-0.0177,0.0240,4.9265,3.728,0
118.479,-0.0327,0.0547,4.9680,3.339,0
123.982,-0.0224,0.0187,4.9015,2.707,0
129.494,-0.0557,0.0299,4.9541,2.826,0
134.996,-0.0463,0.0248,4.9389,1.747,0
