t_sec,x,y,z,solve_ms,n_zero_weights
1.004,0.0191,0.0059,4.8211,2.925,0
1.103,0.0263,-0.0232,4.8178,2.022,0
1.203,0.0611,-0.0372,4.7500,2.336,0
1.303,0.0464,-0.0218,4.7611,1.933,0
1.403,0.0249,-0.0262,4.7874,1.979,0
1.504,0.0205,0.0144,4.8178,2.880,0
1.603,0.0255,0.0230,4.7764,1.921,0
1.704,0.0528,0.0520,4.7483,2.646,0
1.804,0.0459,0.0391,4.7837,2.508,0
1.902,0.0345,0.0024,4.8460,1.657,0
2.003,-0.0014,-0.0272,4.9000,2.872,0
2.103,0.0228,-0.0061,4.8418,1.558,0
2.205,0.0278,0.0464,4.8179,3.394,0
2.303,0.0580,0.0990,4.8095,1.604,0
2.404,0.0603,0.0069,4.7976,1.553,0
2.504,0.0803,-0.0117,4.7733,2.248,0
2.603,0.0440,-0.0218,4.7955,2.287,0
2.703,0.0663,-0.0206,4.7586,1.983,0
2.803,0.0354,0.0052,4.7877,2.547,0
2.903,0.0479,-0.0224,4.7712,1.909,0
3.003,0.0445,0.0406,4.7646,2.099,0
3.103,0.0453,-0.0297,4.7712,2.208,0
3.203,0.0413,0.0139,4.7495,2.062,0
3.303,0.0177,0.0080,4.7521,1.788,0
3.403,0.0100,-0.0409,4.7500,2.053,0
3.503,0.0172,0.0196,4.7420,1.817,0
3.603,0.0035,-0.0180,4.7509,2.249,0
3.703,0.0042,-0.0476,4.7342,1.633,0
3.803,0.0023,-0.0383,4.7192,2.212,0
3.903,0.0110,-0.0604,4.6927,1.828,0
4.003,0.0075,-0.0216,4.7454,1.881,0
4.103,0.0110,-0.0299,4.7221,1.991,0
4.203,0.0178,0.0084,4.7321,1.941,0
4.303,0.0294,-0.0176,4.7271,1.701,0
4.403,0.0412,0.0355,4.7071,2.048,0
4.502,0.0374,0.0222,4.7319,1.525,0
4.604,0.0301,-0.0239,4.7196,2.997,0
4.703,0.0273,-0.0411,4.6716,1.933,0
4.802,-0.0053,-0.0315,4.7294,1.573,0
4.903,-0.0072,-0.0118,4.7431,1.512,0
5.002,0.0155,-0.0093,4.6788,1.668,0
5.103,0.0037,-0.0186,4.6631,1.948,0
5.204,-0.0297,-0.0297,4.6760,3.131,0
5.303,-0.0414,-0.0663,4.7132,2.016,0
5.402,-0.0599,-0.0264,4.7223,1.657,0
5.503,-0.0452,-0.0101,4.7325,1.362,0
5.603,-0.0586,0.0040,4.7274,2.148,0
5.703,-0.0443,-0.0387,4.6944,1.649,0
5.802,-0.0318,0.0105,4.7333,1.846,0
5.903,-0.0218,-0.0170,4.7374,1.849,0
6.002,-0.0080,-0.0177,4.7268,1.873,0
6.102,-0.0086,-0.0430,4.7075,1.553,0
6.203,-0.0049,-0.0354,4.6773,2.507,0
6.302,-0.0412,-0.1089,4.7244,1.728,0
6.403,-0.0192,-0.0793,4.7163,2.198,0
6.502,-0.0165,-0.0796,4.7049,1.572,0
6.603,0.0016,-0.1080,4.6867,1.390,0
6.703,-0.0221,-0.1391,4.7139,1.749,0
6.803,-0.0206,-0.1273,4.7599,2.262,0
6.903,-0.0199,-0.1648,4.7576,1.795,0
