t_sec,x,y,z,solve_ms,n_zero_weights
9.740,4.0311,1.9565,-0.0180,3.496,2
15.245,3.4990,2.4634,0.2063,2.515,8
20.752,2.4226,1.9437,0.0776,1.633,9
26.261,2.1539,2.1471,0.1853,2.727,9
31.768,2.4279,2.2742,0.2464,3.950,6
37.283,2.1523,2.3860,0.1418,3.336,5
42.790,3.8106,1.8102,0.2472,3.261,6
48.307,4.1670,1.8884,0.0739,3.425,4
53.818,4.1013,1.8462,0.2058,3.218,4
59.332,0.3797,-0.0814,0.3896,3.143,3
64.850,4.2320,0.4218,-4.3449,2.990,5
70.361,4.3890,0.0030,-4.0652,1.599,4
75.865,0.2450,0.1477,-4.0789,2.598,4
81.371,0.3376,0.1117,-3.9002,3.415,3
86.881,0.3216,0.1056,-4.1022,2.350,4
92.394,0.3343,0.1288,-3.8697,3.211,5
97.900,3.5881,0.8870,-4.1660,2.651,3
103.411,3.6774,1.5050,-4.3367,2.857,4
108.913,3.8949,1.2884,-4.3560,2.919,4
114.413,0.4027,0.8937,-3.6184,2.525,7
119.924,3.9526,1.5637,-4.3701,1.628,3
125.431,3.8860,1.2380,-4.6742,2.891,6
130.941,0.7052,-0.1164,-4.1823,2.194,4
136.460,1.1884,0.1727,-3.6249,2.829,4
