t_sec,x,y,z,solve_ms,n_zero_weights
4.703,3.8924,2.1184,-0.0361,2.073,0
4.803,3.8301,2.1835,-0.0308,1.580,0
4.903,3.8023,2.2060,-0.0237,1.570,0
5.004,3.7923,2.2126,-0.0221,1.895,0
5.103,3.7886,2.2147,-0.0217,1.877,0
5.203,3.7872,2.2153,-0.0216,1.727,0
5.303,3.7867,2.2155,-0.0215,1.681,0
5.403,3.7865,2.2155,-0.0215,1.426,0
5.502,3.7865,2.2155,-0.0215,1.374,0
5.604,3.7864,2.2155,-0.0215,1.977,0
5.703,3.7864,2.2155,-0.0215,1.504,0
5.803,3.7864,2.2155,-0.0215,1.614,0
5.902,3.7864,2.2155,-0.0215,1.461,0
6.003,3.7864,2.2155,-0.0215,1.516,0
6.102,3.7864,2.2155,-0.0215,1.331,0
6.204,3.7864,2.2155,-0.0215,1.668,0
6.303,3.7864,2.2155,-0.0215,1.515,0
6.403,3.7864,2.2155,-0.0215,1.551,0
6.502,3.7864,2.2155,-0.0215,1.333,0
6.603,3.7864,2.2155,-0.0215,1.698,0
6.703,3.7864,2.2155,-0.0215,1.599,0
6.802,3.7864,2.2155,-0.0215,1.316,0
6.903,3.7864,2.2155,-0.0215,1.433,0
7.003,3.7864,2.2155,-0.0215,1.507,0
7.102,3.7864,2.2155,-0.0215,1.388,0
7.203,3.7864,2.2155,-0.0215,1.522,0
7.303,3.7864,2.2155,-0.0215,1.760,0
7.404,3.7864,2.2155,-0.0215,2.117,0
7.505,3.7864,2.2155,-0.0215,2.857,0
7.603,3.7864,2.2155,-0.0215,1.482,0
7.703,3.7864,2.2155,-0.0215,1.798,0
7.802,3.7864,2.2155,-0.0215,1.388,0
7.904,3.7864,2.2155,-0.0215,1.965,0
8.003,3.7864,2.2155,-0.0215,2.035,0
8.104,3.7864,2.2155,-0.0215,2.247,0
8.204,3.7864,2.2155,-0.0215,1.867,0
8.303,3.7864,2.2155,-0.0215,1.667,0
8.404,3.7864,2.2155,-0.0215,2.454,0
8.503,3.7864,2.2155,-0.0215,1.570,0
8.604,3.7864,2.2155,-0.0215,1.795,0
8.704,3.7864,2.2155,-0.0215,1.960,0
8.804,3.7864,2.2155,-0.0215,1.799,0
8.903,3.7864,2.2155,-0.0215,1.702,0
9.004,3.7864,2.2155,-0.0215,1.568,0
9.103,3.7864,2.2155,-0.0215,1.771,0
9.204,3.7864,2.2155,-0.0215,1.786,0
9.303,3.7864,2.2155,-0.0215,1.708,0
9.403,3.7864,2.2155,-0.0215,1.714,0
9.503,3.7864,2.2155,-0.0215,1.480,0
9.603,3.7864,2.2155,-0.0215,1.600,0
9.667,3.7864,2.2155,-0.0215,3.458,0
15.182,3.8819,2.0271,0.0305,2.870,3
20.683,3.7970,11.5196,0.0467,2.612,8
31.710,3.8152,0.1774,0.1511,2.518,6
37.224,3.6572,0.1855,0.1133,3.184,5
42.735,3.8575,0.1540,0.1104,3.021,5
48.247,3.6268,0.2312,0.1700,2.597,5
53.757,3.9125,0.2187,0.1688,3.710,3
59.265,3.7320,0.2222,0.0929,3.955,3
64.776,3.6561,0.1506,0.0691,3.011,2
70.284,3.9246,0.3078,0.0616,2.339,3
75.798,3.7967,0.2074,0.0003,3.550,2
81.304,3.8373,0.2111,0.0602,2.980,2
86.814,3.5103,0.7756,-0.1617,3.119,2
92.326,3.7500,0.4623,-1.1266,3.227,3
97.840,4.7976,-1.1541,-0.2234,3.074,10
103.347,6.0872,3.8931,0.0713,3.400,9
108.862,6.3748,3.0271,0.0473,4.134,3
114.372,6.3431,2.2432,0.1056,3.677,4
119.881,6.3639,0.6173,0.7225,3.541,5
