t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.116,0.0107,-0.0000,-0.0011,14.965,4,4
0.235,-0.0058,-0.0000,-0.0181,24.697,4,4
0.313,-0.0236,0.0000,-0.0212,11.657,4,4
0.415,-0.0038,-0.0000,0.0096,13.581,4,4
0.532,-0.0694,0.0000,-0.0264,29.685,4,4
0.615,-0.0238,0.0000,-0.0187,13.591,4,4
0.714,-0.0564,0.0000,0.0363,11.912,4,4
0.824,-0.0278,0.0000,-0.0024,20.321,4,4
0.917,-0.0229,0.0000,0.0099,15.648,4,4
1.012,-0.0310,-0.0000,0.0432,11.220,4,4
1.121,-0.0099,0.0000,0.0530,13.753,4,4
1.221,-0.0396,-0.0000,0.0148,18.291,4,4
1.327,-0.0022,-0.0000,0.0268,25.193,4,4
1.420,-0.0341,0.0000,0.0562,18.346,4,4
1.520,-0.0376,0.0000,0.0530,17.908,4,4
1.616,-0.0468,0.0000,0.0915,14.606,4,4
1.719,-0.0276,0.0000,0.0512,17.508,4,4
1.811,-0.0160,0.0000,0.0436,9.606,4,4
1.923,-0.0074,0.0000,0.0483,19.843,4,4
2.016,-0.0519,0.0000,0.0431,13.722,4,4
2.119,-0.0391,-0.0000,0.0300,17.589,4,4
2.219,-0.0467,0.0000,0.0397,17.969,4,4
2.315,-0.0325,-0.0000,0.0384,13.722,4,4
2.421,-0.0368,-0.0000,0.0099,14.792,4,4
2.514,-0.0787,-0.0000,0.0314,12.116,4,4
2.622,-0.0549,-0.0000,-0.0027,19.846,4,4
2.721,-0.0840,-0.0000,0.0203,19.162,4,4
2.814,-0.0963,-0.0000,0.0137,12.439,4,4
2.916,-0.0676,-0.0000,-0.0055,14.178,4,4
3.015,-0.0226,-0.0000,0.0035,11.231,4,4
3.112,-0.0719,-0.0000,-0.0059,10.026,4,4
3.219,-0.0943,-0.0000,0.0135,17.759,4,4
3.320,-0.0636,-0.0000,-0.0161,16.583,4,4
3.419,-0.1146,0.0000,-0.0121,17.550,4,4
3.519,-0.0758,-0.0000,-0.0214,13.990,4,4
3.622,-0.0831,0.0000,-0.0019,17.342,4,4
3.709,-0.0874,-0.0000,-0.0208,7.622,4,4
3.812,-0.0576,0.0000,-0.0211,10.602,4,4
3.926,-0.0364,-0.0000,-0.0375,24.286,4,4
4.019,-0.0278,-0.0000,-0.0214,17.697,4,4
4.114,-0.0282,-0.0000,0.0018,12.003,4,4
4.219,-0.1019,-0.0000,-0.0034,15.636,4,4
4.317,0.0062,-0.0000,0.0084,11.441,4,4
4.417,-0.0191,-0.0000,0.0084,16.220,4,4
4.516,0.0246,-0.0000,-0.0052,15.050,4,4
4.620,-0.0067,-0.0000,0.0317,18.651,4,4
4.721,-0.0276,-0.0000,0.0015,18.177,4,4
4.817,-0.0393,-0.0000,-0.0051,15.272,4,4
4.914,-0.0031,-0.0000,-0.0340,13.011,4,4
5.016,-0.0159,-0.0000,-0.0056,14.944,4,4
5.120,-0.0168,0.0000,-0.0069,17.323,4,4
5.229,-0.0044,-0.0000,-0.0446,27.077,4,4
5.316,0.0038,-0.0000,-0.0220,13.116,4,4
5.413,0.0100,-0.0000,-0.0183,10.531,4,4
5.515,-0.0111,-0.0000,-0.0020,11.178,4,4
5.612,-0.0320,-0.0000,-0.0231,10.978,4,4
5.718,-0.0217,-0.0000,0.0006,14.385,4,4
5.824,-0.0197,0.0000,-0.0124,16.293,4,4
5.916,-0.0472,-0.0000,-0.0387,14.489,4,4
6.022,-0.0402,0.0000,0.0022,19.532,4,4
6.116,-0.0733,-0.0000,-0.0259,14.801,4,4
6.221,-0.0712,0.0000,-0.0017,20.043,4,4
6.315,-0.0709,-0.0000,-0.0127,12.344,4,4
6.423,-0.0452,-0.0000,-0.0195,21.916,4,4
6.514,-0.0784,-0.0000,-0.0101,12.081,4,4
6.618,-0.0627,-0.0000,-0.0251,17.168,4,4
6.720,-0.0521,-0.0000,0.0137,18.510,4,4
6.828,-0.0508,-0.0000,-0.0148,20.406,4,4
6.920,-0.1081,-0.0000,-0.0196,17.677,4,4
7.018,-0.0966,-0.0000,-0.0130,17.218,4,4
7.115,-0.0804,-0.0000,-0.0195,13.772,4,4
7.216,-0.0948,-0.0000,0.0086,12.840,4,4
7.313,-0.0785,0.0000,-0.0032,10.636,4,4
7.416,-0.0858,0.0000,0.0010,14.058,4,4
7.514,-0.0693,0.0000,-0.0162,13.161,4,4
7.615,-0.0697,-0.0000,-0.0397,12.840,4,4
7.718,-0.0910,0.0000,-0.0031,16.567,4,4
7.813,-0.1462,-0.0000,-0.0213,12.256,4,4
7.920,-0.1048,0.0000,-0.0117,19.227,4,4
8.016,-0.1536,-0.0000,-0.0278,14.378,4,4
8.111,-0.1661,-0.0000,-0.0252,9.750,4,4
8.212,-0.1720,-0.0000,-0.0178,8.745,4,4
8.312,-0.1598,-0.0000,-0.0285,9.910,4,4
8.411,-0.1558,-0.0000,-0.0465,9.199,4,4
8.518,-0.1305,-0.0000,-0.0518,17.149,4,4
8.614,-0.1424,-0.0000,-0.0500,12.179,4,4
8.719,-0.1141,-0.0000,-0.0433,17.239,4,4
8.819,-0.1307,-0.0000,-0.0475,16.474,4,4
8.918,-0.1771,-0.0000,-0.0194,12.328,4,4
9.016,-0.1489,-0.0000,-0.0522,11.161,4,4
9.113,-0.1478,-0.0000,-0.0251,10.622,4,4
9.216,-0.1774,-0.0000,-0.0252,14.694,4,4
9.314,-0.2006,-0.0000,-0.0293,12.765,4,4
9.416,-0.1724,-0.0000,-0.0133,14.376,4,4
9.525,-0.1735,-0.0000,0.0032,23.158,4,4
9.643,-0.1471,-0.0000,-0.0168,34.416,4,4
9.718,-0.1908,-0.0000,0.0035,16.529,4,4
9.818,-0.1975,-0.0000,-0.0098,16.647,4,4
9.922,-0.2062,-0.0000,-0.0485,21.047,4,4
10.024,-0.1519,-0.0000,0.0067,20.243,4,4
10.117,-0.1245,-0.0000,-0.0228,15.563,4,4
10.222,-0.1248,-0.0000,-0.0217,21.369,4,4
10.327,-0.1254,-0.0000,-0.0064,25.102,4,4
10.417,-0.1221,-0.0000,-0.0039,14.885,4,4
10.515,-0.1630,-0.0000,-0.0067,13.539,4,4
10.620,-0.1202,-0.0000,-0.0252,18.071,4,4
10.722,-0.0737,-0.0000,-0.0016,21.052,4,4
10.813,-0.0680,-0.0000,-0.0307,11.622,4,4
10.922,-0.0686,-0.0000,0.0099,20.414,4,4
11.013,-0.0903,-0.0000,-0.0166,10.980,4,4
11.139,-0.0952,-0.0000,-0.0354,33.265,4,4
11.219,-0.0957,-0.0000,-0.0188,17.679,4,4
11.313,-0.0975,-0.0000,-0.0151,12.182,4,4
11.412,-0.0867,-0.0000,-0.0238,11.369,4,4
11.515,-0.1180,-0.0000,0.0032,12.947,4,4
11.614,-0.1001,-0.0000,-0.0356,12.933,4,4
11.711,-0.0495,-0.0000,-0.0305,9.534,4,4
11.837,-0.0569,-0.0000,-0.0145,35.055,4,4
11.922,-0.1007,-0.0000,-0.0146,21.121,4,4
12.024,-0.0853,-0.0000,-0.0430,22.883,4,4
12.115,-0.0178,-0.0000,0.0090,13.619,4,4
12.217,-0.0670,-0.0000,-0.0216,14.904,4,4
12.310,-0.0435,-0.0000,-0.0324,8.794,4,4
12.418,-0.0338,-0.0000,-0.0354,17.168,4,4
12.525,-0.0369,-0.0000,0.0018,23.829,4,4
12.614,-0.0220,-0.0000,-0.0187,12.815,4,4
12.719,-0.0655,-0.0000,-0.0161,18.229,4,4
12.811,-0.0504,-0.0000,-0.0202,9.357,4,4
12.912,-0.0715,0.0000,-0.0164,10.769,4,4
13.015,-0.0811,-0.0000,-0.0392,13.395,4,4
13.121,-0.1230,0.0000,-0.0271,19.419,4,4
13.218,-0.1127,-0.0000,-0.0537,16.417,4,4
13.319,-0.0996,-0.0000,-0.0429,17.186,4,4
13.417,-0.1007,0.0000,-0.0703,12.578,4,4
13.520,-0.0947,-0.0000,-0.0388,18.922,4,4
13.617,-0.1522,0.0000,-0.0432,15.460,4,4
13.710,-0.1374,0.0000,-0.0384,8.391,4,4
13.819,-0.1687,0.0000,-0.0360,17.542,4,4
13.921,-0.1657,0.0000,-0.0558,15.058,4,4
14.014,-0.1798,-0.0000,-0.0300,11.818,4,4
14.123,-0.1317,0.0000,-0.0357,20.285,4,4
14.217,-0.1586,0.0000,-0.0554,14.570,4,4
14.323,-0.1503,-0.0000,-0.0439,22.134,4,4
14.422,-0.1546,0.0000,-0.0507,19.531,4,4
14.521,-0.1647,0.0000,-0.0575,19.831,4,4
14.620,-0.1571,0.0000,-0.0528,18.876,4,4
14.717,-0.1469,0.0000,-0.0492,15.996,4,4
14.818,-0.1358,0.0000,-0.0864,14.340,4,4
14.911,-0.0859,0.0000,-0.0373,9.822,4,4
15.016,-0.1746,0.0000,-0.0771,13.824,4,4
15.118,-0.0982,0.0000,-0.0781,15.960,4,4
15.216,-0.1100,0.0000,-0.0727,12.452,4,4
15.325,-0.1058,0.0000,-0.0835,22.315,4,4
15.410,-0.1106,0.0000,-0.0798,9.043,4,4
15.518,-0.1073,0.0000,-0.0504,15.626,4,4
15.621,-0.0989,0.0000,-0.0236,17.624,4,4
15.717,-0.1209,0.0000,-0.0308,14.190,4,4
15.817,-0.0673,0.0000,-0.0538,12.240,4,4
15.914,-0.0806,0.0000,-0.0047,11.312,4,4
16.016,-0.0873,0.0000,-0.0338,12.739,4,4
16.115,-0.0579,0.0000,0.0141,13.682,4,4
16.211,-0.0702,0.0000,-0.0258,10.150,4,4
16.316,-0.0935,0.0000,-0.0281,14.392,4,4
16.415,-0.0649,0.0000,-0.0114,13.905,4,4
16.516,-0.0432,0.0000,-0.0140,15.325,4,4
16.617,-0.0040,0.0000,0.0090,15.144,4,4
16.716,-0.0726,0.0000,-0.0217,15.053,4,4
16.827,-0.0519,0.0000,-0.0257,19.795,4,4
16.924,-0.0376,0.0000,-0.0208,20.671,4,4
17.020,-0.0210,0.0000,-0.0318,15.162,4,4
17.112,-0.0705,0.0000,-0.0341,9.639,4,4
17.211,-0.0434,0.0000,-0.0490,9.650,4,4
17.325,-0.0401,0.0000,-0.0423,23.869,4,4
17.429,-0.0917,0.0000,-0.0200,21.737,4,4
17.518,-0.0590,0.0000,-0.0132,16.155,4,4
17.611,-0.0280,0.0000,-0.0568,9.975,4,4
17.713,-0.0826,0.0000,-0.0191,12.062,4,4
17.821,-0.1046,0.0000,-0.0334,19.947,4,4
