t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
2.916,-0.0059,0.0011,0.0028,13.779,4,4
3.018,0.0087,0.0139,-0.0279,16.429,4,4
3.117,-0.0192,-0.0108,-0.0033,16.466,4,4
3.214,0.0240,-0.0055,-0.0141,12.393,4,4
3.317,0.0406,0.0153,-0.0417,15.714,4,4
3.415,0.0183,-0.0185,-0.0111,12.870,4,4
3.515,0.0611,-0.0000,-0.0622,11.877,4,4
3.619,0.0015,0.0000,-0.0336,11.901,4,4
3.719,0.0341,0.0000,-0.0450,17.914,4,4
3.824,0.0574,-0.0000,-0.0438,19.168,4,4
3.916,0.0711,-0.0000,-0.0203,13.725,4,4
4.014,0.1076,0.0000,-0.0137,10.849,4,4
4.121,0.0164,0.0000,-0.0501,19.653,4,4
4.215,0.0605,-0.0000,-0.0242,13.899,4,4
4.315,0.0520,0.0000,-0.0380,12.916,4,4
4.418,0.0577,-0.0000,0.0228,16.655,4,4
4.531,0.0350,0.0000,-0.0226,29.363,4,4
4.615,0.0213,0.0000,-0.0184,13.387,4,4
4.715,0.0786,0.0000,-0.0296,14.101,4,4
4.821,0.0499,0.0000,-0.0417,18.611,4,4
4.917,0.0643,0.0000,-0.0471,16.175,4,4
5.021,0.0318,0.0000,-0.0389,19.572,4,4
5.116,0.0511,0.0000,-0.0415,14.752,4,4
5.213,0.0877,0.0000,-0.0623,12.094,4,4
5.313,0.0190,0.0000,-0.0169,12.083,4,4
5.410,0.1182,0.0000,-0.0456,8.778,4,4
5.513,0.0468,0.0000,-0.0392,10.738,4,4
5.614,0.0693,0.0000,-0.0444,10.469,4,4
5.713,0.0568,0.0000,-0.0593,12.229,4,4
5.816,0.0402,0.0000,-0.0527,12.367,4,4
5.917,0.0870,0.0000,-0.0827,15.673,4,4
6.042,0.0290,0.0000,-0.0886,38.317,4,4
6.119,0.1215,0.0000,-0.0917,16.315,4,4
6.215,0.0382,0.0000,-0.0589,13.577,4,4
6.311,0.1153,0.0000,-0.0884,9.460,4,4
6.417,0.0567,0.0000,-0.0461,15.312,4,4
6.515,0.1242,0.0000,-0.0992,14.048,4,4
6.614,0.1246,0.0000,-0.0821,12.795,4,4
6.717,0.0611,0.0000,-0.0823,15.838,4,4
6.820,0.1009,0.0000,-0.0695,19.022,4,4
6.916,0.0705,0.0000,-0.0988,11.888,4,4
7.023,0.0869,0.0000,-0.0818,21.223,4,4
7.114,0.0738,0.0000,-0.1078,12.377,4,4
7.212,0.1712,0.0000,-0.1399,7.407,4,4
7.318,0.1085,0.0000,-0.0915,7.171,4,4
7.416,0.1710,0.0000,-0.1362,14.638,4,4
7.510,0.1213,0.0000,-0.0895,8.407,4,4
7.617,0.1392,0.0000,-0.1081,15.896,4,4
7.715,0.1329,0.0000,-0.0999,12.789,4,4
7.824,0.1665,-0.0000,-0.1341,21.554,4,4
7.913,0.1277,0.0000,-0.1169,11.964,4,4
8.018,0.1353,0.0000,-0.0960,17.213,4,4
8.118,0.1443,0.0000,-0.1237,16.729,4,4
8.218,0.1502,-0.0000,-0.1236,15.955,4,4
8.317,0.1783,-0.0000,-0.1159,14.176,4,4
8.415,0.1477,0.0000,-0.1377,14.246,4,4
8.509,0.1537,-0.0000,-0.1420,7.453,4,4
8.615,0.1080,0.0000,-0.0948,13.209,4,4
8.727,0.1076,-0.0000,-0.1184,26.067,4,4
8.813,0.1272,0.0000,-0.1180,10.155,4,4
8.929,0.1459,0.0000,-0.0963,26.615,4,4
9.012,0.1141,0.0000,-0.0817,10.989,4,4
9.113,0.0923,0.0000,-0.0923,11.678,4,4
9.213,0.1201,0.0000,-0.0621,11.756,4,4
9.313,0.1084,0.0000,-0.0679,11.415,4,4
9.419,0.1539,0.0000,-0.0534,17.087,4,4
9.510,0.1887,0.0000,-0.0814,9.073,4,4
9.619,0.1559,0.0000,-0.0650,17.612,4,4
9.717,0.1380,0.0000,-0.0496,14.152,4,4
9.815,0.1521,-0.0000,-0.0640,14.297,4,4
9.918,0.1691,-0.0000,-0.0544,13.872,4,4
10.014,0.1675,-0.0000,-0.0560,13.111,4,4
10.121,0.1589,-0.0000,-0.0734,19.808,4,4
10.215,0.1733,-0.0000,-0.0470,13.098,4,4
10.317,0.2176,0.0000,-0.0459,15.672,4,4
10.418,0.2596,-0.0000,-0.0686,15.467,4,4
10.516,0.2354,-0.0000,-0.0589,12.379,4,4
10.628,0.2724,-0.0000,-0.0612,22.479,4,4
10.716,0.2579,-0.0000,-0.0686,14.239,4,4
10.817,0.2070,-0.0000,-0.0630,15.730,4,4
10.916,0.2403,-0.0000,-0.0757,11.809,4,4
11.019,0.2554,-0.0000,-0.0741,17.759,4,4
11.118,0.2207,-0.0000,-0.1116,15.828,4,4
11.221,0.2450,-0.0000,-0.0529,20.305,4,4
11.315,0.2460,-0.0000,-0.0913,11.726,4,4
11.417,0.2152,-0.0000,-0.1048,16.212,4,4
11.514,0.2143,-0.0000,-0.0934,12.828,4,4
11.616,0.1806,-0.0000,-0.1158,14.702,4,4
11.714,0.2320,-0.0000,-0.0822,12.258,4,4
11.812,0.1895,-0.0000,-0.1033,10.389,4,4
11.928,0.2229,-0.0000,-0.1166,24.262,4,4
12.015,0.1946,-0.0000,-0.1126,13.554,4,4
12.122,0.2187,-0.0000,-0.1010,17.597,4,4
12.223,0.1945,-0.0000,-0.1264,22.433,4,4
12.315,0.2381,-0.0000,-0.1153,13.536,4,4
12.413,0.1734,-0.0000,-0.1077,11.713,4,4
12.525,0.2228,-0.0000,-0.1312,22.966,4,4
12.617,0.2469,-0.0000,-0.1176,15.529,4,4
12.710,0.1636,-0.0000,-0.1087,8.819,4,4
12.821,0.2370,-0.0000,-0.1505,19.679,4,4
12.914,0.2059,-0.0000,-0.1204,12.286,4,4
13.015,0.1573,-0.0000,-0.1422,14.019,4,4
13.122,0.2137,-0.0000,-0.1283,19.324,4,4
13.218,0.2295,-0.0000,-0.1360,15.746,4,4
13.317,0.1458,-0.0000,-0.1359,12.678,4,4
13.421,0.1714,-0.0000,-0.1411,17.509,4,4
13.518,0.1349,-0.0000,-0.1371,16.368,4,4
13.613,0.1162,-0.0000,-0.1294,11.780,4,4
