t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.218,-0.0222,-0.0161,0.0036,17.308,4,4
0.317,-0.0245,-0.0000,0.0046,16.089,4,4
0.414,-0.0063,-0.0000,0.0045,13.105,4,4
0.521,-0.0185,-0.0000,-0.0241,19.743,4,4
0.627,-0.0079,-0.0000,-0.0187,24.905,4,4
0.722,0.0203,0.0000,0.0349,19.801,4,4
0.820,-0.0109,0.0000,-0.0034,18.690,4,4
0.920,0.0465,-0.0000,-0.0129,18.811,4,4
1.017,0.0204,-0.0000,0.0054,15.108,4,4
1.119,-0.0158,-0.0000,0.0038,18.067,4,4
1.217,-0.0012,0.0000,-0.0053,13.226,4,4
1.319,0.0140,-0.0000,0.0154,16.705,4,4
1.420,0.0568,-0.0000,-0.0200,17.465,4,4
1.519,-0.0025,-0.0000,-0.0221,18.287,4,4
1.619,-0.0080,-0.0000,-0.0164,16.858,4,4
1.718,-0.0104,-0.0000,-0.0064,16.427,4,4
1.818,-0.0271,-0.0000,0.0072,12.687,4,4
1.928,-0.0085,-0.0000,-0.0088,25.836,4,4
2.012,-0.0202,0.0000,-0.0036,10.014,4,4
2.111,0.0166,0.0000,0.0022,10.114,4,4
2.223,-0.0450,-0.0000,-0.0156,21.185,4,4
2.314,-0.0107,-0.0000,0.0052,12.118,4,4
2.422,0.0320,-0.0000,0.0076,20.765,4,4
2.518,-0.0038,-0.0000,0.0118,17.256,4,4
2.898,-0.0215,-0.0000,-0.0135,28.398,4,4
2.915,-0.0215,-0.0000,-0.0135,16.035,4,4
2.933,-0.0215,-0.0000,-0.0135,16.519,4,4
3.027,-0.0196,-0.0000,0.0190,23.582,4,4
3.119,-0.0420,-0.0000,0.0169,15.307,4,4
3.221,-0.0012,-0.0000,0.0265,19.606,4,4
3.320,0.0044,-0.0000,0.0130,18.382,4,4
3.427,0.0094,-0.0000,0.0086,23.288,4,4
3.518,0.0170,-0.0000,-0.0225,15.465,4,4
3.625,0.0124,-0.0000,0.0150,24.228,4,4
3.713,-0.0081,-0.0000,-0.0164,11.785,4,4
3.819,0.0142,-0.0000,-0.0040,17.927,4,4
3.917,0.0088,-0.0000,-0.0342,14.680,4,4
4.019,-0.0221,-0.0000,-0.0124,15.946,4,4
4.123,-0.0267,-0.0000,-0.0418,15.519,4,4
4.215,0.0283,-0.0000,0.0004,12.660,4,4
4.317,0.0193,-0.0000,-0.0557,15.101,4,4
4.418,0.0056,-0.0000,0.0121,16.505,4,4
4.517,0.0182,-0.0000,-0.0236,14.426,4,4
4.626,0.0689,-0.0000,0.0074,20.407,4,4
4.715,0.0292,-0.0000,-0.0475,13.649,4,4
4.820,0.0858,-0.0000,-0.0131,18.441,4,4
4.917,0.0720,-0.0000,-0.0486,15.587,4,4
5.017,0.0727,-0.0000,-0.0195,15.537,4,4
5.118,0.0841,-0.0000,-0.0427,15.869,4,4
5.223,0.0988,-0.0000,-0.0336,21.428,4,4
5.332,0.1149,-0.0000,-0.0416,14.319,4,4
5.419,0.0770,-0.0000,-0.0446,17.365,4,4
5.521,0.0450,-0.0000,-0.0294,19.650,4,4
5.620,0.1420,-0.0000,-0.0132,17.582,4,4
5.714,0.0785,-0.0000,-0.0271,12.981,4,4
5.818,0.1287,-0.0000,-0.0426,16.693,4,4
5.919,0.1027,-0.0000,-0.0496,17.245,4,4
6.016,0.1188,-0.0000,-0.0588,15.071,4,4
6.115,0.1138,-0.0000,-0.0590,13.694,4,4
6.220,0.1186,-0.0000,-0.0424,19.169,4,4
6.318,0.0886,-0.0000,-0.0355,15.753,4,4
6.417,0.1125,-0.0000,-0.0371,11.385,4,4
6.529,0.1259,-0.0000,-0.0394,26.242,4,4
6.622,0.1194,-0.0000,-0.0398,19.750,4,4
6.718,0.1005,-0.0000,-0.0363,16.958,4,4
6.821,0.1135,-0.0000,-0.0340,19.627,4,4
6.923,0.1166,-0.0000,-0.0171,21.475,4,4
7.020,0.1280,-0.0000,-0.0410,18.821,4,4
7.121,0.1181,-0.0000,-0.0069,16.550,4,4
7.221,0.1783,-0.0000,0.0138,19.481,4,4
7.316,0.1464,-0.0000,0.0259,11.770,4,4
7.421,0.1699,-0.0000,0.0319,17.753,4,4
7.525,0.1281,-0.0000,0.0395,14.584,4,4
7.624,0.1430,-0.0000,0.0129,23.244,4,4
7.713,0.1381,-0.0000,0.0352,10.713,4,4
7.819,0.1016,-0.0000,0.0230,16.512,4,4
7.916,0.1276,-0.0000,0.0362,14.407,4,4
8.014,0.1275,-0.0000,-0.0016,12.087,4,4
8.116,0.0892,-0.0000,0.0144,14.133,4,4
8.212,0.1709,-0.0000,0.0154,10.651,4,4
8.316,0.1404,-0.0000,0.0371,14.194,4,4
8.414,0.1150,-0.0000,0.0161,10.112,4,4
8.519,0.1552,-0.0000,0.0080,16.908,4,4
8.617,0.0834,-0.0000,0.0003,16.360,4,4
8.724,0.1734,-0.0000,0.0073,21.882,4,4
8.816,0.1225,-0.0000,0.0015,14.454,4,4
8.923,0.1035,-0.0000,-0.0059,19.045,4,4
9.023,0.1080,-0.0000,-0.0226,20.245,4,4
9.115,0.1214,-0.0000,0.0194,14.156,4,4
9.218,0.0899,-0.0000,-0.0110,16.913,4,4
9.317,0.1209,-0.0000,0.0200,15.545,4,4
9.421,0.0394,-0.0000,0.0183,19.236,4,4
9.515,0.0719,-0.0000,0.0375,12.390,4,4
9.617,0.0892,-0.0000,0.0046,14.696,4,4
9.715,0.0608,-0.0000,0.0185,13.657,4,4
9.826,0.0252,-0.0000,0.0118,22.326,4,4
9.924,0.0622,-0.0000,-0.0019,15.194,4,4
10.014,0.0491,-0.0000,0.0285,11.223,4,4
10.119,0.0667,-0.0000,0.0223,18.371,4,4
10.214,0.0455,-0.0000,0.0203,12.990,4,4
10.323,0.0378,-0.0000,-0.0009,15.332,4,4
10.418,0.0833,-0.0000,0.0287,15.542,4,4
10.516,0.0901,-0.0000,0.0375,14.530,4,4
10.618,0.1371,-0.0000,-0.0011,14.034,4,4
10.714,0.0946,-0.0000,0.0330,10.802,4,4
10.816,0.0907,-0.0000,0.0098,14.341,4,4
10.921,0.1314,-0.0000,0.0119,18.607,4,4
11.021,0.1263,-0.0000,0.0191,18.156,4,4
11.115,0.1869,-0.0000,0.0283,13.736,4,4
11.218,0.1206,-0.0000,0.0157,15.723,4,4
11.321,0.0829,-0.0000,0.0667,18.133,4,4
11.414,0.1223,-0.0000,0.0287,12.650,4,4
11.521,0.0919,-0.0000,0.0404,19.450,4,4
11.612,0.0954,-0.0000,0.0679,11.011,4,4
11.719,0.1285,-0.0000,0.0527,16.417,4,4
11.822,0.0818,-0.0000,0.0522,17.984,4,4
11.922,0.0258,-0.0000,0.0749,18.784,4,4
12.022,0.0913,-0.0000,0.0381,15.157,4,4
12.122,0.0804,-0.0000,0.0333,19.874,4,4
12.222,0.0532,-0.0000,0.0427,19.352,4,4
12.322,0.0235,-0.0000,0.0349,20.275,4,4
12.419,0.0596,-0.0000,0.0719,13.973,4,4
12.518,0.0070,-0.0000,0.0350,13.681,4,4
12.618,0.0040,-0.0000,0.0378,15.268,4,4
12.713,0.0235,0.0000,0.0572,12.053,4,4
12.834,-0.0174,0.0000,0.0790,31.397,4,4
12.915,0.0268,-0.0000,0.0405,13.899,4,4
13.031,-0.0202,-0.0000,0.0575,29.772,4,4
13.115,-0.0133,0.0000,0.0605,12.417,4,4
13.222,0.0059,0.0000,0.0327,19.796,4,4
13.343,0.0191,0.0000,0.0389,39.697,4,4
13.418,-0.0160,-0.0000,0.0487,17.016,4,4
13.521,0.0039,-0.0000,0.0485,15.052,4,4
13.620,0.0013,-0.0000,0.0439,15.187,4,4
13.711,0.0073,-0.0000,0.0663,10.383,4,4
13.816,-0.0081,-0.0000,0.0791,14.087,4,4
13.923,-0.0152,0.0000,0.0564,21.034,4,4
14.015,0.0522,0.0000,0.0498,13.587,4,4
14.118,0.0184,-0.0000,0.0378,15.602,4,4
14.215,0.0103,0.0000,0.0293,12.862,4,4
14.328,0.0219,-0.0000,0.0124,25.154,4,4
14.416,-0.0080,-0.0000,0.0718,13.746,4,4
14.518,0.0108,-0.0000,0.0088,14.183,4,4
14.614,-0.0206,-0.0000,0.0272,13.183,4,4
14.714,0.0191,0.0000,-0.0004,11.436,4,4
14.818,0.0255,0.0000,0.0051,14.773,4,4
14.918,0.0267,0.0000,-0.0044,16.650,4,4
15.012,-0.0225,-0.0000,-0.0049,10.561,4,4
15.114,-0.0117,0.0000,-0.0052,11.237,4,4
17.696,-0.0402,-0.0000,0.0015,12.822,4,4
17.805,0.0013,-0.0000,-0.0139,23.304,4,4
17.902,-0.0284,0.0000,-0.0026,19.655,4,4
18.000,-0.0284,-0.0000,-0.0092,13.621,4,4
18.101,-0.0006,0.0000,0.0371,18.697,4,4
