t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.216,-0.0089,-0.0001,-0.0270,15.290,4,4
0.317,-0.0005,-0.0260,-0.0140,9.405,4,4
0.415,0.0065,-0.0162,-0.0330,12.190,4,4
0.518,-0.0096,-0.0439,-0.0246,16.903,4,4
0.616,-0.0391,-0.0763,-0.0408,12.589,4,4
0.712,-0.0369,-0.0729,-0.0465,9.608,4,4
0.812,-0.0226,-0.0364,-0.0450,10.107,4,4
0.918,-0.0520,-0.0426,-0.0597,17.506,4,4
1.009,0.0010,-0.0237,-0.0269,7.824,4,4
1.113,0.0466,-0.0202,-0.0202,10.015,4,4
1.218,0.0249,-0.0353,-0.0178,17.214,4,4
1.321,0.0399,-0.0300,-0.0378,17.101,4,4
1.429,0.0087,-0.0385,-0.0129,25.693,4,4
1.523,0.0566,-0.0271,-0.0459,18.597,4,4
1.615,0.0793,-0.0286,-0.0168,12.953,4,4
1.716,0.0523,-0.0522,-0.0343,14.694,4,4
1.820,0.0545,-0.0681,-0.0465,18.486,4,4
1.914,0.0390,-0.0726,-0.0229,13.411,4,4
2.021,0.0305,-0.0851,-0.0406,17.205,4,4
2.117,0.0612,-0.0604,-0.0646,15.325,4,4
2.218,0.0392,-0.0651,-0.1008,16.866,4,4
2.323,0.0747,-0.0513,-0.0614,16.996,4,4
2.418,0.0182,-0.0576,-0.0956,16.753,4,4
2.517,0.0227,-0.0456,-0.1117,13.935,4,4
2.617,0.0347,-0.0572,-0.0944,11.286,4,4
2.716,0.0267,-0.0484,-0.1098,14.397,4,4
2.821,0.0837,-0.0447,-0.0897,18.014,4,4
2.921,0.0182,-0.0529,-0.1149,19.177,4,4
3.037,0.0534,-0.0299,-0.1187,34.613,4,4
3.120,0.0503,-0.0166,-0.0819,16.966,4,4
3.219,0.0331,-0.0316,-0.0886,14.726,4,4
3.323,-0.0038,-0.0265,-0.0974,20.032,4,4
3.421,-0.0039,-0.0380,-0.0973,19.696,4,4
3.515,0.0373,-0.0575,-0.0860,13.340,4,4
3.640,0.0374,-0.0520,-0.0994,38.222,4,4
3.736,0.0124,-0.0327,-0.0590,25.210,4,4
3.830,0.0668,-0.0433,-0.0725,28.549,4,4
3.927,0.0411,-0.0478,-0.0524,21.055,4,4
4.015,0.0143,-0.0658,-0.0873,12.828,4,4
4.119,0.0446,-0.0155,-0.0948,17.957,4,4
4.222,-0.0094,-0.0547,-0.0714,16.722,4,4
4.314,0.0265,-0.0562,-0.0930,10.999,4,4
4.418,0.0181,-0.0707,-0.0731,16.934,4,4
4.517,0.0568,-0.0717,-0.1093,12.493,4,4
4.613,0.0097,-0.0733,-0.0750,11.678,4,4
4.724,0.0496,-0.0494,-0.0813,22.136,4,4
4.814,0.0766,-0.0470,-0.1085,12.312,4,4
4.930,0.0289,-0.0458,-0.1211,28.307,4,4
5.026,0.0787,-0.0250,-0.1437,17.176,4,4
5.121,0.0802,-0.0406,-0.1534,19.443,4,4
5.220,0.0950,-0.0407,-0.1305,17.230,4,4
5.319,0.1118,-0.0411,-0.1433,17.736,4,4
5.424,0.0804,-0.0516,-0.1125,22.508,4,4
5.516,0.0991,-0.0591,-0.1093,13.147,4,4
5.621,0.0850,-0.0442,-0.1431,19.574,4,4
5.736,0.1181,-0.0594,-0.1390,34.366,4,4
5.824,0.1056,-0.0613,-0.1510,20.716,4,4
5.921,0.0960,-0.0842,-0.1551,17.254,4,4
6.031,0.1111,-0.0780,-0.1558,21.477,4,4
