t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
0.325,0.0298,0.0103,-0.0232,23.288,4,4
0.415,-0.0234,-0.0054,0.0096,12.944,4,4
0.522,-0.0031,0.0043,0.0034,18.920,4,4
0.623,0.0005,-0.0138,-0.0029,19.542,4,4
0.722,-0.0129,0.0152,-0.0073,19.096,4,4
0.821,-0.0473,-0.0161,0.0073,19.768,4,4
0.926,-0.0060,0.0111,0.0028,22.787,4,4
1.015,0.0067,-0.0073,0.0160,12.572,4,4
1.113,-0.0295,-0.0155,0.0226,11.966,4,4
1.216,-0.0146,-0.0133,-0.0134,15.192,4,4
1.313,0.0291,0.0077,0.0011,12.597,4,4
1.418,0.0040,0.0000,-0.0080,16.774,4,4
1.513,-0.0075,-0.0000,0.0032,12.242,4,4
1.621,-0.0001,-0.0000,-0.0016,19.790,4,4
1.715,0.0077,-0.0000,0.0149,14.306,4,4
1.820,0.0198,-0.0000,0.0170,19.488,4,4
1.918,-0.0242,-0.0000,0.0145,16.037,4,4
2.014,-0.0258,-0.0000,0.0049,12.873,4,4
2.113,-0.0269,-0.0000,0.0216,12.431,4,4
2.214,-0.0253,-0.0000,-0.0107,12.426,4,4
2.316,-0.0053,0.0000,-0.0025,14.607,4,4
2.410,-0.0029,0.0000,0.0162,9.518,4,4
2.516,0.0144,0.0000,-0.0035,15.477,4,4
2.623,-0.0126,-0.0000,-0.0180,14.757,4,4
2.721,-0.0142,-0.0000,0.0053,19.282,4,4
3.122,-0.0198,-0.0000,-0.0127,14.180,4,4
3.142,-0.0198,-0.0000,-0.0127,17.685,4,4
3.213,-0.0133,-0.0000,-0.0146,11.569,4,4
3.316,-0.0456,-0.0000,-0.0215,15.059,4,4
3.416,-0.0458,-0.0000,-0.0296,14.519,4,4
3.513,-0.0023,-0.0000,-0.0207,11.906,4,4
3.613,-0.0184,-0.0000,-0.0294,11.789,4,4
3.718,-0.0521,-0.0000,0.0035,16.663,4,4
3.831,-0.0195,-0.0000,-0.0053,28.649,4,4
3.925,-0.0214,-0.0000,0.0085,22.189,4,4
4.014,-0.0341,-0.0000,0.0061,12.478,4,4
4.130,-0.0001,-0.0000,0.0025,29.022,4,4
4.221,-0.0458,-0.0000,0.0079,18.530,4,4
4.314,-0.0321,-0.0000,-0.0216,12.738,4,4
4.417,-0.0621,-0.0000,0.0130,15.368,4,4
4.511,-0.0447,-0.0000,0.0286,9.825,4,4
4.627,-0.0262,-0.0000,0.0263,25.518,4,4
4.711,-0.0479,-0.0000,0.0586,9.314,4,4
4.823,-0.0138,-0.0000,0.0193,22.025,4,4
4.918,-0.0361,-0.0000,0.0269,16.906,4,4
5.013,-0.0428,-0.0000,0.0298,9.934,4,4
5.114,-0.0555,-0.0000,0.0557,12.266,4,4
5.219,-0.0634,-0.0000,0.0107,17.202,4,4
5.318,-0.0223,-0.0000,0.0257,14.694,4,4
5.419,-0.0518,-0.0000,0.0292,16.016,4,4
5.516,-0.0389,-0.0000,0.0298,14.458,4,4
5.618,-0.0015,-0.0000,0.0241,16.470,4,4
5.716,0.0044,-0.0000,0.0025,13.755,4,4
5.812,0.0231,-0.0000,0.0087,10.800,4,4
5.916,0.0317,-0.0000,0.0191,13.694,4,4
6.013,-0.0108,-0.0000,0.0113,10.968,4,4
6.114,0.0246,-0.0000,-0.0058,13.366,4,4
6.209,0.0168,-0.0000,0.0308,7.884,4,4
6.314,0.0233,-0.0000,-0.0235,11.373,4,4
6.416,0.0686,-0.0000,0.0331,12.216,4,4
6.522,0.0764,-0.0000,-0.0092,20.849,4,4
6.624,0.0261,-0.0000,-0.0382,23.069,4,4
6.716,0.0417,-0.0000,0.0054,11.528,4,4
6.815,0.0388,-0.0000,0.0071,13.524,4,4
6.918,0.0799,-0.0000,-0.0156,16.515,4,4
7.011,0.0326,-0.0000,0.0164,9.409,4,4
7.116,0.0410,-0.0000,-0.0023,13.582,4,4
7.218,0.0628,-0.0000,0.0164,14.910,4,4
