t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
4.612,2.0082,-0.0049,0.0146,11.464,4,4
4.712,2.0347,-0.0260,0.0168,9.015,4,4
4.814,1.9612,-0.0045,0.0175,12.592,4,4
4.912,2.0128,-0.0166,-0.0077,10.750,4,4
5.014,1.9780,-0.0462,0.0010,11.552,4,4
5.112,1.9925,-0.0051,0.0156,10.591,4,4
5.211,2.0302,-0.0497,-0.0080,10.449,4,4
5.319,1.9947,-0.0361,-0.0069,14.419,4,4
5.415,2.0279,-0.0054,0.0176,13.475,4,4
5.514,2.0079,-0.0011,0.0002,12.152,4,4
5.613,2.0343,0.0044,0.0213,12.442,4,4
5.712,2.0278,0.0113,0.0205,10.978,4,4
5.811,2.0239,0.0042,0.0164,10.114,4,4
5.927,2.0279,0.0138,0.0131,23.875,4,4
6.011,2.0036,0.0071,0.0093,9.965,4,4
6.118,2.0084,0.0283,-0.0018,15.760,4,4
6.217,2.0093,0.0088,0.0222,13.370,4,4
6.322,2.0371,0.0550,0.0038,19.412,4,4
6.414,2.0116,-0.0017,0.0132,12.920,4,4
6.515,1.9760,0.0007,0.0124,14.527,4,4
6.613,2.0110,0.0041,0.0068,10.307,4,4
6.718,1.9602,-0.0088,-0.0008,17.120,4,4
6.814,2.0098,0.0092,0.0159,13.070,4,4
6.910,2.0055,-0.0132,0.0168,8.753,4,4
7.019,2.0495,0.0219,0.0098,12.340,4,4
7.115,2.0216,0.0259,-0.0001,13.820,4,4
7.214,2.0302,0.0099,0.0035,12.628,4,4
7.314,2.0271,0.0352,-0.0004,13.047,4,4
7.413,2.0630,0.0031,0.0179,11.844,4,4
7.512,2.0533,-0.0057,0.0113,11.018,4,4
7.612,2.0113,-0.0166,0.0228,11.614,4,4
7.713,2.0259,-0.0244,0.0300,11.711,4,4
7.817,2.0347,-0.0244,0.0007,14.703,4,4
7.916,2.0362,0.0075,0.0014,14.788,4,4
8.013,1.9905,-0.0102,0.0269,12.285,4,4
8.109,1.9477,0.0102,0.0132,7.978,4,4
8.212,1.9964,0.0007,0.0149,10.050,4,4
8.312,2.0043,-0.0082,0.0122,11.152,4,4
8.413,1.9856,0.0056,0.0018,11.696,4,4
8.511,1.9974,0.0200,0.0107,9.585,4,4
8.614,2.0248,0.0026,-0.0077,12.984,4,4
8.717,2.0096,-0.0140,0.0142,15.310,4,4
8.815,1.9878,-0.0135,-0.0164,13.514,4,4
8.912,1.9865,-0.0124,0.0041,10.116,4,4
9.010,1.9908,0.0105,0.0209,7.760,4,4
9.116,1.9923,-0.0040,-0.0108,15.197,4,4
9.211,2.0070,-0.0244,0.0001,10.267,4,4
9.312,1.9939,-0.0046,-0.0083,10.965,4,4
9.419,1.9872,0.0014,-0.0116,17.499,4,4
9.513,1.9776,0.0035,-0.0116,12.398,4,4
9.610,2.0388,-0.0011,0.0084,8.685,4,4
9.716,1.9951,-0.0426,-0.0054,14.237,4,4
9.812,2.0422,-0.0114,-0.0029,10.551,4,4
9.910,2.0186,-0.0190,-0.0239,9.408,4,4
10.010,1.9926,0.0039,-0.0203,9.526,4,4
10.113,1.9527,-0.0236,-0.0325,11.825,4,4
10.214,2.0010,-0.0229,-0.0109,12.685,4,4
10.309,2.0134,-0.0296,-0.0195,8.597,4,4
10.413,1.9621,-0.0005,0.0111,12.253,4,4
10.513,1.9639,-0.0079,0.0070,10.498,4,4
10.612,1.9864,0.0251,0.0038,11.344,4,4
10.713,1.9778,-0.0033,0.0193,12.014,4,4
10.812,1.9819,0.0071,-0.0036,11.134,4,4
10.913,1.9438,-0.0218,0.0056,11.423,4,4
11.015,2.0151,0.0087,0.0165,13.772,4,4
11.116,1.9745,-0.0124,0.0044,14.723,4,4
11.220,1.9912,0.0168,0.0235,15.627,4,4
11.315,2.0099,0.0078,-0.0076,14.499,4,4
11.414,2.0145,0.0049,0.0102,12.623,4,4
11.512,2.0242,-0.0290,0.0112,10.594,4,4
11.613,2.0122,-0.0244,-0.0052,11.238,4,4
11.708,1.9768,0.0124,0.0013,7.558,4,4
11.813,2.0087,-0.0135,0.0181,12.367,4,4
11.913,2.0428,0.0054,0.0179,12.381,4,4
12.014,2.0317,0.0164,-0.0247,13.173,4,4
12.113,2.0500,0.0055,0.0008,9.823,4,4
12.216,2.0605,0.0207,-0.0290,13.978,4,4
12.313,2.0342,-0.0147,-0.0088,9.603,4,4
12.417,2.0376,0.0243,-0.0060,13.312,4,4
12.516,2.0657,0.0114,0.0115,15.330,4,4
12.616,1.9879,0.0091,0.0138,14.655,4,4
12.715,2.0255,0.0056,0.0187,11.783,4,4
12.817,2.0353,0.0258,0.0136,15.786,4,4
12.917,2.0144,0.0019,0.0281,15.979,4,4
13.014,1.9935,-0.0086,0.0358,11.871,4,4
13.117,1.9772,-0.0151,0.0237,15.835,4,4
13.211,1.9489,-0.0153,0.0066,9.303,4,4
13.313,2.0180,-0.0018,0.0061,11.873,4,4
13.411,1.9504,0.0106,0.0257,10.014,4,4
13.517,2.0361,0.0238,0.0005,15.591,4,4
13.619,1.9942,0.0092,-0.0003,17.769,4,4
13.714,2.0497,0.0106,0.0195,10.552,4,4
13.815,1.9792,0.0304,0.0146,13.862,4,4
13.915,2.0172,-0.0125,0.0094,13.832,4,4
14.008,2.0017,0.0052,-0.0080,7.365,4,4
14.113,2.0126,-0.0094,-0.0088,12.544,4,4
14.210,1.9800,-0.0134,0.0072,9.013,4,4
14.309,1.9892,-0.0269,-0.0248,7.905,4,4
14.424,1.9613,0.0235,-0.0172,22.835,4,4
14.513,1.9744,0.0194,-0.0107,12.150,4,4
14.612,1.9955,0.0066,-0.0142,11.099,4,4
14.712,1.9839,-0.0278,-0.0142,10.660,4,4
14.810,1.9893,-0.0120,0.0078,8.837,4,4
14.914,2.0157,0.0085,-0.0039,10.176,4,4
15.010,2.0159,-0.0097,0.0013,9.112,4,4
15.114,2.0258,0.0443,0.0138,13.325,4,4
15.214,1.9976,-0.0293,-0.0129,12.632,4,4
15.315,2.0664,0.0029,-0.0215,14.001,4,4
15.413,2.0518,0.0327,0.0143,11.185,4,4
15.515,2.0580,0.0140,-0.0041,12.139,4,4
15.616,2.0689,0.0179,-0.0077,14.151,4,4
15.718,2.0734,0.0189,-0.0088,16.717,4,4
15.813,2.0294,0.0101,-0.0191,11.505,4,4
15.911,2.0629,-0.0117,-0.0093,8.538,4,4
16.012,2.0503,-0.0327,-0.0109,11.288,4,4
16.108,2.0495,0.0220,-0.0136,7.616,4,4
16.227,2.0361,-0.0154,-0.0121,11.497,4,4
16.317,2.0288,-0.0140,-0.0229,14.156,4,4
16.421,1.9978,-0.0200,-0.0147,20.435,4,4
16.513,2.0505,-0.0232,-0.0002,10.938,4,4
16.611,1.9955,-0.0230,-0.0001,10.556,4,4
16.712,2.0414,0.0135,0.0231,10.747,4,4
16.816,1.9551,-0.0159,0.0082,14.527,4,4
16.918,1.9871,0.0021,0.0133,15.808,4,4
17.013,1.9581,-0.0072,0.0028,12.241,4,4
17.114,1.9444,-0.0359,0.0127,12.752,4,4
17.216,2.0017,-0.0263,-0.0074,14.874,4,4
17.319,1.9181,0.0108,-0.0146,18.404,4,4
17.414,1.9143,-0.0017,-0.0185,12.630,4,4
17.514,1.9260,0.0115,-0.0208,8.720,4,4
17.612,1.9137,0.0108,-0.0308,11.080,4,4
17.719,1.9228,0.0155,-0.0213,10.812,4,4
17.809,1.8951,0.0061,-0.0110,8.448,4,4
17.925,1.9275,0.0068,-0.0195,23.616,4,4
18.018,1.9147,0.0060,-0.0344,16.640,4,4
18.117,1.9087,0.0093,-0.0064,14.867,4,4
