t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
4.215,1.9870,-0.0189,0.0078,13.388,4,4
4.314,1.9438,-0.0060,-0.0063,12.889,4,4
4.410,2.0063,-0.0062,-0.0132,6.936,4,4
4.515,1.9959,-0.0058,-0.0059,13.942,4,4
4.611,2.0084,-0.0107,0.0059,10.210,4,4
4.713,2.0393,-0.0223,0.0012,12.136,4,4
4.819,1.9966,-0.0154,-0.0115,12.765,4,4
4.912,2.0194,-0.0075,0.0134,10.659,4,4
5.010,2.0255,0.0201,-0.0153,9.199,4,4
5.120,2.0615,0.0240,-0.0067,18.542,4,4
5.220,2.0637,0.0084,-0.0167,16.319,4,4
5.326,1.9799,-0.0083,-0.0101,24.495,4,4
5.417,2.0603,0.0337,-0.0131,14.923,4,4
5.516,1.9774,0.0259,-0.0006,14.803,4,4
5.616,1.9859,0.0366,-0.0088,15.020,4,4
5.715,1.9772,0.0290,-0.0067,11.989,4,4
5.812,1.9796,0.0161,-0.0169,9.986,4,4
5.915,1.9640,-0.0062,-0.0036,13.743,4,4
6.015,1.9960,-0.0293,-0.0090,14.387,4,4
6.124,2.0245,0.0047,0.0064,20.650,4,4
6.254,1.9777,-0.0273,-0.0163,52.599,4,4
6.328,2.0072,-0.0005,-0.0015,24.163,4,4
6.425,2.0123,-0.0033,0.0074,21.772,4,4
6.518,1.9932,0.0088,0.0012,16.689,4,4
6.622,2.0010,-0.0215,0.0060,18.955,4,4
6.714,1.9986,-0.0047,0.0117,11.790,4,4
6.818,2.0247,-0.0265,0.0270,17.003,4,4
6.919,1.9926,-0.0248,0.0082,16.866,4,4
7.025,1.9806,-0.0481,0.0010,24.627,4,4
7.123,1.9390,-0.0362,0.0070,19.388,4,4
7.217,2.0049,0.0131,0.0150,14.108,4,4
7.314,1.9860,0.0246,-0.0073,12.011,4,4
7.417,1.9937,-0.0050,-0.0094,14.682,4,4
7.518,2.0069,0.0098,0.0233,16.417,4,4
7.614,2.0317,0.0144,-0.0021,13.096,4,4
7.714,1.9996,-0.0051,0.0246,12.107,4,4
7.821,2.0416,0.0235,0.0304,20.058,4,4
7.913,2.0199,0.0191,0.0080,12.031,4,4
8.016,2.0017,0.0117,0.0214,15.361,4,4
8.121,2.0117,0.0334,-0.0065,18.894,4,4
8.217,2.0305,0.0353,0.0155,16.344,4,4
8.314,1.9790,0.0152,-0.0123,13.639,4,4
8.421,2.0016,0.0207,-0.0047,19.642,4,4
8.518,1.9807,0.0078,-0.0152,16.567,4,4
8.623,2.0191,0.0043,-0.0058,20.677,4,4
8.734,2.0030,-0.0106,-0.0042,28.909,4,4
8.816,2.0029,-0.0252,0.0022,11.492,4,4
8.918,1.9655,-0.0166,0.0111,16.981,4,4
9.029,1.9738,-0.0241,0.0008,26.903,4,4
9.111,1.9797,-0.0088,0.0042,9.455,4,4
9.222,1.9608,-0.0257,0.0009,17.773,4,4
9.328,2.0350,0.0136,0.0103,21.473,4,4
9.414,2.0413,0.0025,-0.0214,12.185,4,4
9.517,2.0321,0.0022,-0.0054,15.651,4,4
9.613,2.0553,0.0132,0.0004,12.018,4,4
9.713,2.0208,-0.0019,0.0016,11.954,4,4
9.815,2.0538,0.0037,0.0056,12.677,4,4
9.914,2.0577,-0.0342,0.0055,10.635,4,4
10.013,2.0866,-0.0202,0.0022,12.061,4,4
10.113,2.0529,-0.0118,-0.0147,10.389,4,4
10.217,2.0551,-0.0056,-0.0087,14.630,4,4
10.315,2.1144,-0.0083,-0.0138,13.755,4,4
10.419,2.0794,-0.0059,-0.0082,16.350,4,4
10.533,2.0923,-0.0311,-0.0069,28.561,4,4
10.625,2.1057,-0.0493,-0.0080,19.379,4,4
10.718,2.0836,-0.0784,-0.0150,15.003,4,4
10.819,2.0949,-0.0599,0.0029,18.083,4,4
10.917,2.1156,-0.0773,-0.0038,14.415,4,4
11.017,2.0980,-0.1023,-0.0023,15.199,4,4
11.116,2.1356,-0.1006,-0.0004,13.274,4,4
11.214,2.0938,-0.0945,-0.0441,12.085,4,4
11.324,2.0908,-0.0884,-0.0229,9.474,4,4
11.413,2.0665,-0.1003,-0.0574,11.776,4,4
11.515,2.0342,-0.1246,-0.0833,13.756,4,4
11.616,2.0424,-0.1188,-0.0687,14.427,4,4
11.722,2.0359,-0.1255,-0.0645,19.019,4,4
11.814,2.0635,-0.1407,-0.0629,13.478,4,4
11.919,2.0388,-0.1474,-0.0459,18.160,4,4
12.017,2.0277,-0.1559,-0.0474,15.559,4,4
12.120,2.0179,-0.1565,-0.0276,18.801,4,4
12.222,2.0405,-0.1792,-0.0274,18.812,4,4
12.317,1.9950,-0.1798,-0.0385,14.785,4,4
12.427,2.0207,-0.1680,-0.0570,22.529,4,4
12.523,1.9750,-0.2013,-0.0505,20.246,4,4
12.614,2.0436,-0.1787,-0.0565,13.410,4,4
12.713,2.0060,-0.1876,-0.0553,12.162,4,4
12.811,1.9799,-0.1705,-0.0496,8.920,4,4
12.917,1.9965,-0.1604,-0.0572,15.458,4,4
13.013,1.9530,-0.1814,-0.0699,12.046,4,4
13.129,1.9366,-0.1840,-0.0813,27.913,4,4
13.222,2.0397,-0.1902,-0.0722,18.292,4,4
13.320,2.0006,-0.1762,-0.0604,17.507,4,4
13.420,1.9851,-0.1746,-0.0444,17.817,4,4
13.518,1.9919,-0.1955,-0.0399,16.558,4,4
13.618,1.9742,-0.2201,-0.0390,15.357,4,4
13.714,1.9464,-0.1915,-0.0469,13.670,4,4
13.812,1.9754,-0.2076,-0.0295,10.280,4,4
13.918,2.0312,-0.1770,-0.0347,14.726,4,4
14.014,1.9659,-0.2282,-0.0399,10.312,4,4
14.115,1.9688,-0.2017,-0.0390,8.897,4,4
14.213,2.0004,-0.2271,-0.0739,11.565,4,4
14.314,1.9908,-0.2264,-0.0500,11.542,4,4
