t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
3.214,2.0342,0.0032,0.0086,11.625,4,4
3.316,1.9927,0.0149,-0.0095,14.759,4,4
3.439,1.9945,-0.0038,0.0040,36.935,4,4
3.514,1.9754,0.0218,-0.0029,11.708,4,4
3.612,1.9870,-0.0138,0.0180,10.731,4,4
3.719,1.9897,-0.0163,0.0056,18.500,4,4
3.819,2.0037,-0.0243,0.0063,17.128,4,4
3.911,2.0051,0.0459,0.0026,9.319,4,4
4.012,2.0060,0.0410,0.0182,10.436,4,4
4.122,1.9989,0.0124,0.0051,20.565,4,4
4.215,2.0537,0.0348,0.0258,12.235,4,4
4.313,1.9994,-0.0294,0.0096,11.226,4,4
4.415,2.0443,-0.0123,0.0021,12.617,4,4
4.514,2.0044,-0.0102,-0.0086,11.253,4,4
4.613,2.0294,-0.0105,-0.0172,11.354,4,4
4.713,1.9940,-0.0099,0.0007,12.021,4,4
4.814,2.0119,0.0330,0.0081,12.788,4,4
4.915,2.0075,-0.0043,0.0096,12.616,4,4
5.013,2.0066,0.0283,0.0198,11.798,4,4
5.112,2.0294,0.0300,0.0013,11.507,4,4
5.215,2.0147,-0.0033,-0.0089,13.559,4,4
5.311,2.0072,0.0239,-0.0064,9.755,4,4
5.419,1.9780,0.0081,0.0134,7.911,4,4
5.511,1.9654,-0.0106,0.0160,10.322,4,4
5.612,1.9841,-0.0056,0.0080,9.714,4,4
5.713,1.9987,0.0053,0.0212,12.451,4,4
5.826,1.9653,0.0192,0.0068,24.313,4,4
5.912,1.9808,0.0037,-0.0167,10.768,4,4
6.009,2.0019,0.0321,-0.0094,8.384,4,4
6.111,2.0338,-0.0088,0.0098,9.824,4,4
6.227,2.0296,0.0405,-0.0231,24.028,4,4
6.312,1.9968,0.0016,0.0171,11.203,4,4
6.415,2.0351,0.0281,0.0027,12.566,4,4
6.516,2.0067,-0.0038,0.0170,12.082,4,4
6.613,2.0018,-0.0016,0.0101,11.851,4,4
6.711,2.0326,-0.0150,0.0123,9.872,4,4
6.813,2.0047,-0.0019,0.0123,11.231,4,4
6.915,2.0091,-0.0107,0.0217,12.643,4,4
7.010,1.9962,-0.0036,0.0239,9.307,4,4
7.111,1.9977,0.0183,0.0231,9.388,4,4
7.210,2.0007,-0.0073,0.0063,8.180,4,4
7.313,1.9839,0.0028,0.0129,12.144,4,4
7.414,1.9830,0.0081,0.0139,12.867,4,4
7.513,1.9842,-0.0185,0.0506,11.892,4,4
7.613,1.9634,-0.0511,0.0634,10.285,4,4
7.716,1.9823,-0.0382,0.0555,15.159,4,4
7.815,1.9726,-0.0424,0.0671,14.308,4,4
7.918,1.9933,-0.0145,0.0687,16.716,4,4
8.013,1.9596,-0.0614,0.0725,11.965,4,4
8.115,1.9426,-0.0693,0.0844,12.397,4,4
8.215,1.9578,-0.0750,0.0707,13.794,4,4
8.321,1.9255,-0.0623,0.0599,13.556,4,4
8.413,1.9303,-0.1165,0.0662,12.061,4,4
8.518,1.8866,-0.0812,0.0605,16.167,4,4
8.609,1.8490,-0.1155,0.0643,7.719,4,4
8.713,1.8651,-0.1112,0.0466,12.199,4,4
8.809,1.8533,-0.1160,0.0442,8.445,4,4
8.913,1.9098,-0.0973,0.0284,12.389,4,4
9.010,1.8794,-0.0942,0.0441,9.634,4,4
9.115,1.8808,-0.1079,0.0223,14.506,4,4
9.211,1.8702,-0.0572,0.0132,10.298,4,4
9.311,1.8396,-0.0861,0.0228,9.620,4,4
9.412,1.8608,-0.0728,0.0086,10.970,4,4
9.513,1.8498,-0.0652,0.0483,9.971,4,4
9.612,1.9219,-0.0802,0.0654,11.318,4,4
9.716,1.8897,-0.0623,0.0619,13.920,4,4
9.811,1.9540,-0.0562,0.0604,9.461,4,4
9.913,1.9378,-0.0696,0.0378,12.250,4,4
10.016,1.9552,-0.0838,0.0658,12.719,4,4
10.114,1.9352,-0.0828,0.0553,13.084,4,4
