t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
4.918,3.9971,-0.0158,-0.0067,15.953,4,4
5.010,4.0105,-0.0224,-0.0422,8.330,4,4
5.117,3.9838,-0.0089,-0.0191,16.278,4,4
5.212,4.0238,-0.0190,-0.0391,10.929,4,4
5.317,3.9755,-0.0017,-0.0054,15.408,4,4
5.415,4.0067,-0.0060,-0.0104,11.395,4,4
5.521,4.0564,0.0142,-0.0084,16.926,4,4
5.611,4.0424,-0.0126,-0.0006,9.860,4,4
5.737,4.0360,0.0378,0.0086,28.324,4,4
5.816,4.0303,-0.0029,0.0308,14.097,4,4
5.919,4.0345,-0.0150,0.0186,18.123,4,4
6.015,4.0044,0.0174,0.0000,13.903,4,4
6.144,3.9656,0.0096,0.0193,42.581,4,4
6.213,3.9974,0.0030,0.0169,11.623,4,4
6.320,3.9968,-0.0334,-0.0196,16.479,4,4
6.416,3.9799,-0.0245,0.0301,10.494,4,4
6.522,3.9625,-0.0061,0.0062,20.783,4,4
6.613,4.0085,-0.0266,0.0129,11.978,4,4
6.717,3.9864,0.0205,0.0085,15.677,4,4
6.813,3.9952,0.0017,-0.0031,12.007,4,4
6.915,3.9640,0.0147,0.0023,13.614,4,4
7.015,3.9965,-0.0167,0.0007,14.199,4,4
7.120,3.9565,-0.0087,-0.0071,17.092,4,4
7.217,3.9622,0.0224,0.0012,16.119,4,4
7.322,3.9888,0.0131,-0.0200,19.290,4,4
7.414,3.9945,-0.0105,-0.0018,12.543,4,4
7.512,3.9534,0.0021,0.0258,10.351,4,4
7.614,3.9370,0.0287,-0.0039,10.737,4,4
7.715,3.9850,0.0135,-0.0039,11.961,4,4
7.812,4.0040,0.0205,-0.0296,10.518,4,4
7.918,3.9746,-0.0076,0.0027,14.034,4,4
8.021,3.9748,0.0001,-0.0017,16.642,4,4
8.140,3.9727,0.0294,-0.0207,38.376,4,4
8.236,4.0057,-0.0162,0.0083,33.142,4,4
8.331,3.9822,0.0330,-0.0229,28.900,4,4
8.421,3.9996,0.0046,0.0279,18.952,4,4
8.521,3.9935,0.0106,-0.0101,19.670,4,4
8.632,3.9987,0.0176,-0.0161,29.602,4,4
8.724,4.0106,-0.0197,-0.0130,23.369,4,4
8.833,3.9877,-0.0024,-0.0267,31.934,4,4
8.913,3.9882,-0.0141,-0.0328,12.512,4,4
9.015,4.0570,-0.0093,-0.0075,13.664,4,4
9.114,4.0168,0.0128,0.0071,12.912,4,4
9.210,4.0183,0.0010,-0.0060,7.694,4,4
9.319,4.0048,0.0261,0.0157,15.052,4,4
9.413,3.9685,0.0095,-0.0042,12.029,4,4
9.515,3.9914,-0.0043,0.0014,13.627,4,4
9.617,3.9998,-0.0066,0.0009,15.624,4,4
9.721,3.9956,0.0179,0.0110,17.092,4,4
9.812,3.9773,0.0388,0.0217,10.667,4,4
9.921,4.0346,0.0087,0.0161,19.593,4,4
10.012,4.0120,0.0157,0.0155,10.153,4,4
10.117,4.0316,0.0205,0.0192,13.927,4,4
10.235,3.9688,-0.0109,0.0289,33.839,4,4
10.324,3.9890,-0.0014,0.0512,19.256,4,4
10.415,4.0102,-0.0169,0.0309,13.762,4,4
10.518,4.0087,-0.0364,0.0286,11.788,4,4
10.617,4.0515,-0.0469,0.0603,15.755,4,4
10.717,4.0573,-0.0376,0.0376,14.598,4,4
10.818,4.0662,-0.0020,0.0450,15.145,4,4
10.920,4.0928,-0.0064,0.0256,18.699,4,4
11.016,4.0453,0.0027,0.0311,14.739,4,4
11.117,4.0358,-0.0007,0.0463,15.240,4,4
11.218,4.0549,-0.0060,0.0265,15.445,4,4
11.313,4.0259,0.0147,0.0148,10.672,4,4
11.412,3.9959,0.0297,0.0106,10.681,4,4
11.524,4.0032,0.0315,0.0210,20.862,4,4
11.612,4.0023,0.0209,0.0429,11.631,4,4
11.717,4.0187,-0.0064,0.0228,15.083,4,4
11.813,4.0237,0.0091,0.0402,11.224,4,4
11.917,4.0023,-0.0022,0.0018,15.283,4,4
