t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
3.602,3.9768,0.0181,0.0051,8.329,4,4
3.704,3.9819,-0.0003,0.0021,11.602,4,4
3.808,3.9830,0.0148,0.0015,16.130,4,4
3.908,3.9797,0.0094,0.0011,15.693,4,4
4.011,3.9777,0.0064,0.0010,15.140,4,4
4.113,3.9882,-0.0113,0.0084,20.838,4,4
4.208,3.9627,0.0036,-0.0054,15.797,4,4
4.311,4.0077,-0.0331,-0.0309,18.513,4,4
4.403,4.0042,0.0017,0.0144,10.739,4,4
4.514,3.9898,-0.0112,-0.0070,17.328,4,4
4.608,3.9912,0.0108,0.0083,15.404,4,4
4.703,4.0162,-0.0139,0.0152,8.546,4,4
4.809,3.9806,-0.0008,0.0107,16.585,4,4
4.906,4.0034,0.0074,0.0179,12.121,4,4
5.008,4.0031,0.0016,-0.0084,16.034,4,4
5.112,4.0272,0.0348,0.0043,17.378,4,4
5.208,4.0258,0.0241,0.0150,16.405,4,4
5.309,4.0051,0.0004,-0.0118,16.692,4,4
5.406,3.9629,-0.0017,0.0069,13.898,4,4
5.513,4.0420,-0.0121,-0.0039,20.699,4,4
5.607,4.0209,0.0001,0.0101,14.994,4,4
5.721,3.9916,0.0259,0.0006,25.974,4,4
5.809,4.0096,0.0119,0.0041,17.273,4,4
5.910,3.9915,0.0133,0.0150,12.199,4,4
6.004,3.9741,0.0049,0.0113,11.818,4,4
6.106,3.9753,-0.0056,-0.0044,14.249,4,4
6.213,3.9652,0.0157,0.0055,20.464,4,4
6.492,3.9841,-0.0276,0.0167,28.575,4,4
6.504,3.9841,-0.0276,0.0167,10.553,4,4
6.605,4.0156,-0.0040,0.0220,12.934,4,4
6.711,4.0373,0.0309,0.0102,17.276,4,4
6.812,4.0272,0.0136,0.0127,19.730,4,4
6.908,3.9694,0.0453,0.0222,14.473,4,4
7.002,3.9748,-0.0156,0.0134,8.923,4,4
7.104,4.0064,0.0073,0.0182,11.786,4,4
7.210,3.9705,-0.0046,0.0136,17.623,4,4
7.314,3.9299,-0.0072,-0.0072,19.513,4,4
7.404,3.9643,0.0039,-0.0019,11.392,4,4
7.508,4.0133,-0.0196,-0.0140,14.765,4,4
7.607,4.0280,-0.0397,-0.0250,14.188,4,4
7.710,4.0155,-0.0309,-0.0109,17.351,4,4
7.812,4.0224,-0.0205,-0.0215,19.116,4,4
7.915,3.9855,0.0228,-0.0118,21.855,4,4
8.005,3.9741,-0.0274,-0.0042,11.145,4,4
8.109,3.9572,-0.0258,-0.0008,16.048,4,4
8.212,3.9402,0.0111,0.0079,18.167,4,4
8.305,3.9990,-0.0231,-0.0221,13.503,4,4
8.408,4.0053,-0.0127,0.0101,13.474,4,4
8.511,4.0394,-0.0207,0.0008,19.360,4,4
8.609,4.0033,-0.0138,-0.0166,16.229,4,4
8.709,3.9870,0.0223,-0.0096,13.765,4,4
8.803,4.0489,0.0126,-0.0025,11.026,4,4
8.910,4.0118,0.0039,0.0242,17.867,4,4
9.009,3.9999,-0.0060,0.0030,16.628,4,4
9.120,3.9862,0.0314,0.0088,25.043,4,4
9.239,3.9954,0.0105,-0.0022,37.822,4,4
9.366,4.0181,-0.0008,-0.0137,72.716,4,4
9.432,4.0123,0.0007,0.0181,39.750,4,4
9.535,3.9704,-0.0230,0.0041,42.051,4,4
9.625,3.9686,0.0013,0.0053,30.213,4,4
9.735,3.9763,-0.0233,-0.0083,42.357,4,4
9.819,3.9445,0.0152,-0.0160,23.204,4,4
9.927,3.9472,-0.0257,-0.0068,32.388,4,4
10.012,3.9183,-0.0096,-0.0289,16.090,4,4
