t_sec,x,y,z,solve_ms,best_inliers,n_neighbours
3.416,4.0000,0.9878,-0.0050,13.119,2,4
3.510,4.0000,0.9923,-0.0053,9.106,3,4
3.612,4.0000,0.9807,-0.0001,10.259,3,4
3.716,4.0000,0.9891,0.0089,13.536,3,4
3.814,4.0000,1.0670,0.0068,12.291,3,4
3.919,4.0000,1.0662,0.0164,13.043,3,4
4.014,4.0000,1.0663,0.0189,13.399,3,4
4.120,4.0000,1.0377,0.0018,18.918,3,4
4.215,4.0000,1.0028,0.0192,13.045,3,4
4.315,4.0000,1.0293,0.0264,14.110,3,4
4.411,4.0000,1.0393,0.0405,9.313,3,4
4.519,4.0000,1.0214,0.0334,12.299,3,4
4.619,4.0000,1.0811,0.0559,17.543,3,4
4.711,4.0000,1.0709,0.0265,10.538,3,4
4.816,4.0000,1.0322,0.0380,14.788,3,4
4.915,4.0000,1.0295,0.0132,14.431,3,4
5.014,4.0000,1.0737,0.0322,11.925,3,4
5.112,4.0000,1.0465,0.0234,10.706,3,4
5.213,4.0000,1.1367,0.0095,11.673,3,4
5.314,4.0000,1.0889,0.0195,11.596,3,4
5.410,4.0000,1.1190,0.0170,8.494,3,4
5.513,4.0000,1.1213,0.0084,12.273,3,4
5.621,4.0000,1.1406,0.0101,17.707,3,4
5.716,4.0000,1.1129,-0.0064,12.911,3,4
5.823,4.0000,1.2266,0.0126,21.615,3,4
5.919,4.0000,1.1248,0.0006,18.302,3,4
6.034,4.0000,1.2187,-0.0091,28.554,3,4
6.111,4.0000,1.1097,-0.0117,9.798,3,4
6.222,4.0000,1.1360,0.0149,19.323,3,4
6.312,4.0000,1.1052,-0.0009,10.170,3,4
6.424,4.0000,1.0842,0.0229,20.267,3,4
6.521,4.0000,1.1045,0.0091,16.921,3,4
6.614,4.0000,1.0855,0.0141,12.510,3,4
6.711,4.0000,1.1044,0.0116,10.146,3,4
6.823,4.0000,1.0714,0.0007,15.062,3,4
6.912,4.0000,1.1082,0.0083,11.162,3,4
7.013,4.0000,1.1188,0.0174,12.079,3,4
7.116,4.0000,1.1296,0.0083,13.382,3,4
7.213,4.0000,1.0692,0.0190,12.453,3,4
7.315,4.0000,1.0894,0.0101,13.666,3,4
7.420,4.0000,1.1295,0.0218,19.187,3,4
7.515,4.0000,1.0954,0.0194,12.683,3,4
7.614,4.0000,1.1808,0.0046,12.486,3,4
10.198,4.0000,1.1678,-0.0038,15.866,3,4
10.296,4.0000,1.1881,-0.0030,11.197,4,4
10.395,4.0000,1.2086,-0.0015,12.817,4,4
10.507,4.0000,1.1616,0.0084,24.017,4,4
10.602,4.0000,1.2148,-0.0068,16.446,4,4
10.699,4.0000,1.2254,-0.0064,14.824,4,4
10.801,4.0000,1.1741,-0.0090,18.455,4,4
10.892,4.0000,1.1506,-0.0019,10.281,4,4
11.001,4.0000,1.1600,0.0231,19.337,4,4
11.093,4.0000,1.1951,0.0235,10.161,4,4
11.197,4.0000,1.1992,0.0172,13.957,4,4
11.295,4.0000,1.2274,0.0043,11.653,4,4
11.397,4.0000,1.1740,0.0061,12.894,4,4
11.497,4.0000,1.1816,0.0265,13.784,4,4
11.599,4.0000,1.2271,0.0335,15.782,4,4
11.697,4.0000,1.1614,0.0119,14.634,4,4
11.792,4.0000,1.1658,0.0202,9.855,4,4
11.899,4.0000,1.1608,0.0152,16.912,4,4
11.996,4.0000,1.1931,0.0130,14.024,4,4
12.097,4.0000,1.1393,0.0322,13.011,4,4
12.195,4.0000,1.1361,0.0140,11.949,4,4
12.297,4.0000,1.0541,0.0229,14.492,4,4
12.394,4.0000,1.0817,0.0283,11.388,4,4
12.495,4.0000,1.0943,0.0108,12.565,4,4
12.593,4.0000,1.1290,0.0328,8.865,4,4
12.707,4.0000,1.0828,0.0125,24.575,4,4
12.800,4.0000,1.0837,0.0315,15.151,4,4
12.895,4.0000,1.0131,0.0186,12.173,4,4
12.995,4.0000,1.0537,0.0195,11.968,4,4
13.094,4.0000,1.0407,0.0174,9.290,4,4
13.191,4.0000,1.0739,0.0018,8.562,4,4
13.292,4.0000,1.0710,0.0138,9.863,4,4
13.392,4.0000,1.0435,0.0037,8.821,4,4
13.495,4.0000,1.0761,0.0132,11.516,4,4
13.597,4.0000,1.0450,-0.0034,14.669,4,4
13.692,4.0000,1.0237,-0.0004,10.049,4,4
13.794,4.0000,1.0076,0.0107,11.809,4,4
13.895,4.0000,0.9904,-0.0041,11.664,4,4
13.996,4.0000,1.0036,-0.0037,13.018,4,4
14.096,4.0000,0.9857,-0.0052,13.384,4,4
14.194,4.0000,0.9804,-0.0057,11.439,4,4
14.293,4.0000,1.0241,-0.0100,9.980,4,4
14.396,4.0000,1.0225,0.0010,13.454,4,4
14.495,4.0000,1.0795,-0.0116,11.403,4,4
14.594,4.0000,1.0366,0.0075,11.732,4,4
14.694,4.0000,1.0079,-0.0181,12.053,4,4
14.797,4.0000,1.0461,-0.0000,15.162,4,4
14.894,4.0000,1.0244,0.0041,11.344,4,4
14.997,4.0000,0.9822,-0.0030,14.337,4,4
15.097,4.0000,0.9708,0.0013,12.945,4,4
15.200,4.0000,0.9430,0.0044,16.596,4,4
15.294,4.0000,0.9858,-0.0001,11.469,4,4
15.400,4.0000,0.9222,-0.0086,18.005,4,4
15.499,4.0000,0.9884,-0.0182,13.234,4,4
15.592,4.0000,0.8759,0.0032,10.270,4,4
15.694,4.0000,0.8673,-0.0187,10.785,4,4
15.799,4.0000,0.8885,0.0079,13.063,4,4
15.893,4.0000,0.9502,-0.0176,11.141,4,4
15.995,4.0000,0.8910,-0.0097,10.011,4,4
16.097,4.0000,0.9506,-0.0045,14.837,4,4
16.200,4.0000,0.9323,0.0147,17.849,4,4
16.295,4.0000,0.9573,-0.0175,13.151,4,4
16.393,4.0000,0.9028,-0.0012,10.355,4,4
16.495,4.0000,0.9840,-0.0196,12.492,4,4
16.591,4.0000,0.9471,-0.0040,9.281,4,4
16.695,4.0000,0.9737,-0.0074,12.298,4,4
16.795,4.0000,0.9857,0.0121,12.077,4,4
16.898,4.0000,0.9888,0.0022,14.480,4,4
17.000,4.0000,1.0080,0.0145,18.563,4,4
17.096,4.0000,0.9874,0.0045,13.607,4,4
17.196,4.0000,1.0120,0.0127,12.767,4,4
17.299,4.0000,1.0061,0.0149,12.194,4,4
17.392,4.0000,1.0198,0.0315,9.796,4,4
17.494,4.0000,1.0317,0.0253,11.479,4,4
17.597,4.0000,0.9953,0.0161,14.170,4,4
17.698,4.0000,1.0006,0.0251,15.785,4,4
17.795,4.0000,0.9715,0.0443,12.689,4,4
17.907,4.0000,0.9505,0.0294,11.992,4,4
17.995,4.0000,0.9624,0.0173,11.953,4,4
18.094,4.0000,0.9452,0.0107,12.023,4,4
18.195,4.0000,0.9037,-0.0145,12.649,4,4
18.297,4.0000,0.9260,-0.0078,14.749,4,4
18.407,4.0000,0.9907,-0.0058,21.180,4,4
18.496,4.0000,0.8242,-0.0173,12.439,4,4
18.596,4.0000,0.9533,-0.0055,14.060,4,4
18.694,4.0000,0.8662,-0.0120,10.784,4,4
18.800,4.0000,0.9206,-0.0119,15.776,4,4
18.892,4.0000,0.8849,-0.0016,9.463,4,4
18.995,4.0000,0.8935,-0.0048,12.899,4,4
19.094,4.0000,0.9218,-0.0040,11.297,4,4
19.195,4.0000,0.8621,-0.0062,13.144,4,4
19.292,4.0000,0.8934,-0.0270,9.283,4,4
19.396,4.0000,0.8458,-0.0081,13.421,4,4
19.492,4.0000,0.8728,-0.0062,9.384,4,4
19.598,4.0000,0.8091,-0.0094,15.812,4,4
19.698,4.0000,0.8438,-0.0165,15.339,4,4
19.792,4.0000,0.8556,-0.0069,10.685,4,4
19.892,4.0000,0.8210,-0.0050,8.470,4,4
19.996,4.0000,0.7886,-0.0253,13.708,4,4
20.091,4.0000,0.8207,-0.0119,8.513,4,4
20.200,4.0000,0.7694,-0.0059,16.073,4,4
20.291,4.0000,0.7845,-0.0340,9.286,4,4
20.398,4.0000,0.8336,-0.0278,15.965,4,4
20.492,4.0000,0.7763,-0.0296,9.832,4,4
20.592,4.0000,0.7653,-0.0160,9.948,4,4
20.696,4.0000,0.7846,-0.0113,12.805,4,4
20.801,4.0000,0.7622,-0.0038,18.963,4,4
20.896,4.0000,0.7267,-0.0013,12.642,4,4
20.996,4.0000,0.7538,-0.0112,11.348,4,4
21.097,4.0000,0.7382,-0.0051,15.091,4,4
21.198,4.0000,0.7645,-0.0199,15.643,4,4
21.296,4.0000,0.7135,-0.0069,13.549,4,4
21.395,4.0000,0.7551,-0.0091,11.436,4,4
21.492,4.0000,0.7141,-0.0091,10.077,4,4
21.598,4.0000,0.7245,-0.0027,14.860,4,4
21.690,4.0000,0.7092,0.0029,8.165,4,4
21.799,4.0000,0.6913,-0.0050,15.947,4,4
21.894,4.0000,0.7058,-0.0172,11.845,4,4
21.993,4.0000,0.7434,-0.0119,10.064,4,4
22.093,4.0000,0.7142,-0.0294,10.755,4,4
22.195,4.0000,0.7253,-0.0227,12.916,4,4
22.291,4.0000,0.7310,0.0044,8.995,4,4
22.400,4.0000,0.7833,0.0064,16.419,4,4
22.493,4.0000,0.7338,-0.0012,10.999,4,4
22.599,4.0000,0.7437,0.0064,15.682,4,4
22.693,4.0000,0.7581,-0.0161,10.321,4,4
22.791,4.0000,0.6995,-0.0182,9.137,4,4
22.896,4.0000,0.7178,-0.0180,12.852,4,4
22.997,4.0000,0.6839,-0.0047,14.503,4,4
23.108,4.0000,0.6603,-0.0041,23.628,4,4
23.195,4.0000,0.6693,-0.0161,8.821,4,4
23.296,4.0000,0.6824,-0.0132,13.638,4,4
23.397,4.0000,0.6765,-0.0173,13.587,4,4
23.496,4.0000,0.6461,-0.0232,13.419,4,4
23.596,4.0000,0.6432,-0.0217,13.520,4,4
23.696,4.0000,0.6553,-0.0291,11.766,4,4
23.794,4.0000,0.6060,-0.0360,12.402,4,4
23.897,4.0000,0.6230,-0.0241,14.636,4,4
23.994,4.0000,0.5976,-0.0145,10.931,4,4
24.093,4.0000,0.6066,-0.0367,10.522,4,4
24.199,4.0000,0.5727,-0.0375,16.005,4,4
24.297,4.0000,0.5644,-0.0343,15.122,4,4
24.394,4.0000,0.5562,-0.0288,12.198,4,4
24.492,4.0000,0.5628,-0.0464,8.898,4,4
24.594,4.0000,0.6048,-0.0225,10.351,4,4
24.706,4.0000,0.5708,-0.0335,21.540,4,4
24.793,4.0000,0.5163,-0.0273,9.535,4,4
24.896,4.0000,0.5474,-0.0270,13.352,4,4
24.990,4.0000,0.5255,-0.0261,8.541,4,4
25.096,4.0000,0.5494,-0.0161,11.838,4,4
25.202,4.0000,0.5978,-0.0101,17.634,4,4
25.293,4.0000,0.6098,-0.0226,10.917,4,4
25.397,4.0000,0.5585,-0.0262,12.140,4,4
25.506,4.0000,0.5129,-0.0370,23.109,4,4
25.590,4.0000,0.6021,-0.0185,8.091,4,4
25.690,4.0000,0.5552,-0.0289,8.521,4,4
25.802,4.0000,0.6022,-0.0326,17.308,4,4
