approach,attack,mean_err_m,peak_err_m,rmse_m,mean_solve_ms,degradation_factor
WLS (baseline),baseline,0.5361,4.4722,0.6756,0.0,1.0
WLS (baseline),sybil,,,,,
WLS (baseline),replay,0.4376,4.4722,0.7793,0.0,0.82
WLS (baseline),wormhole,88.5755,241.5907,119.3438,0.0,165.22
WLS (baseline),sybil_consistent,1.4601,4.4722,1.604,0.0,2.72
WLS (baseline),replay_gradual,0.2857,0.7536,0.3478,0.0,0.53
WLS (baseline),byzantine,43.4587,141.7943,63.5359,0.0,81.06
WLS (baseline),timesync,0.5269,0.9534,0.5796,0.0,0.98
EKF (baseline),baseline,0.5061,0.9873,0.5541,0.0,1.0
EKF (baseline),sybil,,,,,
EKF (baseline),replay,0.308,0.6884,0.3432,0.0,0.61
EKF (baseline),wormhole,32.3281,89.5665,43.5745,0.0,63.88
EKF (baseline),sybil_consistent,1.4865,2.0174,1.6477,0.0,2.94
EKF (baseline),replay_gradual,0.3252,0.8859,0.4404,0.0,0.64
EKF (baseline),byzantine,13.9175,45.584,20.3917,0.0,27.5
EKF (baseline),timesync,0.4113,0.8305,0.4607,0.0,0.81
WLS + Huber,baseline,0.3579,0.7722,0.4098,1.86,1.0
WLS + Huber,sybil,0.3935,0.8638,0.4648,2.069,1.1
WLS + Huber,replay,0.4428,0.829,0.49,1.834,1.24
WLS + Huber,wormhole,19.6025,52.379,25.9753,2.004,54.77
WLS + Huber,sybil_consistent,0.5765,1.1993,0.6612,1.885,1.61
WLS + Huber,replay_gradual,0.6543,1.3757,0.7489,1.929,1.83
WLS + Huber,byzantine,42.5727,136.4805,61.6675,2.358,118.95
WLS + Huber,timesync,0.4888,1.1364,0.5836,2.059,1.37
WLS + Tukey,baseline,0.2077,0.5233,0.2348,3.63,1.0
WLS + Tukey,sybil,0.383,0.643,0.4083,3.817,1.84
WLS + Tukey,replay,0.3944,0.8194,0.4582,3.767,1.9
WLS + Tukey,wormhole,0.5215,1.034,0.6096,3.863,2.51
WLS + Tukey,sybil_consistent,0.2657,0.5645,0.2949,3.706,1.28
WLS + Tukey,replay_gradual,0.5603,1.1773,0.6557,3.979,2.7
WLS + Tukey,byzantine,38.1202,118.4723,54.5188,3.531,183.53
WLS + Tukey,timesync,0.3544,0.6112,0.3803,3.444,1.71
RANSAC,baseline,0.4073,0.8863,0.4604,13.167,1.0
RANSAC,sybil,0.2814,0.6981,0.3468,14.338,0.69
RANSAC,replay,0.195,0.4154,0.2155,14.286,0.48
RANSAC,wormhole,0.2953,0.642,0.3268,14.895,0.73
RANSAC,sybil_consistent,0.3462,0.5492,0.3633,14.504,0.85
RANSAC,replay_gradual,0.3214,0.9671,0.3745,14.471,0.79
RANSAC,byzantine,4.0246,6.5781,4.8963,15.22,9.88
RANSAC,timesync,0.1698,0.4091,0.1897,14.591,0.42
EKF + chi2 + Huber,baseline,0.0348,0.0704,0.0383,0.787,1.0
EKF + chi2 + Huber,sybil,0.0282,0.0481,0.029,0.675,0.81
EKF + chi2 + Huber,replay,0.0293,0.0548,0.0318,0.815,0.84
EKF + chi2 + Huber,wormhole,0.0211,0.043,0.0218,0.794,0.61
EKF + chi2 + Huber,sybil_consistent,0.0261,0.0431,0.0267,0.795,0.75
EKF + chi2 + Huber,replay_gradual,0.0153,0.0341,0.0164,0.736,0.44
EKF + chi2 + Huber,byzantine,0.9852,1.6507,1.229,0.725,28.31
EKF + chi2 + Huber,timesync,0.0354,0.058,0.0373,0.734,1.02
