t_sec,x,y,z,solve_ms
2.907,0.0118,0.0069,0.0109,5.602
3.002,-0.0001,0.0180,0.0307,1.837
3.107,-0.0093,-0.0114,0.0060,5.156
3.204,-0.0087,-0.0273,0.0077,2.132
3.311,-0.0558,-0.0313,0.0295,2.335
3.406,-0.0118,-0.0403,0.0000,1.618
3.503,-0.0702,-0.0099,-0.0098,1.829
3.604,-0.0276,-0.0033,0.0003,1.579
3.705,-0.0598,-0.0319,0.0190,3.654
3.802,-0.0573,-0.0263,0.0120,1.466
3.902,-0.0793,-0.0255,-0.0184,1.439
4.002,-0.0234,-0.0229,-0.0160,1.354
4.103,-0.0471,-0.0060,-0.0350,1.592
4.203,-0.0670,-0.0234,-0.0278,2.083
4.305,-0.0861,-0.0435,-0.0427,3.645
4.404,-0.0265,-0.0021,-0.0194,1.642
4.507,-0.0641,-0.0355,-0.0242,3.051
4.603,-0.0104,-0.0119,-0.0105,2.167
4.702,-0.0103,-0.0210,-0.0222,1.342
4.802,-0.0389,-0.0261,-0.0263,1.527
4.903,-0.0594,-0.0229,0.0008,1.443
5.003,-0.0880,-0.0293,-0.0328,1.637
5.105,-0.0880,-0.0380,-0.0049,1.369
5.205,-0.0635,-0.0514,0.0115,1.613
5.304,-0.0434,-0.0653,-0.0045,1.778
5.402,-0.0640,-0.0705,-0.0212,1.621
5.504,-0.0971,-0.0737,0.0045,1.705
5.603,-0.1121,-0.1040,-0.0455,1.391
5.705,-0.0945,-0.0990,-0.0642,1.299
5.805,-0.0258,-0.0835,-0.0362,2.983
5.903,-0.0100,-0.0536,-0.0177,1.803
6.002,0.0195,-0.0828,-0.0413,1.266
6.103,-0.0423,-0.1166,-0.0352,1.889
6.205,-0.0121,-0.1166,-0.0150,2.241
6.308,-0.0032,-0.1028,-0.0063,3.454
6.404,0.0080,-0.0967,-0.0096,2.010
6.504,0.0219,-0.0914,0.0160,1.940
6.613,0.0078,-0.1081,-0.0085,1.994
6.703,0.0084,-0.0875,-0.0251,2.094
6.806,0.0256,-0.1006,-0.0038,1.584
6.904,0.0408,-0.0891,-0.0214,1.817
7.002,-0.0235,-0.0887,-0.0086,1.402
7.103,-0.0180,-0.0862,-0.0040,1.209
7.204,0.0265,-0.0697,-0.0157,1.783
7.303,-0.0058,-0.0775,-0.0119,1.833
7.403,-0.0112,-0.0716,-0.0094,2.065
7.503,-0.0187,-0.0903,0.0121,1.720
7.603,0.0425,-0.0560,0.0082,1.646
7.702,0.0308,-0.0431,0.0382,1.285
7.802,0.0121,-0.0624,0.0381,1.560
7.904,0.0265,-0.0884,0.0380,1.606
8.005,0.0439,-0.0669,-0.0033,3.980
8.103,0.0464,-0.0857,0.0264,2.492
