t_sec,x,y,z,solve_ms
4.303,2.0561,0.0083,-0.0061,1.664
4.402,1.9919,0.0269,-0.0002,1.689
4.503,2.0070,0.0116,-0.0123,1.734
4.603,2.0053,-0.0218,-0.0078,1.720
4.703,1.9588,-0.0056,-0.0085,1.579
4.803,1.9898,-0.0069,-0.0084,1.673
4.902,1.9979,0.0105,-0.0228,1.350
5.001,1.9856,0.0268,-0.0266,1.018
5.103,2.0075,0.0052,-0.0069,1.530
5.203,2.0016,-0.0226,-0.0152,1.535
5.303,2.0207,0.0029,-0.0085,1.602
5.405,2.0016,-0.0052,-0.0086,2.456
5.503,1.9507,-0.0023,0.0134,1.566
5.603,1.9772,0.0263,0.0114,1.796
5.703,2.0019,0.0151,-0.0038,2.009
5.802,2.0268,0.0312,-0.0056,1.487
5.904,1.9804,0.0133,-0.0114,1.583
6.002,2.0300,-0.0081,-0.0083,1.427
6.102,2.0192,0.0074,-0.0045,1.253
6.203,1.9920,0.0231,0.0115,1.272
6.302,1.9711,0.0229,-0.0013,1.164
6.403,1.9979,0.0302,-0.0039,1.254
6.507,2.0096,0.0354,0.0002,3.511
6.603,1.9871,0.0368,-0.0025,1.643
6.703,2.0159,0.0239,-0.0096,1.875
6.804,2.0120,0.0119,-0.0039,2.316
6.902,2.0070,0.0333,0.0020,1.265
7.004,1.9753,-0.0122,-0.0200,1.851
7.103,2.0025,-0.0106,-0.0297,1.251
7.203,2.0215,0.0288,-0.0342,1.767
7.304,2.0295,0.0304,-0.0353,2.063
7.403,2.0051,0.0130,-0.0430,1.399
7.502,2.0138,0.0190,-0.0143,1.218
7.603,2.0069,0.0008,-0.0046,1.690
7.703,1.9717,-0.0436,-0.0051,1.678
7.803,1.9869,-0.0306,-0.0284,1.635
7.903,1.9620,-0.0295,-0.0463,1.842
8.002,1.9918,-0.0277,-0.0322,1.459
8.103,2.0040,-0.0281,-0.0392,1.628
8.202,2.0524,0.0082,-0.0451,1.155
8.303,1.9813,-0.0279,-0.0556,1.366
8.403,2.0530,-0.0203,-0.0263,1.932
8.502,2.0437,-0.0002,-0.0051,1.080
8.602,2.0179,-0.0252,0.0221,1.249
8.703,1.9701,-0.0318,0.0241,1.247
8.802,1.9716,-0.0006,0.0071,1.178
8.902,1.9503,-0.0166,0.0202,1.183
9.003,1.9555,-0.0220,0.0113,1.528
9.102,1.9642,-0.0222,0.0139,1.000
9.202,1.9523,-0.0200,-0.0055,1.174
9.302,2.0027,0.0119,0.0051,1.516
9.402,2.0007,-0.0074,0.0044,1.153
9.505,2.0166,0.0108,0.0146,1.622
9.603,2.0256,0.0119,0.0039,1.317
9.703,2.0174,0.0012,-0.0174,1.829
9.804,2.0329,0.0221,-0.0196,1.211
9.903,2.0407,0.0108,-0.0097,2.071
10.003,2.0401,0.0624,-0.0174,1.708
10.102,2.0309,0.0569,-0.0295,1.445
10.202,2.0163,0.0221,-0.0227,1.441
10.303,2.0113,0.0175,-0.0384,1.573
10.403,2.0031,-0.0017,-0.0299,1.767
10.502,2.0400,0.0124,0.0079,0.907
10.602,2.0513,-0.0015,-0.0194,1.484
10.702,2.0635,-0.0050,-0.0067,1.373
10.805,2.0255,0.0017,0.0052,2.683
10.903,2.0883,-0.0157,0.0076,2.253
11.003,2.0279,-0.0081,-0.0135,1.723
11.102,2.0809,-0.0318,-0.0052,1.387
11.202,2.0816,-0.0249,-0.0192,1.200
11.304,2.1095,-0.0006,-0.0078,1.886
11.403,2.1072,-0.0440,-0.0123,1.597
11.503,2.1420,-0.0244,-0.0045,1.584
11.603,2.1392,-0.0282,-0.0236,1.506
11.702,2.1017,-0.0238,-0.0118,1.409
11.802,2.1358,-0.0669,-0.0126,1.327
11.911,2.1176,-0.0893,-0.0114,4.941
12.004,2.0945,-0.0799,0.0193,1.470
12.104,2.1076,-0.0560,0.0047,2.211
12.204,2.0622,-0.0505,0.0130,2.568
12.307,2.0778,-0.0258,0.0302,3.587
12.405,2.0510,-0.0300,0.0425,2.220
12.506,2.1014,-0.0109,0.0427,4.008
12.616,2.0876,-0.0149,0.0312,4.191
12.707,2.0761,-0.0306,0.0155,5.809
12.803,2.1366,-0.0387,0.0272,1.708
12.903,2.0908,-0.0453,0.0490,1.629
13.003,2.0818,-0.0276,0.0531,1.987
13.107,2.1191,-0.0108,0.0602,2.023
13.204,2.1014,-0.0044,0.0788,2.483
13.304,2.0686,-0.0049,0.0782,1.550
13.403,2.0606,-0.0237,0.1005,1.873
13.504,2.1001,-0.0190,0.0652,2.807
13.609,2.0965,-0.0350,0.0681,1.314
13.704,2.1287,-0.0224,0.0403,1.611
13.804,2.1051,-0.0385,0.0497,2.161
13.903,2.1210,-0.0415,0.0406,1.807
14.006,2.1268,-0.0514,0.0466,2.989
14.103,2.1315,-0.0361,0.0444,1.606
14.203,2.1608,-0.0307,0.0633,1.725
14.308,2.1554,-0.0432,0.0494,3.336
14.403,2.1645,-0.0380,0.0784,1.688
14.504,2.1733,-0.0097,0.0609,2.330
14.604,2.1898,-0.0166,0.0500,1.735
14.702,2.1614,-0.0289,0.0560,0.937
14.802,2.1624,-0.0063,0.0366,1.390
14.904,2.1395,-0.0017,0.0228,2.419
15.002,2.1529,-0.0100,0.0514,1.254
15.103,2.1321,-0.0032,0.0536,2.101
15.201,2.1401,0.0094,0.0533,0.877
15.302,2.1752,0.0082,0.0615,1.522
15.402,2.1727,0.0153,0.0902,1.393
15.503,2.1972,0.0462,0.1004,1.604
15.602,2.2068,0.0328,0.0792,1.480
15.702,2.2638,0.0655,0.1052,1.111
15.803,2.2608,0.0681,0.0822,1.669
15.902,2.2636,0.0449,0.0851,1.199
16.002,2.2542,0.0727,0.0767,1.270
16.102,2.2474,0.0383,0.0798,1.535
16.203,2.2681,0.0386,0.0558,1.761
16.303,2.3160,0.0489,0.0469,1.444
16.403,2.3071,0.0542,0.0493,1.841
16.503,2.3293,0.0986,0.0235,1.747
16.602,2.3244,0.0597,0.0300,1.100
16.702,2.3268,0.0991,0.0485,1.483
16.805,2.3341,0.0874,0.0507,2.598
16.903,2.3731,0.0600,0.0538,2.211
17.002,2.3324,0.0612,0.0528,1.199
17.103,2.3608,0.0278,0.0686,2.214
17.203,2.3414,0.0376,0.0917,1.739
17.303,2.3281,0.0636,0.0954,1.745
17.402,2.3273,0.0570,0.0923,1.120
17.503,2.3435,0.0424,0.0964,1.852
17.602,2.3634,0.0462,0.1241,1.341
17.703,2.3289,0.0573,0.1292,1.512
17.802,2.3248,0.0403,0.1371,1.528
17.903,2.3208,0.0415,0.1308,1.522
18.002,2.3267,0.0604,0.1495,1.315
18.103,2.3488,0.0881,0.1370,1.689
18.203,2.2832,0.0467,0.1346,1.623
18.305,2.2995,0.0516,0.1114,1.784
18.402,2.3269,0.0576,0.1402,1.456
18.503,2.2868,0.0572,0.1168,1.312
18.611,2.2617,0.0650,0.1010,9.977
18.702,2.2725,0.0700,0.0889,1.360
18.803,2.2469,0.0663,0.0777,1.846
18.905,2.2203,0.0915,0.1069,3.556
19.004,2.2776,0.1293,0.0759,1.621
19.103,2.2817,0.1502,0.0888,1.853
19.203,2.3192,0.1111,0.0928,1.714
19.306,2.3393,0.1494,0.1020,2.406
19.402,2.3228,0.1028,0.0918,1.212
19.503,2.3460,0.1613,0.0805,1.259
19.603,2.3423,0.1703,0.1115,1.658
19.703,2.3550,0.1766,0.0791,1.303
19.802,2.3568,0.1654,0.0719,1.627
19.903,2.3477,0.1874,0.0623,1.773
20.002,2.3362,0.1948,0.0206,0.864
20.102,2.3535,0.1941,0.0219,1.147
20.203,2.3548,0.1683,0.0194,1.749
20.303,2.3459,0.1847,0.0235,1.864
20.403,2.3483,0.2053,0.0185,1.583
20.502,2.3241,0.2043,0.0351,1.224
20.603,2.3574,0.1734,0.0445,1.699
20.704,2.3366,0.1820,0.0611,1.642
20.802,2.3968,0.1772,0.0430,1.243
20.904,2.3162,0.1611,0.0501,1.951
