t_sec,x,y,z,solve_ms
4.304,3.9713,0.0177,-0.0217,3.506
4.409,3.9984,0.0205,-0.0143,7.517
4.502,3.9843,0.0039,0.0136,1.689
4.603,3.9452,0.0120,0.0169,2.666
4.705,3.9487,0.0341,-0.0065,1.974
4.802,3.9393,0.0053,-0.0025,1.462
4.902,3.9642,-0.0015,-0.0166,1.669
5.002,3.9627,0.0065,-0.0117,1.386
5.103,3.9758,-0.0082,0.0116,1.680
5.202,4.0299,-0.0164,0.0077,1.333
5.304,4.0234,-0.0201,0.0006,2.093
5.403,4.0303,0.0132,0.0164,2.290
5.503,4.0058,0.0208,-0.0105,1.961
5.602,3.9702,-0.0017,-0.0027,1.670
5.702,3.9128,0.0204,-0.0005,1.722
5.801,4.0012,0.0102,-0.0154,1.281
5.901,3.9851,0.0270,0.0062,1.072
6.003,4.0035,0.0193,0.0011,1.289
6.102,3.9961,0.0323,-0.0168,2.026
6.206,4.0122,-0.0026,-0.0260,5.101
6.302,3.9563,0.0171,0.0030,1.234
6.513,3.9750,0.0446,-0.0111,1.449
6.515,3.9750,0.0446,-0.0111,0.867
6.603,3.9738,0.0325,-0.0212,2.596
6.703,4.0060,-0.0133,-0.0149,1.784
6.804,4.0060,0.0177,-0.0010,2.204
6.903,3.9770,-0.0194,0.0025,2.553
7.003,3.9939,-0.0202,-0.0065,2.576
7.103,4.0420,0.0176,-0.0167,2.593
7.202,3.9995,-0.0152,-0.0050,1.544
7.303,3.9843,0.0077,-0.0099,1.838
7.404,3.9816,0.0226,-0.0134,3.344
7.502,3.9696,0.0446,0.0070,1.335
7.602,3.9831,0.0291,-0.0024,1.449
7.702,3.9589,0.0124,-0.0087,1.371
7.803,4.0009,0.0183,-0.0164,2.436
7.902,3.9768,0.0182,0.0044,1.581
8.003,4.0062,0.0043,-0.0014,1.638
8.102,3.9838,-0.0051,-0.0065,1.764
8.204,3.9932,-0.0190,0.0036,2.634
8.302,3.9947,-0.0037,-0.0006,1.769
8.402,4.0418,-0.0127,0.0162,1.552
8.502,4.0138,0.0184,-0.0098,1.243
8.602,3.9684,0.0340,-0.0031,1.868
8.702,3.9780,-0.0361,-0.0138,1.401
8.803,3.9983,-0.0222,0.0075,1.811
8.901,4.0002,0.0022,0.0040,1.193
9.002,3.9805,0.0050,-0.0273,1.388
9.106,3.9725,0.0023,-0.0162,1.618
9.202,4.0230,0.0020,0.0001,2.107
9.303,4.0016,0.0083,-0.0167,2.744
9.402,3.9767,0.0200,0.0044,1.706
9.502,4.0019,-0.0130,-0.0025,1.704
9.602,3.9997,0.0007,0.0167,1.706
9.703,3.9771,-0.0110,0.0080,2.222
9.802,3.9834,-0.0527,0.0018,1.781
9.902,3.9528,-0.0430,0.0319,1.682
10.004,3.9597,-0.0256,0.0214,2.280
10.103,3.9401,-0.0277,0.0257,1.927
10.204,3.8990,-0.0600,0.0190,1.384
10.304,3.9596,-0.0536,0.0698,2.921
