t_sec,x,y,z,solve_ms
4.009,3.9601,-0.0122,0.0106,4.823
4.105,3.9681,-0.0027,0.0134,3.005
4.205,3.9776,-0.0177,-0.0033,2.424
4.314,3.9609,-0.0135,0.0025,3.718
4.404,3.9538,-0.0117,-0.0103,1.804
4.504,3.9772,0.0292,-0.0056,2.136
4.603,3.9971,-0.0002,-0.0232,1.486
4.702,3.9704,-0.0125,-0.0030,1.403
4.804,4.0198,-0.0187,-0.0095,2.374
4.905,4.0094,-0.0057,-0.0097,2.534
5.004,4.0247,-0.0233,0.0011,2.872
5.104,3.9802,0.0242,-0.0113,2.655
5.205,3.9772,0.0067,0.0126,1.898
5.304,3.9795,0.0229,-0.0148,3.206
5.404,3.9926,0.0227,0.0252,2.692
5.507,4.0369,-0.0209,-0.0021,3.843
5.603,3.9970,0.0135,0.0136,1.837
5.707,3.9654,0.0334,0.0083,5.618
5.803,4.0211,0.0094,0.0208,1.602
5.902,4.0303,-0.0094,0.0249,1.290
6.003,4.0150,-0.0102,0.0112,2.003
6.104,4.0189,0.0037,0.0120,1.657
6.203,4.0165,-0.0094,0.0007,1.532
6.304,4.0161,-0.0245,0.0026,1.500
6.425,4.0077,0.0004,-0.0019,1.489
6.504,4.0186,-0.0220,-0.0074,3.170
6.603,4.0080,0.0103,-0.0038,1.658
6.702,4.0291,0.0011,-0.0122,1.407
6.810,4.0442,-0.0014,0.0098,7.874
6.907,4.0392,-0.0298,-0.0169,1.329
7.004,4.0594,-0.0312,0.0153,1.856
7.106,4.0730,-0.0193,-0.0227,5.024
7.203,4.0354,-0.0039,0.0073,1.651
7.304,4.0343,-0.0559,-0.0043,2.532
7.405,4.0074,0.0118,0.0187,3.527
7.505,4.0086,0.0034,0.0081,2.041
7.604,4.0328,-0.0304,-0.0014,2.648
7.705,4.0055,-0.0279,-0.0087,2.319
7.803,4.0147,-0.0476,-0.0148,1.618
7.902,4.0584,-0.0090,0.0063,1.328
8.005,4.0120,0.0035,0.0126,2.033
8.106,3.9993,0.0358,0.0124,5.142
8.204,3.9943,0.0023,-0.0070,2.920
8.303,3.9979,0.0010,0.0154,1.752
8.403,3.9875,-0.0135,0.0158,1.662
8.504,4.0009,0.0070,-0.0086,1.635
8.603,4.0293,-0.0069,-0.0124,1.397
8.703,3.9865,-0.0089,-0.0376,1.907
8.809,3.9983,-0.0107,-0.0259,4.494
8.909,3.9825,-0.0102,-0.0051,3.318
9.004,3.9869,-0.0028,-0.0125,1.187
9.104,3.9766,0.0101,-0.0237,1.311
9.203,3.9741,-0.0008,-0.0130,1.824
9.303,4.0230,-0.0145,-0.0056,1.667
9.405,4.0264,-0.0141,-0.0143,2.976
9.504,4.0147,-0.0294,-0.0354,2.243
9.605,3.9905,-0.0330,-0.0033,1.377
9.703,3.9896,-0.0537,-0.0339,1.526
9.803,4.0178,-0.0731,-0.0264,1.687
9.903,3.9950,-0.0338,-0.0077,1.882
10.003,3.9870,-0.0412,-0.0190,1.704
10.106,3.9780,-0.0414,-0.0101,4.225
10.204,3.9850,-0.0556,-0.0300,2.093
10.303,3.9709,-0.0361,-0.0386,1.430
10.404,3.9623,-0.0594,-0.0085,1.854
10.510,3.9934,-0.0650,-0.0324,1.253
10.604,3.9786,-0.0427,-0.0458,2.091
10.703,3.9443,-0.0549,-0.0404,1.940
10.806,3.9655,-0.0496,-0.0153,1.517
10.902,3.9819,0.0222,-0.0332,1.488
11.004,3.9594,0.0013,-0.0172,1.943
11.108,3.9301,0.0320,-0.0167,2.610
11.206,3.9821,0.0095,-0.0120,2.674
11.304,3.9675,0.0172,0.0010,1.711
11.403,3.9860,0.0139,0.0075,1.334
11.503,3.9230,0.0100,0.0078,1.350
11.603,3.9683,0.0137,0.0010,1.646
11.704,3.9661,0.0001,0.0031,1.957
11.803,3.9344,-0.0020,-0.0044,1.818
11.904,3.9667,0.0028,-0.0003,2.560
12.003,3.9485,-0.0006,-0.0139,2.288
12.106,3.9444,-0.0122,0.0104,2.635
12.204,3.9712,-0.0142,0.0116,1.925
12.303,3.9655,-0.0081,-0.0032,2.220
12.404,3.9953,0.0092,0.0007,1.548
12.503,3.9749,-0.0030,0.0500,1.578
12.603,3.9513,0.0150,0.0340,1.463
12.705,3.9045,-0.0156,0.0300,3.218
12.805,3.9247,-0.0414,0.0502,2.381
12.905,3.9433,-0.1004,0.0399,2.706
13.003,3.9226,-0.0826,0.0305,1.881
13.103,3.9324,-0.0771,0.0462,2.299
13.205,4.0049,-0.0933,0.0266,2.067
13.302,3.9570,-0.1112,0.0526,1.440
13.403,3.9920,-0.0879,0.0461,2.390
13.503,3.9765,-0.0977,0.0015,1.592
13.603,3.9861,-0.1121,0.0231,2.063
13.712,4.0066,-0.1333,0.0310,9.895
13.803,3.9594,-0.1124,0.0275,1.173
13.903,3.9808,-0.1392,0.0373,1.839
14.004,3.9461,-0.1419,0.0362,2.775
14.106,3.9854,-0.1360,-0.0100,1.336
14.203,3.9467,-0.1151,0.0045,1.573
14.305,3.9389,-0.1206,-0.0201,2.768
14.403,3.9439,-0.1513,0.0133,1.932
14.503,3.9131,-0.1513,-0.0173,1.535
14.614,3.9173,-0.1572,-0.0021,1.519
14.703,3.9164,-0.1679,-0.0195,1.949
14.803,3.9126,-0.1704,0.0120,1.639
14.903,3.9202,-0.1599,0.0081,1.976
15.003,3.9020,-0.1606,0.0261,1.592
15.103,3.9271,-0.2154,0.0103,1.415
15.204,3.9026,-0.2060,-0.0023,1.533
15.305,3.9009,-0.2231,-0.0073,2.581
15.405,3.9209,-0.2032,-0.0138,1.451
15.503,3.9442,-0.2189,-0.0020,1.229
15.603,3.9277,-0.1929,-0.0196,1.137
