t_sec,x,y,z,solve_ms
6.386,1.9960,2.0088,0.0032,2.966
6.485,2.0139,2.0087,0.0017,1.210
6.585,2.0026,1.9800,-0.0273,2.235
6.686,1.9952,2.0161,-0.0312,1.782
6.784,2.0058,2.0062,0.0089,1.345
6.884,1.9827,2.0061,0.0147,1.871
6.984,2.0403,2.0072,0.0096,1.577
7.084,1.9990,2.0053,0.0138,1.577
7.185,2.0008,2.0007,0.0142,2.246
7.284,1.9921,1.9677,-0.0026,1.347
7.385,1.9526,1.9899,0.0044,2.759
7.488,1.9763,1.9879,-0.0040,3.081
7.584,1.9313,1.9541,0.0018,1.720
7.684,1.9502,1.9501,-0.0025,1.706
7.786,1.9123,1.9863,0.0149,2.790
7.889,1.9502,1.9542,0.0173,5.525
7.985,1.9380,1.9271,0.0254,1.872
8.086,1.9236,1.9136,0.0500,2.513
8.187,1.9370,1.9498,0.0208,4.455
8.285,1.9574,1.9364,0.0364,1.579
8.385,1.9687,1.9385,0.0429,2.136
8.485,1.9518,1.9762,-0.0086,1.962
8.585,1.9784,1.9667,0.0026,2.444
8.686,1.9748,1.9961,0.0183,2.778
8.785,1.9382,1.9547,0.0158,1.906
8.885,1.9774,1.9627,0.0320,1.826
8.986,1.9920,1.9499,0.0127,1.402
9.086,2.0026,1.9669,0.0149,2.247
9.187,2.0193,1.9686,0.0088,2.283
9.287,2.0065,1.9343,-0.0284,3.090
9.385,2.0018,1.9484,-0.0136,2.378
9.488,1.9936,1.9146,-0.0133,5.028
9.584,1.9638,1.9409,-0.0384,1.987
9.684,1.9963,1.9232,-0.0160,1.430
9.785,1.9365,1.9346,-0.0108,2.060
9.888,2.0147,1.9533,-0.0487,2.681
9.989,2.0030,1.9712,-0.0392,4.305
10.085,2.0058,1.9674,-0.0286,2.090
10.185,2.0187,1.9849,-0.0149,2.212
10.288,1.9965,1.9567,-0.0111,4.723
10.394,2.0045,1.9565,-0.0270,5.680
10.485,2.0058,1.9303,-0.0342,1.549
10.584,2.0018,1.9531,-0.0366,2.030
10.684,2.0084,1.9486,-0.0377,1.615
10.784,1.9858,1.9899,-0.0519,1.744
10.891,1.9704,1.9197,-0.0337,8.508
10.985,1.9337,1.9200,-0.0451,2.873
11.086,1.9216,1.8960,-0.0610,2.472
11.184,1.9317,1.8805,-0.0727,1.708
11.285,1.8930,1.8876,-0.0628,2.493
11.385,1.9215,1.9047,-0.0575,2.164
11.484,1.9280,1.9202,-0.0433,1.673
11.586,1.9086,1.9099,-0.0502,2.643
11.686,1.9335,1.8835,-0.0549,2.503
11.785,1.9686,1.8886,-0.0446,1.702
11.884,1.9970,1.8707,-0.0492,1.779
11.984,2.0026,1.8840,-0.0209,1.708
12.084,2.0128,1.9144,-0.0466,2.160
12.188,2.0164,1.9333,-0.0483,4.180
12.289,2.0409,1.9321,-0.0676,6.495
12.386,2.0370,1.9283,-0.0694,2.737
12.485,2.0045,1.9386,-0.0769,1.623
12.586,1.9702,1.9107,-0.0554,2.260
12.689,1.9597,1.8919,-0.0803,1.343
12.785,1.9909,1.9216,-0.0763,1.390
12.885,1.9531,1.9627,-0.1123,2.089
12.986,1.9653,1.9764,-0.0889,3.357
13.086,1.9553,1.9761,-0.0809,2.586
13.185,1.9731,1.9818,-0.0963,2.715
13.285,1.9511,2.0000,-0.0579,2.153
13.393,1.9674,1.9706,-0.0722,2.801
13.490,1.9621,2.0109,-0.0892,5.865
13.585,1.9379,1.9964,-0.0840,2.152
13.685,1.9725,2.0015,-0.0756,2.244
13.787,1.9602,2.0134,-0.0351,2.054
13.886,1.9619,1.9817,-0.0577,2.702
13.988,1.9458,2.0151,-0.0256,1.486
14.091,1.9622,1.9591,-0.0345,2.501
14.187,1.9525,1.9483,-0.0252,2.147
14.293,1.9324,1.9624,-0.0220,7.584
14.385,1.9511,1.9421,-0.0133,1.604
14.485,1.9808,1.9477,0.0018,2.722
14.584,1.9669,1.9397,-0.0075,1.840
14.686,1.9932,1.9449,0.0052,2.084
14.784,1.9973,1.9061,-0.0088,1.988
14.885,1.9796,1.9590,0.0078,1.974
14.985,1.9944,1.9066,0.0058,1.570
15.084,1.9451,1.9310,0.0377,2.021
15.187,1.9220,1.9605,0.0187,4.479
15.287,1.9542,1.9325,0.0305,2.964
15.386,1.9440,1.9144,0.0523,2.263
15.484,1.9678,1.9394,0.0357,1.812
15.585,1.9953,1.8964,0.0518,1.898
15.684,2.0298,1.8951,0.0534,1.851
15.785,1.9901,1.9197,0.0726,2.325
15.885,1.9860,1.8797,0.0595,1.952
15.985,2.0194,1.8825,0.0972,2.410
16.091,2.0281,1.8810,0.0827,5.340
16.193,2.0476,1.9102,0.0670,4.518
16.287,2.0456,1.9336,0.0837,3.880
16.384,2.0537,1.8981,0.1083,1.493
16.487,2.0591,1.8947,0.0830,4.419
16.584,2.0500,1.8775,0.0758,1.447
16.684,2.0523,1.9181,0.0525,1.502
16.786,2.0574,1.8764,0.0421,2.292
16.884,2.0336,1.8986,0.0506,1.754
16.985,2.0259,1.8804,0.0555,1.890
17.085,1.9713,1.8971,0.0493,1.545
17.184,2.0257,1.8626,0.0426,1.607
17.288,2.0031,1.8694,0.0383,2.080
17.385,2.0043,1.8768,0.0394,1.891
17.490,1.9945,1.8790,0.0294,2.211
17.586,1.9590,1.8568,0.0358,2.414
17.685,1.9881,1.8531,0.0323,1.729
17.787,1.9571,1.8720,0.0279,4.530
17.884,1.9501,1.8595,0.0398,1.568
17.984,1.9404,1.8405,0.0434,1.408
18.084,1.9527,1.8607,0.0598,1.626
18.184,1.9323,1.8691,0.0280,1.713
18.286,1.9741,1.9087,0.0219,1.675
18.386,1.9970,1.8927,0.0307,2.318
18.485,1.9921,1.8990,0.0409,2.632
18.585,2.0022,1.8789,0.0670,2.163
18.685,2.0086,1.9072,0.0517,1.867
