t_sec,x,y,z,solve_ms
4.213,2.0292,2.0152,0.0051,10.157
4.308,1.9764,2.0351,0.0011,5.767
4.403,2.0037,1.9849,-0.0243,1.818
4.503,1.9832,1.9914,-0.0068,1.325
4.604,2.0250,2.0545,-0.0266,1.875
4.703,1.9700,2.0005,-0.0170,1.530
4.802,2.0134,2.0135,0.0024,1.632
4.904,1.9965,2.0077,-0.0062,2.096
5.004,1.9844,1.9502,0.0125,2.717
5.103,1.9672,2.0038,-0.0013,2.024
5.204,2.0084,1.9913,0.0191,1.881
5.303,2.0447,1.9519,-0.0041,1.845
5.402,2.0515,1.9814,0.0014,1.488
5.502,2.0551,1.9809,-0.0112,1.281
5.603,2.0380,1.9981,-0.0057,1.772
5.702,2.0440,1.9797,0.0104,1.089
5.805,2.0287,1.9619,0.0035,1.913
5.903,2.0440,1.9796,-0.0144,1.844
6.005,2.0241,1.9677,-0.0103,1.713
6.102,2.0079,1.9868,-0.0174,1.308
6.202,1.9973,1.9862,-0.0287,1.158
6.302,1.9987,1.9999,-0.0133,1.267
6.404,1.9993,1.9893,-0.0151,2.666
6.504,2.0130,1.9861,0.0105,2.096
6.602,1.9824,2.0130,-0.0207,1.494
6.702,2.0104,1.9891,-0.0053,1.507
6.805,1.9707,1.9811,0.0185,2.158
6.903,1.9282,1.9698,-0.0186,2.206
7.008,1.9683,1.9809,-0.0019,5.505
7.103,1.9958,1.9988,-0.0014,1.878
7.206,1.9875,1.9659,-0.0130,3.943
7.302,1.9989,1.9858,-0.0118,1.570
7.405,1.9822,1.9988,0.0156,2.061
7.503,2.0022,2.0235,0.0017,1.189
7.603,2.0104,1.9872,0.0025,1.925
7.702,1.9970,2.0245,-0.0141,1.306
7.802,1.9913,2.0310,0.0046,1.222
7.903,2.0314,1.9879,0.0061,2.146
8.002,2.0058,1.9806,0.0058,1.471
8.103,2.0385,1.9979,0.0150,1.587
8.202,2.0073,1.9886,0.0452,1.273
8.302,2.0276,2.0248,0.0417,1.584
8.402,2.0130,2.0049,0.0202,1.321
8.504,1.9969,2.0057,-0.0018,2.062
8.602,1.9918,2.0500,0.0093,1.084
8.706,1.9938,2.0086,0.0179,1.573
8.803,2.0275,2.0162,0.0165,1.560
8.903,1.9959,1.9876,-0.0111,1.143
9.003,1.9876,2.0303,-0.0072,1.898
9.102,1.9718,2.0131,0.0046,1.517
9.205,1.9773,2.0027,0.0080,2.027
9.303,1.9605,1.9878,0.0091,1.768
9.402,1.9309,2.0008,0.0033,1.187
9.503,1.9999,1.9783,0.0159,1.554
9.605,2.0186,1.9811,0.0020,1.284
9.702,2.0043,1.9738,0.0007,1.255
9.802,2.0072,2.0082,0.0068,1.556
9.902,1.9796,1.9936,-0.0045,1.498
10.005,1.9720,1.9692,0.0094,1.636
10.102,2.0094,1.9330,-0.0004,1.532
10.203,1.9926,1.9534,-0.0111,1.196
10.307,1.9690,1.9445,-0.0074,1.894
10.403,1.9671,1.9686,-0.0236,1.836
10.503,1.9526,1.9425,0.0217,1.905
10.604,1.9156,1.9454,0.0353,1.490
10.702,1.9456,1.9343,0.0166,1.530
10.802,1.9401,1.9364,0.0228,1.572
10.902,1.9361,1.9523,0.0122,1.637
11.002,1.9365,1.9586,0.0189,1.389
11.103,1.9459,1.9516,0.0265,1.536
11.203,1.9963,1.9502,0.0033,2.110
11.302,1.9811,1.9876,0.0207,1.159
11.403,1.9533,2.0010,0.0181,1.776
11.502,1.9855,2.0060,0.0081,1.342
11.604,2.0084,1.9982,0.0186,1.437
11.703,2.0024,2.0270,-0.0088,1.800
