t_sec,x,y,z,solve_ms
4.709,2.0008,2.0055,0.0169,7.398
4.802,1.9922,1.9984,-0.0137,1.524
4.902,1.9780,2.0214,-0.0065,1.344
5.004,1.9694,2.0060,0.0108,2.319
5.102,1.9777,2.0133,0.0116,1.457
5.205,2.0051,2.0565,0.0215,3.442
5.303,1.9680,2.0015,-0.0097,1.740
5.403,2.0057,1.9982,0.0065,1.879
5.503,2.0129,2.0128,-0.0020,1.827
5.603,2.0114,1.9670,0.0118,1.505
5.706,1.9895,1.9810,-0.0144,4.636
5.803,1.9946,1.9692,-0.0065,1.322
5.903,1.9843,1.9881,-0.0047,2.034
6.003,2.0189,1.9941,0.0031,1.905
6.106,1.9906,1.9833,0.0071,2.729
6.203,1.9790,2.0238,-0.0024,1.676
6.302,2.0049,1.9861,-0.0162,1.641
6.406,1.9973,1.9997,-0.0063,1.968
6.741,1.9738,1.9877,-0.0022,1.397
6.745,1.9738,1.9877,-0.0022,1.718
6.802,2.0168,2.0153,-0.0082,1.316
6.902,1.9822,1.9680,-0.0068,1.595
7.002,1.9851,1.9869,0.0076,1.370
7.102,2.0483,1.9979,-0.0052,1.357
7.203,2.0074,2.0117,0.0212,1.695
7.305,2.0130,1.9933,-0.0129,1.570
7.407,1.9963,1.9933,-0.0070,6.136
7.503,1.9792,1.9794,0.0028,1.995
7.602,1.9932,1.9704,0.0225,1.740
7.703,2.0230,1.9590,0.0188,1.991
7.804,1.9817,1.9807,0.0075,2.150
7.902,2.0083,1.9866,0.0039,1.420
8.003,1.9869,1.9720,0.0073,1.855
8.104,1.9877,1.9950,0.0063,2.664
8.203,2.0105,2.0434,0.0124,2.375
8.305,2.0077,2.0077,-0.0152,3.814
8.402,2.0098,2.0538,0.0013,1.545
8.503,1.9736,2.0449,-0.0041,1.892
8.604,2.0092,2.0105,0.0053,1.325
8.702,1.9687,2.0053,0.0029,1.589
8.803,1.9972,2.0108,0.0107,1.953
8.902,1.9465,1.9790,-0.0168,1.405
9.003,2.0030,1.9904,-0.0115,1.402
9.103,1.9771,2.0143,0.0076,2.047
9.203,1.9735,2.0130,0.0048,1.742
9.302,1.9722,2.0329,-0.0059,1.573
9.407,1.9806,2.0245,-0.0051,2.175
9.504,1.9971,2.0228,-0.0090,1.366
9.603,1.9988,2.0020,0.0106,1.938
9.702,1.9904,2.0081,0.0102,1.119
9.806,2.0500,2.0024,-0.0021,1.582
9.903,2.0369,2.0396,0.0097,2.109
10.003,2.0010,2.0442,0.0149,1.911
10.103,1.9824,2.0646,0.0117,1.642
10.202,2.0074,2.0155,0.0068,1.815
10.303,2.0080,2.0140,0.0199,1.961
10.409,1.9830,2.0166,0.0001,2.008
10.503,1.9805,1.9913,0.0006,1.954
10.606,1.9874,2.0234,-0.0111,1.702
10.704,1.9731,2.0157,-0.0272,3.060
10.804,1.9689,2.0074,-0.0121,3.497
10.903,1.9713,2.0002,-0.0153,1.749
11.003,1.9769,2.0156,-0.0206,1.888
11.103,1.9798,2.0248,-0.0068,1.948
11.206,1.9370,2.0278,-0.0277,2.326
11.303,1.9483,2.0394,-0.0230,1.593
11.404,1.9856,2.0304,-0.0488,3.136
11.502,1.9202,2.0113,-0.0339,1.471
11.604,1.9283,2.0238,-0.0103,1.864
11.703,1.9239,2.0141,-0.0244,2.023
11.803,1.9030,2.0481,0.0049,2.130
11.904,1.8880,2.0601,-0.0069,2.432
12.008,1.9204,2.0446,-0.0051,5.511
12.104,1.8958,2.0502,-0.0222,1.853
12.208,1.9010,2.0586,-0.0284,3.069
12.302,1.9248,2.0689,0.0048,1.484
12.405,1.9198,2.0868,-0.0073,2.282
12.503,1.9148,2.0814,0.0103,1.424
12.603,1.9458,2.0942,-0.0025,1.609
12.702,1.9699,2.0718,0.0094,1.365
12.807,1.9250,2.0823,-0.0218,6.103
12.902,1.9533,2.0549,-0.0077,1.213
13.003,1.9327,2.0777,-0.0094,1.969
13.103,1.9301,2.0560,-0.0023,1.896
13.203,1.9343,2.0407,0.0104,1.537
13.303,1.9265,2.0318,-0.0141,1.683
13.403,1.9358,2.0364,-0.0035,1.629
13.503,1.9538,2.0191,-0.0089,1.595
13.603,1.9746,2.0235,-0.0090,1.831
13.702,1.9777,2.0148,0.0034,1.445
13.803,2.0087,2.0226,-0.0050,1.813
13.904,1.9744,2.0435,-0.0231,2.542
14.002,2.0033,2.0253,0.0055,1.244
14.102,1.9268,2.0280,-0.0027,1.573
14.203,1.9210,1.9907,-0.0120,1.779
14.303,1.9429,2.0211,-0.0048,1.592
14.403,1.9094,1.9997,-0.0058,1.638
14.503,1.9436,2.0103,0.0260,1.713
14.608,1.9521,1.9877,0.0071,6.137
14.703,1.9177,1.9853,0.0191,1.630
14.802,1.8986,1.9963,0.0193,1.464
14.904,1.9028,1.9680,0.0125,2.465
15.002,1.8789,1.9756,-0.0081,1.577
15.102,1.9370,2.0131,-0.0060,1.269
15.203,1.9354,1.9467,-0.0169,1.917
15.307,1.9534,1.9306,-0.0120,2.154
15.403,1.9517,1.9789,0.0030,1.923
15.503,1.9517,1.9845,-0.0047,1.992
15.604,1.9559,1.9841,0.0216,2.427
15.702,1.9562,1.9594,0.0324,1.611
15.807,1.9570,1.9849,0.0482,1.824
15.905,1.9769,2.0230,0.0730,2.183
16.004,1.9618,1.9934,0.0748,2.895
16.102,1.9751,2.0249,0.0585,1.546
16.206,1.9953,2.0472,0.0681,1.402
16.303,2.0091,2.0536,0.0899,1.466
16.405,1.9999,2.0374,0.0917,3.043
16.502,1.9635,2.0206,0.1152,1.326
16.602,2.0129,2.0449,0.1122,1.511
16.704,1.9669,2.0622,0.1176,1.977
16.805,1.9840,2.0262,0.1236,2.020
16.904,2.0006,2.0431,0.1260,2.270
17.002,1.9821,2.0278,0.1142,1.531
17.105,2.0038,2.0051,0.0900,1.769
17.204,1.9787,2.0189,0.1116,1.843
17.303,1.9673,1.9870,0.0887,1.778
17.404,1.9515,1.9938,0.1060,3.110
17.504,1.9765,1.9801,0.1115,1.996
17.604,1.9920,1.9753,0.1137,2.364
17.703,1.9511,2.0086,0.1349,1.676
17.802,1.9516,1.9782,0.1411,1.337
17.904,1.9769,2.0029,0.0999,1.665
18.004,1.9708,1.9520,0.0846,2.927
18.103,1.9826,1.9687,0.0666,1.833
18.203,2.0020,1.9724,0.0920,2.064
18.303,2.0387,2.0022,0.0755,1.556
18.403,2.0253,1.9805,0.0868,1.453
18.504,2.0084,1.9902,0.0956,1.682
18.603,2.0051,1.9491,0.1048,1.720
18.713,2.0609,2.0142,0.1281,7.769
18.807,2.0384,1.9943,0.1174,2.267
18.903,2.0458,1.9826,0.1263,1.788
19.006,2.0602,1.9968,0.1284,1.531
19.108,2.0197,1.9802,0.1313,6.438
19.203,2.0446,2.0123,0.1184,2.334
19.302,2.0554,2.0070,0.1338,1.377
19.406,2.1016,2.0240,0.1367,1.609
19.503,2.0972,1.9900,0.1482,1.680
19.604,2.1206,1.9840,0.1564,2.327
19.703,2.1253,1.9761,0.1582,1.508
19.807,2.1063,1.9921,0.1791,5.477
19.905,2.0680,1.9602,0.1929,2.203
20.004,2.0776,1.9551,0.2020,1.957
20.105,2.0769,1.9463,0.1972,3.389
20.204,2.0732,1.9311,0.2151,1.235
20.303,2.0917,1.9296,0.2097,1.848
20.404,2.0731,1.9009,0.1920,2.119
20.503,2.0886,1.9107,0.2265,2.222
20.603,2.0709,1.9063,0.2137,1.736
20.702,2.0768,1.8469,0.2134,1.304
20.803,2.0757,1.8824,0.2303,1.313
20.903,2.1016,1.8756,0.2301,2.627
21.002,2.0658,1.8726,0.2455,1.533
21.103,2.0779,1.8950,0.2120,1.081
21.203,2.1141,1.8842,0.2474,1.997
21.302,2.1004,1.8688,0.1951,1.260
21.402,2.0541,1.8933,0.2070,1.438
21.511,2.0995,1.8795,0.1714,6.003
21.603,2.0723,1.8272,0.1808,2.089
21.704,2.1054,1.8075,0.1981,2.124
21.803,2.0818,1.8144,0.2149,1.522
21.904,2.0840,1.8091,0.2023,2.078
22.005,2.0799,1.8218,0.1834,3.025
22.105,2.0708,1.7909,0.1921,2.145
22.205,2.0569,1.7900,0.1928,1.752
22.304,2.0145,1.7750,0.1839,1.983
22.407,2.0292,1.7701,0.1995,4.846
22.504,2.0335,1.8008,0.1867,2.422
22.604,2.0061,1.7987,0.1887,2.163
22.706,2.0177,1.7632,0.1865,4.138
22.804,2.0266,1.7911,0.1845,2.384
22.904,2.0650,1.7661,0.1988,2.070
23.002,2.0495,1.7965,0.1998,1.349
23.103,2.0333,1.7463,0.2059,1.694
23.204,1.9920,1.7522,0.1779,2.282
23.303,1.9560,1.7281,0.1740,1.866
23.402,1.9542,1.7151,0.1633,1.386
23.502,1.9415,1.7142,0.1925,1.257
