t_sec,x,y,z,solve_ms
4.007,2.0239,1.9993,0.0117,4.819
4.103,1.9981,1.9771,-0.0280,1.441
4.203,1.9888,1.9913,-0.0044,1.756
4.303,2.0121,2.0163,-0.0002,1.436
4.403,2.0060,1.9750,0.0078,2.128
4.503,1.9928,1.9842,0.0042,2.004
4.610,2.0060,2.0144,0.0024,2.510
4.707,2.0030,1.9903,-0.0128,5.721
4.806,2.0038,1.9932,0.0097,4.050
4.903,2.0122,2.0110,-0.0057,1.697
5.004,2.0019,2.0202,0.0114,1.895
5.104,2.0437,2.0499,0.0087,2.422
5.204,1.9972,2.0228,0.0202,1.998
5.304,1.9903,2.0194,0.0021,1.949
5.403,1.9879,2.0150,-0.0059,1.741
5.504,2.0341,2.0219,0.0182,2.824
5.603,2.0251,2.0299,0.0100,1.739
5.703,2.0380,2.0004,0.0092,1.648
5.804,2.0137,2.0101,-0.0160,2.430
5.902,1.9674,2.0301,-0.0207,1.326
6.008,1.9783,2.0053,-0.0307,4.019
6.107,1.9957,2.0015,-0.0138,1.982
6.203,1.9988,2.0133,-0.0239,1.630
6.305,1.9906,1.9859,-0.0253,3.038
6.404,2.0114,1.9784,-0.0053,2.160
6.502,2.0034,1.9993,-0.0012,1.009
6.603,2.0586,1.9781,0.0134,1.526
6.738,2.0623,1.9802,0.0216,3.144
6.807,2.0238,1.9720,-0.0031,4.132
6.904,2.0672,2.0186,0.0120,2.193
7.003,2.0412,2.0156,0.0112,1.840
7.107,2.0499,2.0018,0.0010,3.091
7.204,2.0066,1.9839,0.0154,1.616
7.303,1.9989,1.9694,0.0318,1.351
7.403,2.0415,2.0055,0.0110,1.369
7.502,2.0616,2.0371,0.0186,1.298
7.605,2.0249,2.0038,0.0275,3.540
7.704,2.0438,1.9965,0.0356,2.047
7.803,1.9912,2.0173,0.0334,1.951
7.903,2.0404,2.0489,0.0477,1.859
8.003,1.9967,2.0240,0.0392,1.594
8.104,2.0127,2.0474,0.0389,1.611
8.203,2.0223,2.0094,0.0661,1.818
8.305,2.0329,2.0198,0.0639,1.491
8.403,2.0492,2.0355,0.0800,1.865
8.503,2.0795,2.0329,0.1036,1.507
8.602,2.0647,2.0434,0.1125,1.409
8.705,2.0729,2.0620,0.0878,2.430
8.803,2.0469,2.0544,0.1202,1.441
8.902,2.0669,2.0619,0.1391,1.406
9.003,2.0364,2.0664,0.1304,1.507
9.104,2.1010,2.0597,0.1098,2.363
9.204,2.1183,2.0584,0.1320,2.626
9.304,2.0677,2.0522,0.1387,1.885
9.403,2.1397,2.0358,0.1369,2.321
9.504,2.0861,2.0699,0.1825,2.778
9.604,2.1746,2.0239,0.2092,2.252
9.702,2.1319,2.0704,0.2154,1.454
9.805,2.1842,2.0512,0.2121,2.270
9.903,2.1582,2.0411,0.2152,1.706
10.003,2.1501,2.0301,0.1905,1.318
10.105,2.1793,2.0141,0.2053,1.222
10.205,2.1828,2.0061,0.2065,2.647
10.303,2.1459,2.0134,0.2129,1.674
10.404,2.1301,2.0243,0.2221,1.502
10.503,2.1244,1.9908,0.2005,1.810
10.603,2.1429,2.0030,0.1853,2.037
10.703,2.1466,2.0199,0.1853,1.490
10.802,2.1528,2.0192,0.1808,1.126
10.906,2.1782,2.0507,0.2011,1.383
11.004,2.1308,2.0618,0.2107,2.312
11.104,2.1420,2.0522,0.2169,2.924
11.204,2.1394,2.0392,0.1819,2.454
11.306,2.1044,2.0324,0.1860,2.742
11.403,2.0965,2.0206,0.1918,1.708
11.505,2.1008,2.0304,0.1739,3.049
11.604,2.1060,2.0214,0.1908,1.438
11.702,2.1135,2.0126,0.1619,1.310
11.805,2.1397,2.0226,0.1730,2.134
11.903,2.1654,2.0443,0.1527,1.655
12.004,2.1599,2.0552,0.1735,1.597
12.103,2.1150,2.0070,0.1629,1.365
12.204,2.1245,2.0236,0.1944,1.766
12.303,2.1392,2.0022,0.1590,1.874
12.404,2.1432,1.9846,0.1740,2.630
12.503,2.1302,1.9842,0.1589,1.620
12.606,2.1552,1.9833,0.1579,1.616
12.702,2.1565,1.9863,0.1631,1.459
12.803,2.1701,1.9658,0.1642,1.562
12.902,2.1576,1.9717,0.1527,1.381
13.006,2.1397,1.9802,0.1730,2.189
13.105,2.1047,1.9867,0.1688,3.904
15.588,2.1449,2.0170,0.1783,2.064
15.684,2.1352,2.0148,0.1687,1.484
15.784,2.1490,1.9902,0.1621,1.268
15.887,2.1263,2.0100,0.1672,3.219
15.985,2.1124,1.9997,0.1688,2.757
16.085,2.1153,2.0025,0.1586,2.631
16.186,2.1106,1.9945,0.1415,2.847
16.284,2.0822,1.9868,0.1633,1.523
16.383,2.1157,1.9937,0.1323,1.416
16.484,2.1058,2.0006,0.1664,1.391
16.590,2.1257,2.0206,0.1583,3.771
16.685,2.0644,1.9987,0.1683,1.354
16.785,2.0581,1.9783,0.1778,1.682
16.889,2.0694,1.9738,0.1840,4.077
16.986,2.0828,2.0209,0.2070,1.612
17.087,2.0731,1.9643,0.1988,2.248
17.184,2.1080,1.9692,0.1953,1.978
17.284,2.0836,1.9899,0.1976,1.351
17.384,2.0712,1.9888,0.1811,1.531
17.488,2.0761,1.9737,0.1524,4.309
17.585,2.1273,1.9676,0.1851,2.048
17.685,2.1416,1.9822,0.1253,2.071
17.784,2.1550,1.9807,0.1199,1.530
17.884,2.2089,1.9576,0.1353,1.428
17.985,2.1919,2.0171,0.1081,2.653
18.084,2.1702,2.0180,0.0816,1.842
18.184,2.1514,2.0200,0.0804,1.749
18.284,2.1607,1.9614,0.0684,1.903
18.385,2.1383,1.9742,0.0510,1.833
18.486,2.1494,1.9691,0.0292,1.179
18.587,2.1638,1.9781,0.0105,2.737
18.687,2.1721,1.9951,0.0109,1.642
18.790,2.2084,2.0272,-0.0183,3.393
18.884,2.1892,1.9918,-0.0146,1.380
18.985,2.1952,2.0058,-0.0049,1.874
19.085,2.1115,1.9931,0.0148,1.347
19.185,2.1210,1.9763,0.0068,2.972
19.284,2.1426,1.9953,-0.0003,1.413
19.384,2.1412,2.0127,-0.0011,1.734
19.489,2.1499,2.0239,-0.0165,6.034
19.591,2.1115,2.0266,-0.0019,2.175
19.685,2.1140,2.0453,-0.0066,1.960
19.785,2.1250,2.0345,-0.0096,1.599
19.885,2.1281,2.0548,-0.0170,2.096
19.984,2.0914,2.0478,-0.0074,1.705
20.086,2.0644,2.0491,0.0035,2.824
20.185,2.0566,2.0233,-0.0034,1.318
20.286,2.0750,2.0424,0.0200,2.083
20.384,2.1195,2.0065,-0.0067,1.530
20.487,2.0928,2.0034,-0.0063,2.195
20.584,2.1183,2.0315,0.0102,1.846
20.684,2.0562,2.0521,0.0157,1.810
20.785,2.0427,2.0625,-0.0214,1.661
20.885,2.0649,2.0437,-0.0254,2.136
20.985,2.0633,2.0466,-0.0429,1.825
21.086,2.0300,2.0435,-0.0389,3.351
21.189,2.0252,2.0809,-0.0208,1.574
21.284,2.0491,2.0397,-0.0220,1.500
21.385,2.0374,2.0405,-0.0170,1.630
21.485,2.0635,2.0787,-0.0213,1.743
21.584,2.0943,2.0589,-0.0341,1.456
21.686,2.0806,2.0425,-0.0265,1.660
21.786,2.0397,2.0443,-0.0269,1.386
21.886,2.0406,2.0281,-0.0036,3.156
21.984,2.0424,2.0050,-0.0142,1.763
22.087,1.9998,2.0276,0.0125,1.334
22.185,2.0273,2.0326,0.0217,2.005
22.284,2.0399,1.9984,-0.0019,1.582
22.384,2.0643,2.0688,0.0135,1.450
22.484,2.0274,2.0189,0.0149,1.882
22.584,2.0224,2.0374,0.0071,1.654
22.685,2.0208,2.0173,-0.0034,2.158
22.783,2.0046,2.0200,0.0103,1.301
22.886,2.0024,2.0184,0.0358,1.975
22.986,2.0094,1.9885,0.0353,1.849
23.086,2.0167,1.9812,0.0053,1.939
23.184,2.0533,1.9650,0.0225,1.566
23.284,1.9836,1.9735,0.0274,1.627
23.385,2.0336,1.9803,0.0240,1.546
23.484,2.0212,2.0044,0.0089,1.933
23.587,2.0104,2.0043,0.0049,2.822
23.686,1.9965,2.0138,-0.0075,1.695
23.788,1.9809,2.0339,0.0021,6.303
23.884,1.9605,1.9865,0.0156,1.964
