t_sec,x,y,z,solve_ms
3.908,1.9934,2.0257,-0.0053,4.755
4.002,2.0227,1.9844,-0.0159,1.052
4.102,1.9912,1.9643,0.0038,1.382
4.203,2.0057,1.9929,-0.0014,1.841
4.303,2.0013,1.9564,0.0187,1.396
4.404,1.9749,1.9910,0.0021,2.599
4.503,1.9931,2.0092,-0.0129,1.670
4.604,1.9939,1.9980,0.0099,1.340
4.703,2.0107,2.0199,-0.0208,2.021
4.803,2.0008,2.0057,-0.0008,1.765
4.903,2.0117,2.0089,0.0026,1.835
5.003,2.0273,2.0014,0.0056,1.791
5.102,2.0153,2.0045,0.0011,1.243
5.203,2.0071,1.9851,-0.0148,1.779
5.303,1.9655,1.9767,0.0079,2.132
5.402,1.9866,2.0195,-0.0106,1.256
5.503,2.0179,1.9845,-0.0087,1.283
5.603,1.9752,2.0063,0.0150,1.612
5.710,1.9590,2.0147,-0.0010,1.138
5.803,2.0026,2.0204,-0.0030,1.811
5.903,2.0066,2.0247,-0.0123,1.726
6.005,2.0182,2.0146,-0.0228,2.432
6.106,2.0278,2.0107,-0.0374,2.229
6.202,2.0280,2.0196,-0.0138,1.469
6.302,2.0127,2.0152,-0.0147,1.209
6.405,2.0142,2.0079,0.0008,4.000
6.505,1.9844,2.0350,0.0247,4.026
6.603,2.0001,2.0456,-0.0086,1.837
6.703,2.0368,2.0055,-0.0110,1.967
6.802,2.0251,2.0078,0.0071,1.511
6.908,2.0366,2.0186,-0.0052,1.677
7.003,2.0132,1.9959,0.0052,1.989
7.103,2.0169,1.9808,-0.0225,1.323
7.203,1.9849,1.9790,0.0008,2.501
7.303,1.9314,2.0088,-0.0080,1.622
7.402,1.9753,1.9823,0.0083,1.419
7.503,2.0200,2.0047,-0.0268,1.771
7.603,1.9816,2.0067,-0.0111,1.674
7.703,1.9897,1.9816,-0.0020,1.729
7.804,1.9469,1.9963,-0.0161,2.088
7.902,1.9684,2.0165,-0.0167,1.247
8.002,1.9732,1.9967,0.0028,1.377
8.102,2.0000,1.9932,-0.0056,1.437
8.203,1.9821,1.9754,0.0029,1.874
8.302,1.9554,1.9939,0.0176,1.172
8.403,1.9295,1.9735,0.0233,1.617
8.503,1.9538,2.0054,0.0345,1.631
8.603,1.9661,2.0190,0.0066,1.737
8.703,1.9921,2.0198,-0.0002,1.775
8.803,2.0001,2.0328,0.0100,1.907
8.902,1.9572,2.0133,-0.0017,1.253
9.003,1.9752,2.0072,-0.0050,1.845
9.102,1.9807,2.0118,0.0016,1.413
9.203,1.9783,2.0039,-0.0117,1.791
9.302,1.9672,1.9921,-0.0275,1.169
9.403,1.9855,1.9902,-0.0117,1.779
9.502,1.9485,2.0118,-0.0179,1.250
9.603,2.0051,2.0214,-0.0153,1.910
9.702,1.9619,2.0079,-0.0349,1.653
9.803,1.9585,1.9952,0.0044,2.188
9.902,1.9349,2.0016,-0.0219,1.127
10.003,1.9226,2.0000,-0.0259,2.475
10.103,1.9466,2.0047,-0.0123,1.750
10.202,1.9702,1.9889,-0.0059,1.338
10.302,1.9802,1.9885,-0.0007,1.321
10.402,1.9766,1.9548,-0.0181,1.436
10.503,2.0065,1.9761,-0.0156,2.251
10.603,1.9955,1.9725,-0.0221,1.623
10.703,1.9625,1.9727,-0.0313,1.959
10.805,1.9751,1.9676,-0.0664,2.065
10.904,2.0032,1.9396,-0.0421,2.703
11.002,2.0082,1.9705,-0.0612,1.428
11.103,2.0203,1.9532,-0.0532,1.928
11.203,2.0116,1.9268,-0.0683,1.735
11.303,2.0064,1.9277,-0.0349,1.984
11.403,2.0518,1.9478,-0.0549,1.709
11.502,2.0185,1.9535,-0.0426,1.423
11.603,2.0331,1.9519,-0.0719,1.596
11.703,2.0137,1.9483,-0.0676,2.609
11.804,2.0183,1.9099,-0.0649,1.941
11.904,1.9988,1.9278,-0.0593,2.845
12.003,1.9654,1.9645,-0.0380,2.107
12.103,1.9683,1.9506,-0.0330,1.849
12.204,1.9547,1.9334,-0.0274,2.066
12.302,1.9497,1.9411,0.0107,1.346
12.403,1.9423,1.9455,-0.0091,2.197
12.502,1.9568,1.9859,-0.0170,1.425
12.603,1.9199,1.9864,0.0213,2.127
12.703,1.9439,1.9475,-0.0129,2.092
12.804,1.9656,1.9555,0.0095,2.841
12.903,1.9567,1.9427,0.0094,1.869
13.003,1.9208,1.9123,0.0130,1.717
13.102,1.9125,1.9516,-0.0228,1.342
13.203,1.9474,1.9338,0.0027,1.656
13.304,1.9189,1.9407,0.0242,2.019
13.402,1.8942,1.9989,0.0062,1.337
13.502,1.9162,1.9574,-0.0130,1.143
13.602,1.9377,1.9662,-0.0275,1.316
13.703,1.9419,2.0034,-0.0462,1.734
13.803,1.9444,1.9954,-0.0355,1.347
13.902,1.9533,2.0157,-0.0534,1.390
14.002,1.9853,2.0207,-0.0455,1.239
14.103,1.9913,2.0112,-0.0622,2.128
14.202,1.9511,2.0102,-0.0519,1.191
14.304,1.9344,2.0293,-0.0403,2.294
14.403,1.9335,2.0628,-0.0301,1.690
14.505,1.9367,2.0368,-0.0217,1.781
14.603,1.9199,2.0476,0.0121,1.933
14.702,1.9798,2.0359,0.0009,1.339
14.802,1.9785,2.0412,-0.0002,1.203
14.902,1.9601,2.0319,-0.0114,1.431
15.004,1.9304,2.0568,-0.0176,2.133
15.103,1.9495,2.0186,0.0026,1.770
15.204,1.9556,2.0585,0.0296,1.525
15.303,1.9550,2.0361,0.0326,1.949
15.402,1.9442,2.0237,0.0404,1.225
15.504,1.9784,2.0425,0.0327,2.276
15.602,1.9425,2.0550,0.0363,1.256
15.703,1.8837,2.0370,0.0331,2.695
15.803,1.8811,2.0392,0.0551,1.827
15.905,1.8852,1.9974,0.0641,3.080
16.003,1.8996,1.9677,0.0513,1.950
16.103,1.8666,2.0093,0.0772,1.869
16.203,1.8698,2.0327,0.0655,1.609
16.302,1.8809,2.0286,0.0412,1.158
16.403,1.8568,2.0307,0.0508,1.582
16.503,1.8724,2.0553,0.0396,1.934
16.603,1.8460,2.0363,0.0405,1.824
16.703,1.8513,2.0573,0.0270,1.684
16.803,1.8398,2.0560,0.0309,1.221
16.902,1.8773,2.0471,0.0178,1.445
17.003,1.8583,2.0209,0.0289,1.883
17.104,1.8665,2.0350,0.0437,1.907
17.202,1.9134,2.0451,0.0534,1.212
17.303,1.9168,2.0210,0.0589,1.691
