t_sec,x,y,z,solve_ms
4.703,4.0178,2.0258,-0.0159,2.257
4.804,4.0014,2.0097,0.0069,1.945
4.903,3.9847,2.0204,0.0149,1.502
5.003,3.9780,1.9885,0.0441,1.716
5.105,3.9879,2.0297,0.0205,1.994
5.204,3.9734,2.0048,0.0155,1.582
5.303,4.0147,2.0063,0.0110,1.990
5.403,3.9638,1.9923,0.0040,1.489
5.503,3.9630,1.9939,-0.0047,1.746
5.604,3.9679,2.0111,0.0259,2.144
5.704,3.9708,2.0119,-0.0023,2.415
5.803,4.0257,2.0345,0.0045,2.008
5.903,4.0181,2.0095,-0.0263,1.352
6.005,3.9927,2.0028,0.0031,2.082
6.108,3.9442,1.9723,0.0108,6.200
6.202,3.9878,2.0086,0.0001,1.327
6.304,3.9466,1.9836,-0.0185,1.896
6.403,3.9439,1.9732,-0.0145,1.492
6.504,3.9903,1.9781,-0.0059,2.703
6.603,3.9883,1.9719,0.0066,1.960
6.706,4.0127,2.0001,0.0135,3.326
6.804,4.0153,1.9920,0.0024,1.571
6.903,4.0246,2.0416,0.0021,1.623
7.004,4.0128,2.0191,0.0176,2.540
7.103,4.0106,2.0265,0.0136,1.894
7.203,3.9777,2.0171,0.0092,1.635
7.304,4.0258,2.0180,0.0040,2.475
7.405,3.9805,2.0402,0.0160,2.067
7.502,4.0085,2.0215,0.0442,1.393
7.603,4.0321,2.0267,-0.0131,1.229
7.703,4.0224,1.9797,0.0001,1.378
7.804,4.0417,2.0011,0.0048,2.135
7.902,4.0019,1.9935,-0.0042,1.201
8.006,3.9876,1.9959,0.0080,2.568
8.103,4.0480,2.0384,0.0020,1.269
8.206,4.0249,2.0160,0.0087,2.434
8.303,3.9941,2.0064,0.0184,1.780
8.403,4.0145,2.0192,0.0209,1.497
8.505,4.0123,1.9987,-0.0149,2.338
8.605,3.9940,1.9699,0.0037,1.861
8.706,4.0319,1.9875,0.0122,3.713
8.802,4.0320,2.0177,0.0240,1.312
8.902,4.0193,2.0043,0.0364,1.398
9.004,4.0376,1.9886,0.0021,1.456
9.103,4.0214,1.9954,0.0119,1.478
9.203,4.0206,2.0270,0.0071,1.672
9.309,4.0165,1.9931,-0.0135,3.973
9.405,3.9737,1.9874,0.0061,2.967
9.502,4.0737,2.0270,0.0157,1.261
9.604,4.0744,2.0001,-0.0146,2.191
9.705,4.0722,2.0094,-0.0079,2.008
9.804,4.0569,2.0220,-0.0079,2.373
9.904,4.0792,1.9993,-0.0015,2.547
10.005,4.0181,2.0063,0.0254,1.558
10.107,4.0221,1.9852,0.0195,3.719
10.211,4.0588,2.0095,0.0283,6.511
10.304,4.0591,1.9984,0.0019,1.324
10.403,4.0966,2.0201,0.0021,1.584
10.510,4.0779,2.0428,-0.0046,1.972
10.604,4.1000,2.0392,0.0265,2.645
10.703,4.1093,2.0386,0.0480,1.409
10.804,4.0701,2.0152,0.0223,2.944
10.903,4.0778,1.9969,0.0323,1.488
11.003,4.0925,2.0050,0.0242,1.646
11.103,4.1059,1.9826,0.0250,1.779
11.202,4.1083,2.0226,0.0277,1.481
11.303,4.1142,1.9918,0.0420,1.490
