t_sec,x,y,z,solve_ms
3.608,2.0000,3.0627,0.0092,5.473
3.702,1.7778,3.2222,0.0085,1.802
3.803,1.7531,3.2561,0.0147,1.666
3.907,1.7503,3.2849,-0.0009,3.612
4.004,1.4417,3.5662,-0.0087,2.637
4.102,1.1123,3.7219,-0.0154,1.406
4.202,0.7780,3.8294,-0.0026,1.510
4.303,0.4586,3.9535,0.0116,1.767
4.403,0.2784,3.9669,0.0187,1.483
4.503,0.1725,3.9369,-0.0085,1.526
4.604,0.1013,3.9598,-0.0020,1.913
4.703,0.0655,3.9702,-0.0167,1.240
4.803,0.0390,3.9431,-0.0052,1.355
4.904,0.0221,3.9928,-0.0060,1.889
5.003,0.0126,3.9588,0.0010,1.920
5.102,0.0072,4.0129,-0.0034,1.253
5.203,0.0041,3.9328,-0.0232,1.486
5.302,0.0023,3.9301,-0.0111,1.280
5.402,0.0013,3.9997,0.0002,1.366
5.502,0.0008,3.9819,-0.0230,1.325
5.611,0.0005,3.9531,-0.0169,1.701
5.703,0.0005,3.9874,-0.0132,2.246
5.804,0.0003,3.9507,-0.0188,2.268
5.904,0.0002,4.0178,-0.0117,2.047
6.010,0.0001,4.0275,-0.0203,6.316
6.103,0.0001,3.9970,-0.0005,1.347
6.203,0.0000,4.0012,0.0144,1.729
6.303,0.0000,3.9738,0.0084,2.122
6.403,0.0000,4.0318,-0.0080,1.860
6.503,0.1641,3.9111,0.0081,2.478
6.605,0.2747,3.8257,0.0275,3.205
6.704,0.3636,3.7233,0.0031,2.246
6.803,0.4311,3.6666,0.0110,2.209
6.902,0.4886,3.6395,0.0163,1.298
7.003,0.5373,3.6116,0.0264,1.863
7.103,0.5771,3.5780,0.0213,1.759
7.204,0.6095,3.5225,0.0056,2.603
7.304,0.6340,3.5045,0.0295,2.728
7.403,0.6549,3.5337,0.0106,1.825
7.504,0.6726,3.5528,0.0164,2.476
7.603,0.6871,3.5697,-0.0071,1.607
7.703,0.6989,3.5855,0.0020,1.856
7.803,0.7085,3.5468,-0.0159,1.321
7.904,0.7162,3.5516,-0.0057,1.963
8.004,0.7226,3.5634,0.0097,2.100
8.104,0.7277,3.5128,0.0069,1.448
8.204,0.7316,3.5356,-0.0064,1.700
8.303,0.7347,3.5439,-0.0161,1.264
8.406,0.7375,3.5431,-0.0175,2.803
8.502,0.7398,3.5227,-0.0138,1.722
8.604,0.7417,3.5587,-0.0064,1.907
8.703,0.8208,3.4876,-0.0186,1.643
8.803,0.8764,3.4593,-0.0189,1.791
8.903,0.8616,3.4148,0.0059,1.485
9.003,0.8627,3.4315,0.0229,2.006
9.102,0.8626,3.4289,0.0146,1.446
9.203,0.8626,3.4600,0.0158,1.698
9.303,0.8626,3.3993,-0.0001,1.608
9.403,0.8626,3.4536,0.0006,1.695
9.502,0.8626,3.4091,0.0172,1.227
9.603,0.8626,3.4154,0.0063,1.351
9.703,0.8626,3.4393,0.0062,1.766
9.802,0.8626,3.4247,-0.0035,1.216
9.904,0.8626,3.4020,-0.0082,2.998
10.004,0.8626,3.4297,-0.0196,1.336
10.102,0.8626,3.4118,0.0040,1.231
10.203,0.8626,3.4143,-0.0217,1.466
10.302,0.8626,3.3626,-0.0073,1.371
10.404,0.8626,3.3502,0.0065,1.504
10.503,0.8626,3.3551,0.0026,1.739
10.602,0.8626,3.3072,0.0069,1.013
10.703,0.8626,3.2901,-0.0103,1.872
10.803,0.8626,3.3209,0.0085,2.045
10.907,0.8626,3.3233,0.0138,1.858
11.003,0.8626,3.3408,-0.0036,1.908
11.103,0.8626,3.3160,0.0168,2.132
11.203,0.8626,3.3743,0.0125,1.416
11.304,0.8626,3.3533,-0.0138,1.709
11.403,0.8626,3.3116,-0.0052,1.811
11.505,0.8626,3.2816,-0.0038,4.233
11.605,0.8626,3.2658,0.0025,3.087
11.705,0.8626,3.2619,0.0021,2.276
11.802,0.8626,3.2319,-0.0221,1.514
11.904,0.8626,3.2079,-0.0431,1.613
12.004,0.8626,3.2604,-0.0305,2.754
12.104,0.8626,3.1980,-0.0347,2.457
12.203,0.8626,3.2009,-0.0207,1.598
12.306,0.8626,3.2127,-0.0166,2.087
12.406,0.8626,3.1491,-0.0176,3.563
12.502,0.8626,3.1531,-0.0106,1.296
12.603,0.8626,3.1700,0.0030,1.007
12.702,0.8626,3.1183,-0.0205,1.014
12.802,0.8626,3.1408,0.0281,1.205
12.903,0.8626,3.1349,0.0156,1.330
13.002,0.8626,3.0742,-0.0044,1.405
13.102,0.8626,3.1185,-0.0070,1.640
13.203,0.8626,3.1365,0.0133,1.806
13.303,0.8626,3.1308,-0.0021,1.946
13.402,0.8626,3.1453,-0.0119,1.382
13.503,0.8626,3.1234,-0.0077,1.743
13.603,0.8626,3.1351,-0.0063,1.251
13.702,0.8626,3.1137,0.0308,1.478
13.803,0.8626,3.0865,0.0138,1.221
13.903,0.8626,3.0776,0.0247,1.835
14.003,0.8626,3.0305,0.0289,1.815
14.103,0.8626,3.0011,0.0228,1.560
14.202,0.8626,3.0085,0.0394,1.301
14.303,0.8626,2.9898,0.0201,1.713
14.403,0.8626,2.9698,0.0127,2.051
14.503,0.8626,2.9583,0.0414,1.674
14.603,0.8626,2.9709,0.0241,1.747
14.703,0.8626,2.9632,0.0199,1.159
14.803,0.8626,2.9676,0.0418,1.397
14.904,0.8626,2.9724,0.0575,1.964
15.003,0.8626,2.9612,0.0377,1.558
15.103,0.8626,2.8989,0.0147,1.804
15.204,0.8626,2.9362,0.0304,2.296
15.302,0.8626,2.9200,0.0269,1.436
15.404,0.8626,2.9101,0.0434,2.445
15.503,0.8626,2.9370,0.0458,2.401
15.603,0.8626,2.9188,0.0423,1.490
15.703,0.8626,2.8682,0.0334,1.676
15.802,0.8626,2.8139,0.0562,1.490
15.902,0.8626,2.8124,0.0283,1.456
16.003,0.8626,2.8145,0.0309,1.330
16.103,0.8626,2.8609,0.0318,1.652
16.204,0.8626,2.8556,0.0495,2.341
16.302,0.8626,2.8238,0.0356,1.330
16.403,0.8626,2.8216,0.0441,1.657
16.503,0.8626,2.8071,0.0274,1.412
16.603,0.8626,2.8491,0.0161,2.427
16.703,0.8626,2.8101,0.0343,1.953
16.803,0.8626,2.7889,0.0396,2.019
16.903,0.8626,2.7724,0.0427,1.735
17.003,0.8626,2.7828,0.0464,1.726
19.584,0.8626,2.7971,0.0524,1.663
19.684,0.8626,2.7577,0.0031,1.426
19.785,0.8626,2.7279,0.0427,2.335
19.884,0.8626,2.6831,0.0363,1.581
19.998,0.8626,2.7275,0.0277,3.556
20.086,0.8626,2.7081,0.0423,3.224
20.184,0.8626,2.6542,0.0153,1.811
20.284,0.8626,2.6646,0.0175,1.526
20.383,0.8626,2.6487,0.0330,1.217
20.484,0.8626,2.6324,0.0586,1.925
20.588,0.8626,2.5587,0.0734,3.078
20.685,0.8626,2.5589,0.0789,1.283
20.788,0.8626,2.6000,0.0764,2.302
20.889,0.8626,2.6283,0.0744,5.903
20.986,0.8626,2.5417,0.1054,2.537
21.086,0.8626,2.5951,0.1002,2.408
21.184,0.8626,2.5510,0.1154,1.840
21.285,0.8626,2.5176,0.1122,1.846
21.383,0.8626,2.4445,0.1334,1.448
21.485,0.8626,2.4641,0.1291,1.932
21.588,0.8626,2.4724,0.1353,3.195
21.686,0.8626,2.4552,0.1209,3.641
21.783,0.8626,2.4572,0.1523,1.274
21.885,0.8626,2.4564,0.1250,1.803
21.983,0.8626,2.4588,0.1268,1.488
22.084,0.8626,2.4401,0.1135,1.908
22.184,0.8626,2.3838,0.1212,1.753
22.283,0.8626,2.3500,0.1209,1.272
22.384,0.8626,2.3199,0.0903,2.283
22.484,0.8626,2.3372,0.0817,1.612
22.590,0.8626,2.3510,0.0869,7.003
22.685,0.8626,2.3352,0.0939,1.906
22.786,0.8626,2.2968,0.0844,3.276
22.884,0.8626,2.2711,0.0720,1.799
22.983,0.8626,2.2957,0.0896,1.425
23.087,0.8626,2.2348,0.0886,2.075
23.184,0.8626,2.2443,0.1199,1.911
23.283,0.8626,2.2293,0.1178,1.262
23.385,0.8626,2.2373,0.1118,2.327
23.484,0.8626,2.1874,0.1295,1.615
23.586,0.8626,2.0838,0.1268,1.834
23.684,0.8626,2.1368,0.1236,1.298
23.784,0.8626,2.1580,0.1105,1.599
23.890,0.8626,2.1093,0.1020,3.190
23.985,0.8626,1.9013,0.1016,1.873
24.085,0.8626,2.0875,0.0814,1.903
24.185,0.8626,1.8357,0.0898,1.432
24.288,0.8626,2.0082,0.0838,2.023
24.390,0.8626,1.7883,0.0882,5.874
24.484,0.8626,1.9584,0.0445,1.731
24.583,0.8626,1.9669,0.0633,1.223
24.688,0.8626,1.9742,0.0512,4.223
24.784,0.8626,1.7787,0.0420,1.388
24.885,0.8626,1.9102,0.0360,2.439
24.984,0.8626,1.7351,0.0429,1.703
25.084,0.8626,1.8688,0.0520,1.723
25.184,0.8626,1.8072,0.0324,1.316
25.287,0.8626,1.8727,0.0258,3.115
25.383,0.8626,1.8476,0.0268,1.435
25.485,0.8626,1.8548,0.0355,1.297
