t_sec,x,y,z,solve_ms
0.0858,0.000000,0.000000,0.000000,0.000
0.1578,-0.040380,-0.016222,0.023935,0.000
0.2558,-0.018065,-0.004273,0.008051,0.000
0.3566,0.004050,-0.001820,-0.005886,0.000
0.4560,-0.022473,-0.024694,-0.000021,0.000
0.5603,-0.028870,0.008777,0.003650,0.000
0.6573,-0.036085,-0.037759,-0.030641,0.000
0.7563,-0.026257,-0.037825,-0.006079,0.000
0.8559,0.001359,-0.007286,-0.025235,0.000
0.9570,-0.015944,-0.010260,-0.013033,0.000
1.0565,0.000231,0.006952,-0.043749,0.000
1.1561,-0.055392,0.023707,-0.055017,0.000
1.2555,-0.035749,0.030032,-0.038642,0.000
1.3556,-0.008428,0.044771,-0.034095,0.000
1.4589,-0.035419,0.061317,-0.014689,0.000
1.5617,-0.041832,0.058849,0.007074,0.000
1.6572,-0.039159,0.074144,-0.022070,0.000
1.7599,-0.037817,0.079119,-0.030846,0.000
1.8568,-0.054439,0.068397,-0.012984,0.000
1.9587,-0.012970,0.083304,0.002814,0.000
2.0563,-0.059099,0.056742,-0.013905,0.000
2.1592,-0.054942,0.009830,-0.014270,0.000
2.2554,-0.011210,0.021161,0.006445,0.000
2.3563,-0.040245,-0.017596,-0.016529,0.000
2.4584,-0.029841,-0.012399,0.000631,0.000
2.5566,-0.019473,0.003570,-0.017601,0.000
2.6571,-0.042966,0.015519,-0.017204,0.000
2.7557,-0.023182,0.022264,-0.031190,0.000
2.8561,-0.036710,0.010132,-0.019900,0.000
2.9575,0.028257,0.026941,-0.008276,0.000
3.0577,0.011082,0.038006,-0.019609,0.000
3.1554,-0.023252,0.013591,-0.023612,0.000
3.2561,0.004251,0.051224,-0.026337,0.000
3.3610,0.021006,0.041462,-0.028687,0.000
3.4604,-0.026006,0.054035,-0.024645,0.000
3.5597,0.016824,0.046890,-0.049754,0.000
3.6583,-0.012372,0.059379,-0.018061,0.000
3.7567,0.019803,0.080532,-0.045001,0.000
3.8603,0.032224,0.070710,-0.063295,0.000
3.9570,0.063486,0.079572,-0.047685,0.000
