t_sec,x,y,z,solve_ms
14.9061,0.000000,0.000000,0.000000,0.000
15.0060,0.000000,0.000000,0.000000,0.000
15.1049,0.000000,0.000000,0.000000,0.000
15.2055,0.000000,0.000000,0.000000,0.000
15.3054,0.000000,0.000000,0.000000,0.000
15.4046,0.000000,0.000000,0.000000,0.000
15.5049,0.000000,0.000000,0.000000,0.000
15.6058,0.000000,0.000000,0.000000,0.000
15.7074,0.000000,0.000000,0.000000,0.000
15.8057,0.000000,0.000000,0.000000,0.000
15.9056,0.000000,0.000000,0.000000,0.000
16.0048,0.000000,0.000000,0.000000,0.000
16.1050,0.000000,0.000000,0.000000,0.000
16.2056,0.000000,0.000000,0.000000,0.000
16.3054,0.000000,0.000000,0.000000,0.000
16.4069,0.000000,0.000000,0.000000,0.000
16.5049,0.000000,0.000000,0.000000,0.000
16.6062,0.000000,0.000000,0.000000,0.000
16.7064,0.000000,0.000000,0.000000,0.000
16.8051,0.000000,0.000000,0.000000,0.000
16.9055,0.000000,0.000000,0.000000,0.000
17.0046,0.000000,0.000000,0.000000,0.000
17.1054,0.000000,0.000000,0.000000,0.000
17.2057,0.000000,0.000000,0.000000,0.000
17.3047,0.000000,0.000000,0.000000,0.000
17.4058,0.000000,0.000000,0.000000,0.000
17.5050,0.000000,0.000000,0.000000,0.000
17.6054,0.000000,0.000000,0.000000,0.000
17.7054,0.000000,0.000000,0.000000,0.000
17.8056,0.000000,0.000000,0.000000,0.000
17.9046,0.000000,0.000000,0.000000,0.000
18.0059,0.000000,0.000000,0.000000,0.000
18.1049,0.000000,0.000000,0.000000,0.000
18.2048,0.000000,0.000000,0.000000,0.000
18.3054,0.000000,0.000000,0.000000,0.000
18.4050,0.000000,0.000000,0.000000,0.000
18.5056,0.000000,0.000000,0.000000,0.000
18.6053,0.000000,0.000000,0.000000,0.000
18.7049,0.000000,0.000000,0.000000,0.000
18.8054,0.000000,0.000000,0.000000,0.000
18.9074,0.000000,0.000000,0.000000,0.000
19.0048,0.000000,0.000000,0.000000,0.000
19.1056,0.000000,0.000000,0.000000,0.000
19.2068,0.000000,0.000000,0.000000,0.000
19.3052,0.000000,0.000000,0.000000,0.000
19.4053,0.000000,0.000000,0.000000,0.000
19.5065,0.000000,0.000000,0.000000,0.000
19.6047,0.000000,0.000000,0.000000,0.000
19.7047,0.000000,0.000000,0.000000,0.000
19.8046,0.000000,0.000000,0.000000,0.000
19.9056,0.000000,0.000000,0.000000,0.000
20.0049,0.000000,0.000000,0.000000,0.000
20.1056,0.000000,0.000000,0.000000,0.000
20.2049,0.000000,0.000000,0.000000,0.000
20.3060,0.000000,0.000000,0.000000,0.000
20.4046,0.000000,0.000000,0.000000,0.000
20.5053,0.000000,0.000000,0.000000,0.000
20.6046,0.000000,0.000000,0.000000,0.000
20.7045,0.000000,0.000000,0.000000,0.000
20.8072,0.000000,0.000000,0.000000,0.000
20.9055,0.000000,0.000000,0.000000,0.000
21.0053,0.000000,0.000000,0.000000,0.000
21.1047,0.000000,0.000000,0.000000,0.000
21.2047,0.000000,0.000000,0.000000,0.000
21.3047,0.000000,0.000000,0.000000,0.000
21.4048,0.000000,0.000000,0.000000,0.000
21.5046,0.000000,0.000000,0.000000,0.000
21.6053,0.000000,0.000000,0.000000,0.000
21.7060,0.000000,0.000000,0.000000,0.000
21.8067,0.000000,0.000000,0.000000,0.000
21.9052,0.000000,0.000000,0.000000,0.000
22.0069,0.000000,0.000000,0.000000,0.000
22.1062,0.000000,0.000000,0.000000,0.000
22.2048,0.000000,0.000000,0.000000,0.000
22.3053,0.000000,0.000000,0.000000,0.000
22.4063,0.000000,0.000000,0.000000,0.000
22.5051,0.000000,0.000000,0.000000,0.000
22.6051,0.000000,0.000000,0.000000,0.000
22.7055,0.000000,0.000000,0.000000,0.000
22.8062,0.000000,0.000000,0.000000,0.000
22.9047,0.000000,0.000000,0.000000,0.000
23.0047,0.000000,0.000000,0.000000,0.000
23.1059,0.000000,0.000000,0.000000,0.000
23.2048,0.000000,0.000000,0.000000,0.000
23.3051,0.000000,0.000000,0.000000,0.000
23.4047,0.000000,0.000000,0.000000,0.000
23.5054,0.000000,0.000000,0.000000,0.000
23.6055,0.000000,0.000000,0.000000,0.000
23.7051,0.000000,0.000000,0.000000,0.000
23.8047,0.000000,0.000000,0.000000,0.000
