t_sec,x,y,z,solve_ms
0.4913,0.019225,0.012054,-0.011430,0.000
0.5905,-0.041816,0.005042,-0.001015,0.000
0.6915,-0.013325,-0.009331,0.018245,0.000
0.7882,-0.044602,-0.013563,0.015186,0.000
0.8942,-0.011484,-0.017241,-0.036360,0.000
0.9890,0.013107,0.002750,-0.019482,0.000
1.0878,-0.055239,-0.031006,0.009646,0.000
1.1878,0.006583,-0.016648,0.012799,0.000
1.2880,-0.033228,-0.021721,0.001529,0.000
1.3870,0.018907,-0.012130,0.002098,0.000
1.4873,0.012358,-0.005398,0.028621,0.000
1.5879,0.007916,-0.000856,0.022422,0.000
1.6883,0.020900,-0.007236,-0.020702,0.000
1.7895,0.016348,0.003768,0.003299,0.000
1.8876,0.036041,-0.007784,0.023230,0.000
1.9874,0.056359,0.004464,0.017872,0.000
2.0912,0.058959,-0.009146,0.017786,0.000
2.1874,0.072248,-0.001581,0.021291,0.000
2.2878,0.056718,-0.002930,0.022918,0.000
2.3906,0.078768,-0.011046,0.014348,0.000
2.4885,0.090553,-0.012982,-0.010081,0.000
2.5887,0.067830,-0.038671,0.009487,0.000
2.6892,0.113429,-0.035374,0.020034,0.000
2.7881,0.105971,-0.043809,-0.011173,0.000
2.8908,0.097220,-0.036542,0.020050,0.000
2.9920,0.082923,-0.020490,0.007807,0.000
3.0895,0.071508,-0.008543,-0.001204,0.000
3.1875,0.101178,0.023985,0.022984,0.000
3.2890,0.096152,0.002448,0.019033,0.000
3.3878,0.081614,0.007765,0.018781,0.000
3.4887,0.086055,-0.003036,0.005644,0.000
3.5880,0.124574,0.009057,-0.021533,0.000
3.6879,0.141349,0.002889,-0.011926,0.000
3.7881,0.100426,-0.003902,-0.000676,0.000
3.8884,0.144376,-0.001060,-0.004190,0.000
3.9889,0.104514,-0.009608,-0.012332,0.000
4.0874,0.172206,-0.027676,-0.012108,0.000
4.1894,0.078816,-0.048021,0.010585,0.000
4.2879,0.105733,-0.011867,0.005570,0.000
4.3878,0.125388,-0.010642,0.001004,0.000
4.4909,0.095143,-0.039533,-0.022465,0.000
4.5880,0.134902,-0.045909,-0.036912,0.000
4.6881,0.181646,-0.044992,-0.009232,0.000
4.7909,0.202323,-0.018732,-0.011868,0.000
4.8903,0.151855,-0.031295,-0.032401,0.000
4.9925,0.177509,-0.036256,-0.022129,0.000
5.0895,0.165884,-0.052005,-0.014343,0.000
5.1878,0.162848,-0.055954,-0.045943,0.000
5.2877,0.178255,-0.062337,-0.019259,0.000
5.3889,0.203452,-0.081395,-0.032094,0.000
5.4896,0.217875,-0.082091,-0.011688,0.000
5.5878,0.188165,-0.061100,-0.033614,0.000
5.6891,0.200461,-0.049833,0.003422,0.000
5.7876,0.205853,-0.027839,-0.005858,0.000
5.8872,0.219780,-0.037065,-0.006891,0.000
5.9873,0.229428,-0.010351,0.019392,0.000
6.0879,0.259415,-0.012330,0.001973,0.000
6.1886,0.232065,-0.020305,0.012003,0.000
6.2904,0.217121,-0.011558,0.002615,0.000
6.3883,0.265661,-0.001965,0.035932,0.000
6.4873,0.202567,-0.025791,0.021438,0.000
6.5898,0.273472,-0.001196,0.034122,0.000
6.6929,0.229972,-0.024663,0.028514,0.000
6.7885,0.296516,-0.005173,0.047412,0.000
6.8878,0.315868,0.030869,0.039307,0.000
6.9873,0.291861,0.027822,0.048164,0.000
7.0877,0.258164,0.024548,0.044775,0.000
7.1883,0.238714,0.029432,0.054852,0.000
7.2916,0.264147,0.040744,0.064386,0.000
7.3885,0.314310,0.058954,0.030482,0.000
7.4892,0.314918,0.075304,0.052606,0.000
7.5881,0.344656,0.090112,0.037013,0.000
7.6887,0.354396,0.060352,0.049601,0.000
7.7895,0.270460,0.074121,0.073834,0.000
7.8875,0.331947,0.039957,0.074800,0.000
7.9878,0.310129,0.066601,0.044566,0.000
8.0882,0.316925,0.041528,0.079462,0.000
8.1917,0.312635,0.030753,0.078973,0.000
8.2934,0.286748,0.018370,0.057624,0.000
