t_sec,x,y,z,solve_ms
0.3087,-0.037735,0.237537,0.040403,0.000
0.4059,-0.014921,0.239758,0.055146,0.000
0.5097,-0.016402,0.252830,0.035183,0.000
0.6070,0.013842,0.263682,0.016127,0.000
0.7057,0.039285,0.255001,0.011398,0.000
0.8062,0.002358,0.231932,0.014834,0.000
0.9067,0.041941,0.244775,-0.010974,0.000
1.0079,0.038796,0.204626,-0.029621,0.000
1.1080,0.010881,0.195047,-0.006385,0.000
1.2126,0.015828,0.214009,0.015021,0.000
1.3068,0.024258,0.234788,0.015610,0.000
1.4061,0.009367,0.216624,0.000450,0.000
1.5080,0.048810,0.210527,0.036193,0.000
1.6071,0.053939,0.229352,0.042066,0.000
1.7059,0.024400,0.225257,0.001077,0.000
1.8060,0.087335,0.230918,-0.005634,0.000
1.9073,0.078562,0.230953,-0.015976,0.000
2.0073,0.064161,0.206142,-0.039192,0.000
2.1104,0.086702,0.223654,-0.029995,0.000
2.2055,0.051871,0.223235,-0.022904,0.000
2.3053,0.028357,0.218538,-0.014109,0.000
2.4060,0.061084,0.233957,-0.021202,0.000
2.5049,0.063653,0.262499,0.008573,0.000
2.6064,0.052740,0.265629,0.001390,0.000
2.7097,0.064201,0.266770,-0.021329,0.000
2.8079,0.051810,0.270594,-0.030424,0.000
2.9060,0.015850,0.273251,-0.002391,0.000
3.0086,0.038014,0.277117,-0.015419,0.000
3.1060,0.028147,0.262839,-0.019982,0.000
3.2092,0.041345,0.276109,-0.005558,0.000
3.3055,0.032177,0.254946,0.008035,0.000
3.4067,0.052084,0.240843,-0.000729,0.000
3.5059,0.042356,0.220254,0.014625,0.000
3.6054,0.079927,0.225015,0.006956,0.000
3.7074,0.087508,0.231596,0.019640,0.000
3.8068,0.113307,0.215650,0.039111,0.000
3.9073,0.108582,0.200732,0.033139,0.000
4.0059,0.121816,0.219457,0.067849,0.000
4.1062,0.085170,0.222433,0.052125,0.000
4.2063,0.095457,0.204791,0.067354,0.000
4.3072,0.089114,0.204048,0.052769,0.000
4.4059,0.081389,0.200430,0.064805,0.000
4.5071,0.125126,0.182152,0.055993,0.000
4.6066,0.136062,0.188173,0.111753,0.000
4.7077,0.105795,0.176616,0.112199,0.000
4.8059,0.099963,0.179009,0.101710,0.000
4.9078,0.103750,0.186978,0.072244,0.000
5.0062,0.095814,0.177310,0.063324,0.000
5.1062,0.055906,0.179897,0.107078,0.000
5.2062,0.058216,0.195752,0.079615,0.000
5.3073,0.093147,0.207736,0.088198,0.000
5.4068,0.087118,0.202416,0.104979,0.000
5.5060,0.050108,0.183691,0.135978,0.000
5.6079,0.094812,0.173071,0.104638,0.000
5.7082,0.097514,0.175097,0.091329,0.000
5.8059,0.057876,0.199064,0.077834,0.000
5.9054,0.048051,0.195223,0.090231,0.000
6.0061,0.036225,0.171714,0.084605,0.000
6.1061,-0.006398,0.127505,0.094063,0.000
6.2060,-0.009997,0.120972,0.062497,0.000
6.3063,-0.016579,0.135912,0.059328,0.000
6.4060,-0.017085,0.125621,0.033132,0.000
6.5060,0.022039,0.135573,0.012043,0.000
6.6086,-0.000752,0.149303,0.044600,0.000
6.7060,0.021616,0.145770,0.021847,0.000
6.8061,0.011277,0.137290,0.006634,0.000
6.9056,0.035941,0.144254,0.042734,0.000
7.0060,0.021146,0.153899,0.036724,0.000
7.1060,0.000752,0.135179,0.033244,0.000
7.2060,0.062286,0.168626,0.060521,0.000
7.3064,0.035780,0.158653,0.035687,0.000
7.4056,0.024351,0.172372,0.042822,0.000
7.5053,0.052265,0.166928,0.026023,0.000
7.6064,0.069680,0.154813,0.018628,0.000
7.7068,0.098987,0.160691,0.015531,0.000
7.8057,0.060981,0.166176,0.013326,0.000
7.9064,0.062020,0.181058,0.010247,0.000
8.0055,0.040668,0.206788,0.003173,0.000
8.1056,0.002636,0.187297,0.007951,0.000
8.2061,0.019666,0.192325,0.021789,0.000
8.3090,0.035396,0.209945,-0.008100,0.000
8.4056,0.003552,0.209860,-0.014491,0.000
8.5060,0.075133,0.222387,0.030064,0.000
8.6066,0.044509,0.204870,0.027881,0.000
8.7071,0.029475,0.208191,-0.003024,0.000
8.8050,0.056550,0.203021,-0.018966,0.000
8.9063,0.026723,0.198157,-0.035583,0.000
9.0054,0.066848,0.209052,0.003504,0.000
9.1059,0.039781,0.208359,-0.008226,0.000
9.2051,0.045802,0.207402,-0.020059,0.000
9.3058,0.006995,0.219303,0.007510,0.000
9.4055,-0.002540,0.233462,-0.027762,0.000
9.5052,0.024590,0.217105,-0.034185,0.000
9.6066,0.019029,0.222047,-0.051850,0.000
9.7055,0.023862,0.221933,-0.049672,0.000
9.8056,0.004475,0.211681,-0.047119,0.000
9.9078,0.039907,0.216431,-0.069839,0.000
10.0060,0.048772,0.180718,-0.069884,0.000
10.1058,0.054163,0.202405,-0.075459,0.000
10.2061,0.048194,0.191108,-0.093448,0.000
10.3082,0.032761,0.202949,-0.098272,0.000
10.4070,0.060327,0.212279,-0.111667,0.000
10.5060,0.067852,0.202781,-0.111005,0.000
10.6064,0.082272,0.192541,-0.098359,0.000
10.7061,0.034128,0.180924,-0.088037,0.000
10.8135,0.054975,0.196804,-0.060040,0.000
10.9055,0.050779,0.172049,-0.085739,0.000
11.0065,0.006759,0.177324,-0.081206,0.000
11.1077,0.038917,0.203987,-0.094635,0.000
11.2070,0.050919,0.197105,-0.053919,0.000
11.3071,0.086349,0.209538,-0.055156,0.000
11.4056,0.058027,0.210792,-0.042709,0.000
11.5059,0.049865,0.191084,-0.017375,0.000
11.6070,0.094131,0.212960,-0.025207,0.000
11.7080,0.121595,0.202510,0.019422,0.000
11.8073,0.086849,0.167311,0.019732,0.000
11.9084,0.110748,0.153783,0.008754,0.000
12.0062,0.102972,0.121863,0.021848,0.000
12.1060,0.089275,0.117860,0.035912,0.000
12.2064,0.077761,0.097431,0.038880,0.000
12.3064,0.075741,0.122079,0.054835,0.000
12.4062,0.090776,0.151297,0.086562,0.000
12.5064,0.098132,0.170841,0.059360,0.000
12.6052,0.105889,0.145505,0.069595,0.000
12.7058,0.092058,0.150100,0.087022,0.000
12.8061,0.045045,0.148618,0.084360,0.000
12.9063,0.054738,0.136797,0.063572,0.000
13.0064,0.047320,0.137556,0.079342,0.000
13.1076,0.013710,0.146905,0.049884,0.000
13.2062,0.028672,0.121026,0.086759,0.000
13.3062,0.028986,0.113962,0.086375,0.000
13.4057,0.015250,0.140096,0.106507,0.000
13.5055,0.064183,0.160360,0.048237,0.000
13.6070,0.048410,0.157807,0.039636,0.000
13.7059,0.053250,0.168833,0.053420,0.000
13.8075,0.100277,0.194643,0.041146,0.000
13.9063,0.098145,0.184870,0.052633,0.000
14.0065,0.069876,0.173661,0.071464,0.000
14.1107,0.077066,0.155984,0.067088,0.000
14.2092,0.083495,0.154308,0.025995,0.000
14.3058,0.092079,0.144481,0.049756,0.000
14.4058,0.091317,0.137143,0.063986,0.000
14.5060,0.096914,0.149122,0.070808,0.000
14.6059,0.039725,0.125449,0.030718,0.000
14.7086,0.068029,0.122870,0.060290,0.000
14.8054,0.071512,0.120439,0.049928,0.000
14.9079,0.052894,0.107669,0.052081,0.000
15.0058,0.112907,0.137197,0.033436,0.000
15.1061,0.127219,0.138328,0.034157,0.000
15.2064,0.188109,0.183442,0.067760,0.000
15.3063,0.178578,0.167092,0.034626,0.000
15.4060,0.188245,0.169385,0.029627,0.000
15.5058,0.231605,0.179059,0.047754,0.000
15.6052,0.220073,0.193245,0.051676,0.000
15.7081,0.166969,0.175246,0.072229,0.000
15.8081,0.145824,0.171708,0.074397,0.000
15.9061,0.181070,0.209316,0.068199,0.000
16.0118,0.113714,0.183358,0.066436,0.000
16.1053,0.192926,0.214110,0.055611,0.000
16.2080,0.151037,0.197168,0.047792,0.000
16.3077,0.132969,0.198607,0.057797,0.000
16.4056,0.153176,0.216015,0.059970,0.000
16.5065,0.155639,0.221129,0.053955,0.000
16.6049,0.218587,0.227562,0.052823,0.000
16.7184,0.242724,0.220162,0.069585,0.000
16.8062,0.232491,0.225758,0.057990,0.000
16.9072,0.205996,0.238322,0.067464,0.000
17.0069,0.255742,0.233879,0.056710,0.000
17.1068,0.253114,0.243842,0.071482,0.000
17.2072,0.207753,0.238816,0.069650,0.000
17.3064,0.270927,0.282190,0.094731,0.000
17.4092,0.264984,0.293665,0.071621,0.000
17.5095,0.236164,0.267724,0.061751,0.000
17.6078,0.234411,0.277311,0.076588,0.000
17.7056,0.262649,0.273916,0.069270,0.000
17.8073,0.201939,0.240512,0.057225,0.000
17.9051,0.215858,0.241777,0.055846,0.000
18.0061,0.209372,0.227518,0.068427,0.000
18.1119,0.193594,0.205989,0.075781,0.000
18.2056,0.207187,0.213454,0.108757,0.000
18.3079,0.227398,0.240083,0.076953,0.000
18.4065,0.215813,0.208233,0.068130,0.000
18.5061,0.199018,0.218304,0.073974,0.000
18.6055,0.232631,0.205955,0.046371,0.000
18.7048,0.263759,0.190375,0.057962,0.000
18.8051,0.259007,0.170831,0.066187,0.000
18.9053,0.247047,0.150860,0.088931,0.000
19.0048,0.226375,0.153585,0.074279,0.000
19.1062,0.283410,0.146256,0.048245,0.000
19.2071,0.256843,0.133326,0.046680,0.000
19.3060,0.292003,0.139325,0.055194,0.000
19.4051,0.291550,0.136429,0.034436,0.000
19.5057,0.278893,0.159315,0.045753,0.000
19.6051,0.298608,0.150275,0.060013,0.000
19.7068,0.263314,0.182933,0.042859,0.000
19.8058,0.279249,0.188158,0.075709,0.000
19.9068,0.253046,0.181226,0.101370,0.000
20.0055,0.295888,0.184138,0.034858,0.000
20.1066,0.345053,0.189493,0.046032,0.000
20.2068,0.302166,0.180837,0.040984,0.000
20.3064,0.315328,0.186161,0.059949,0.000
20.4055,0.346947,0.245795,0.042650,0.000
20.5069,0.348562,0.243021,0.042641,0.000
20.6062,0.303398,0.250065,0.010736,0.000
20.7056,0.288588,0.270043,-0.003304,0.000
20.8066,0.294910,0.282156,-0.013037,0.000
20.9064,0.302714,0.246192,-0.021776,0.000
21.0057,0.297247,0.249080,-0.048883,0.000
21.1057,0.309855,0.256808,-0.022440,0.000
21.2067,0.278180,0.236587,-0.040259,0.000
21.3082,0.088079,0.135735,-0.030395,0.000
21.4053,0.894533,0.518051,-0.041918,0.000
21.5071,-0.007128,0.127632,-0.055617,0.000
21.6057,0.850155,0.535003,-0.035568,0.000
21.7065,0.010557,0.121294,-0.019951,0.000
21.8052,-0.109106,0.079172,-0.029352,0.000
21.9065,-0.379980,-0.062648,0.000291,0.000
22.0069,0.488087,0.343367,-0.039576,0.000
22.1061,-0.424604,-0.092444,-0.018427,0.000
22.2065,0.441080,0.339895,-0.015600,0.000
22.3081,-0.476137,-0.118864,-0.014486,0.000
22.4062,0.373046,0.313196,-0.005407,0.000
22.5055,-0.450165,-0.099993,-0.003010,0.000
22.6063,0.400162,0.324690,-0.019958,0.000
22.7064,-0.479326,-0.126154,-0.029947,0.000
22.8057,0.436691,0.304091,-0.019830,0.000
22.9065,-0.437710,-0.119162,0.000488,0.000
23.0053,0.396811,0.301704,-0.017715,0.000
23.1053,-0.447668,-0.146627,0.026501,0.000
23.2059,0.437658,0.314170,-0.013466,0.000
23.3054,-0.434087,-0.119994,-0.034887,0.000
23.4057,0.465231,0.318686,-0.012118,0.000
23.5065,-0.449111,-0.116276,-0.033344,0.000
23.6061,0.417470,0.335029,-0.027857,0.000
23.7054,-0.456444,-0.083078,-0.002087,0.000
23.8057,0.440166,0.330685,0.003184,0.000
23.9067,-0.446246,-0.115251,-0.005689,0.000
24.0062,-0.488781,-0.160576,0.011988,0.000
24.1061,-0.737844,-0.289605,0.020169,0.000
24.2061,0.061113,0.096202,0.021556,0.000
24.3077,-0.807406,-0.325183,0.023090,0.000
24.4056,-0.904350,-0.380573,0.020832,0.000
24.5073,-1.165186,-0.489712,0.029916,0.000
24.6070,-0.315808,-0.106651,0.033194,0.000
24.7069,-1.156762,-0.541265,0.025610,0.000
24.8098,-1.434919,-0.641874,0.014408,0.000
24.9083,-1.596770,-0.722750,0.026535,0.000
25.0051,-0.701917,-0.329312,0.013125,0.000
25.1052,-1.594658,-0.776426,0.010749,0.000
25.2051,-0.763411,-0.368954,-0.009183,0.000
25.3121,-1.569481,-0.769391,0.014086,0.000
25.4071,-0.716530,-0.346330,-0.013862,0.000
25.5067,-1.626020,-0.795789,-0.008222,0.000
25.6073,-0.735564,-0.360545,0.006557,0.000
25.7052,-1.604609,-0.778317,0.013104,0.000
25.8054,-0.763999,-0.369691,0.019542,0.000
25.9053,-1.597617,-0.812871,0.014049,0.000
26.0062,-0.761785,-0.374854,0.032644,0.000
26.1056,-1.592321,-0.791363,0.017189,0.000
26.2046,-0.731820,-0.394431,0.033075,0.000
26.3065,-1.566007,-0.814865,-0.007198,0.000
26.4058,-0.737708,-0.393481,0.004676,0.000
26.5084,-1.582809,-0.832062,0.018089,0.000
26.6064,-0.699158,-0.396820,0.023402,0.000
26.7067,-1.584599,-0.823270,0.012981,0.000
26.8049,-0.731393,-0.396590,0.002181,0.000
26.9061,-1.545306,-0.807366,0.023691,0.000
27.0060,-0.716067,-0.387099,0.002248,0.000
27.1096,-1.542018,-0.810279,0.000398,0.000
27.2059,-1.670345,-0.850479,0.019808,0.000
27.3064,-1.885163,-0.970630,0.012738,0.000
27.4053,-1.057697,-0.554051,0.039427,0.000
27.5073,-1.921255,-0.996646,0.070200,0.000
27.6049,-1.068230,-0.570627,0.073038,0.000
27.7053,-1.957435,-1.010450,0.058948,0.000
27.8049,-1.158310,-0.584563,0.058976,0.000
27.9057,-2.010653,-1.020630,0.030416,0.000
28.0050,-1.141666,-0.570903,0.070299,0.000
28.1097,-1.951106,-0.980353,0.080184,0.000
28.2056,-1.119869,-0.550951,0.086486,0.000
28.3052,-1.913301,-0.952742,0.083325,0.000
28.4053,-1.084494,-0.524010,0.076359,0.000
28.5061,-1.917924,-0.943419,0.068274,0.000
28.6080,-1.059165,-0.490676,0.097634,0.000
28.7068,-1.955751,-0.931007,0.059497,0.000
28.8064,-1.076985,-0.508458,0.072142,0.000
28.9079,-1.970932,-0.940371,0.077915,0.000
29.0057,-1.116492,-0.512271,0.078746,0.000
29.1053,-1.934410,-0.937049,0.058694,0.000
