t_sec,x,y,z,solve_ms
3.2477,2.000000,0.000000,0.000000,0.000
3.3459,2.000000,0.000000,0.000000,0.000
3.4456,2.000000,0.000000,0.000000,0.000
3.5473,2.000000,0.000000,0.000000,0.000
3.6493,2.000000,0.000000,0.000000,0.000
3.7458,2.000000,0.000000,0.000000,0.000
3.8494,2.000000,0.000000,0.000000,0.000
3.9537,2.000000,0.000000,0.000000,0.000
4.0456,2.000000,0.000000,0.000000,0.000
4.1446,2.000000,0.000000,0.000000,0.000
4.2468,2.000000,0.000000,0.000000,0.000
4.3472,2.000000,0.000000,0.000000,0.000
4.4483,2.012437,-0.009326,0.008149,0.000
4.5508,1.981699,0.016403,0.032222,0.000
4.6465,1.974419,0.044821,0.019778,0.000
4.7467,1.943593,0.047605,0.040373,0.000
4.8460,1.946570,0.088584,0.035388,0.000
4.9466,1.962774,0.103403,0.051360,0.000
5.0478,1.978173,0.065751,0.020284,0.000
5.1472,1.974828,0.018084,0.019603,0.000
5.2460,1.971290,-0.012733,0.016919,0.000
5.3514,1.994790,0.007757,-0.009788,0.000
5.4464,1.969045,0.016267,0.004755,0.000
5.5470,1.968258,-0.011332,-0.001558,0.000
5.6470,1.991280,-0.020658,-0.005169,0.000
5.7474,2.016202,-0.026016,-0.019977,0.000
5.8465,1.958637,0.021449,-0.024937,0.000
5.9484,1.965848,0.015524,-0.022819,0.000
6.0477,1.975250,0.016231,0.000499,0.000
6.1461,1.984031,-0.004642,0.008300,0.000
6.2469,1.977210,-0.019874,-0.019927,0.000
6.3488,2.005170,0.007471,-0.007481,0.000
6.4460,1.974729,-0.004515,-0.015811,0.000
6.5484,1.976616,0.011030,-0.005893,0.000
6.6485,1.980234,-0.002057,-0.004929,0.000
6.7488,2.000157,0.044362,-0.006350,0.000
6.8471,1.983453,0.009692,-0.006374,0.000
6.9509,1.995189,-0.003148,-0.009905,0.000
7.0479,1.975498,-0.008693,0.010626,0.000
7.1480,2.002291,0.020829,0.009302,0.000
7.2507,1.987446,0.015096,0.015969,0.000
7.3479,2.008244,0.012368,0.022368,0.000
7.4467,2.026502,0.037134,0.005217,0.000
7.5470,2.015687,0.028764,-0.002204,0.000
7.6466,2.058684,0.044401,0.018042,0.000
7.7463,1.998936,0.013361,-0.019407,0.000
7.8510,2.027474,0.050285,-0.008688,0.000
7.9486,1.999981,0.021406,-0.025513,0.000
