t_sec,x,y,z,solve_ms
2.5437,0.000000,0.000000,0.000000,0.000
2.6452,4.000000,0.000000,0.000000,0.000
2.7432,4.000000,0.000000,0.000000,0.000
2.8443,4.000000,0.000000,0.000000,0.000
2.9432,4.000000,0.000000,0.000000,0.000
3.0440,4.000000,0.000000,0.000000,0.000
3.1440,4.000000,0.000000,0.000000,0.000
3.2473,4.000000,0.000000,0.000000,0.000
3.3432,4.000000,0.000000,0.000000,0.000
3.4433,4.000000,0.000000,0.000000,0.000
3.5438,4.000000,0.000000,0.000000,0.000
3.6439,4.000000,0.000000,0.000000,0.000
3.7439,4.000000,0.000000,0.000000,0.000
3.8456,4.000000,0.000000,0.000000,0.000
3.9450,4.000000,0.000000,0.000000,0.000
4.0436,4.000000,0.000000,0.000000,0.000
4.1442,4.000000,0.000000,0.000000,0.000
4.2450,4.000000,0.000000,0.000000,0.000
4.3433,4.000000,0.000000,0.000000,0.000
4.4444,4.000000,0.000000,0.000000,0.000
4.5445,4.000000,0.000000,0.000000,0.000
4.6452,4.000000,0.000000,0.000000,0.000
4.7436,4.000000,0.000000,0.000000,0.000
4.8439,4.000000,0.000000,0.000000,0.000
5.2429,4.000000,0.000000,0.000000,0.000
5.2438,4.000000,0.000000,0.000000,0.000
5.3496,3.976756,-0.019123,-0.022496,0.000
5.4459,3.985380,-0.030399,-0.005390,0.000
5.5457,3.979254,-0.036209,-0.036970,0.000
5.6469,3.961632,-0.019128,-0.027534,0.000
5.7468,3.961934,-0.006979,-0.010222,0.000
5.8442,4.023224,-0.017693,-0.008863,0.000
5.9440,3.992184,-0.012259,-0.007523,0.000
6.0460,3.971015,0.020270,-0.008032,0.000
6.1450,3.952658,0.015135,-0.026473,0.000
6.2444,3.982830,-0.006928,-0.025773,0.000
6.3446,3.959548,-0.013846,-0.033299,0.000
6.4456,3.957190,-0.045496,-0.031368,0.000
6.5460,3.964319,-0.039868,-0.008916,0.000
6.6442,3.982189,-0.037368,-0.017329,0.000
6.7450,3.994580,-0.037767,-0.031922,0.000
6.8460,3.937105,-0.010033,0.013198,0.000
6.9467,3.969856,-0.090259,-0.013520,0.000
7.0446,3.947380,-0.004403,-0.007211,0.000
7.1440,3.952234,-0.046575,-0.006838,0.000
7.2481,3.914633,-0.025693,0.001398,0.000
7.3440,3.972864,-0.035499,-0.026953,0.000
7.4449,3.951033,-0.048030,-0.013737,0.000
7.5445,3.940504,-0.059849,0.000508,0.000
7.6468,3.955826,-0.022772,-0.013101,0.000
7.7450,3.967873,-0.020101,-0.023236,0.000
7.8487,3.946226,-0.019117,-0.016868,0.000
7.9445,3.969082,-0.079944,-0.011476,0.000
8.0452,3.966710,-0.084111,-0.020345,0.000
8.1451,3.971157,-0.051010,0.004503,0.000
8.2446,3.989713,-0.078474,-0.006368,0.000
8.3448,3.965816,-0.008132,0.006708,0.000
8.4461,3.978857,-0.010750,0.010577,0.000
8.5441,4.027079,0.006348,0.010998,0.000
8.6442,4.032987,-0.015334,-0.003887,0.000
8.7441,4.010594,-0.011115,-0.011570,0.000
8.8448,4.009369,-0.007337,0.005082,0.000
8.9447,3.983886,-0.007349,-0.001926,0.000
9.0455,4.041683,0.004161,-0.009369,0.000
9.1482,4.010725,0.027080,-0.036955,0.000
9.2458,3.973054,0.008116,-0.016643,0.000
9.3446,3.927500,0.028329,-0.020687,0.000
9.4459,3.956898,0.046852,-0.034346,0.000
9.5443,3.990338,0.014671,-0.035883,0.000
9.6476,3.926391,0.018444,-0.053259,0.000
9.7447,3.972296,-0.004747,-0.062996,0.000
9.8448,3.929173,0.046474,-0.048641,0.000
9.9443,3.987375,0.010561,-0.063642,0.000
10.0447,3.977578,0.032342,-0.094264,0.000
10.1444,3.935646,0.053514,-0.052769,0.000
10.2444,3.970047,0.034627,-0.071973,0.000
10.3440,3.990672,0.060605,-0.076335,0.000
10.4456,3.980165,0.065196,-0.059764,0.000
10.5455,4.002752,0.069528,-0.051476,0.000
10.6448,3.975893,0.082647,-0.038414,0.000
10.7441,3.997709,0.052112,-0.052659,0.000
10.8444,4.012641,0.071062,-0.038456,0.000
10.9462,4.002340,0.059325,-0.056116,0.000
11.0504,3.978615,0.066786,-0.054929,0.000
11.1454,4.011126,0.052756,-0.041497,0.000
11.2442,4.009024,0.027531,-0.037977,0.000
11.3451,3.973808,0.043311,-0.037619,0.000
11.4453,3.999257,0.016076,-0.057072,0.000
11.5455,3.971333,0.047518,-0.045820,0.000
11.6441,3.973904,0.053047,-0.023231,0.000
11.7455,4.027478,0.022018,-0.043407,0.000
11.8437,3.964019,0.031197,-0.042898,0.000
11.9470,3.992706,0.014552,-0.056751,0.000
12.0449,3.971254,0.035751,-0.046480,0.000
12.1463,3.993108,0.053971,-0.040881,0.000
12.2465,3.917959,0.063521,-0.066800,0.000
12.3462,3.972255,0.045495,-0.051625,0.000
12.4457,3.920761,0.039035,-0.063713,0.000
12.5445,3.941749,0.042512,-0.055751,0.000
12.6447,3.970996,0.056608,-0.076665,0.000
12.7447,3.973047,0.061661,-0.069504,0.000
12.8454,3.978898,0.082825,-0.074125,0.000
12.9448,3.988748,0.073673,-0.083015,0.000
13.0445,4.040793,0.082141,-0.070751,0.000
13.1445,3.993623,0.053288,-0.078953,0.000
13.2443,3.992551,0.078958,-0.060643,0.000
