t_sec,x,y,z,solve_ms
2.5679,4.000000,0.000000,0.000000,0.000
2.6692,4.000000,0.000000,0.000000,0.000
2.7728,4.000000,0.000000,0.000000,0.000
2.8691,4.000000,0.000000,0.000000,0.000
2.9680,4.000000,0.000000,0.000000,0.000
3.0680,4.000000,0.000000,0.000000,0.000
3.1676,4.000000,0.000000,0.000000,0.000
3.2698,4.000000,0.000000,0.000000,0.000
3.3686,4.000000,0.000000,0.000000,0.000
3.4697,4.000000,0.000000,0.000000,0.000
3.5678,4.000000,0.000000,0.000000,0.000
3.6680,4.000000,0.000000,0.000000,0.000
3.7686,4.000000,0.000000,0.000000,0.000
3.8676,4.000000,0.000000,0.000000,0.000
3.9692,4.000000,0.000000,0.000000,0.000
4.0691,4.000000,0.000000,0.000000,0.000
4.1700,4.000000,0.000000,0.000000,0.000
4.2686,4.000000,0.000000,0.000000,0.000
4.3689,4.000000,0.000000,0.000000,0.000
4.4689,3.978380,0.030075,0.001885,0.000
4.5696,4.036019,-0.010467,0.003504,0.000
4.6709,4.013861,-0.044254,-0.007679,0.000
4.7686,4.019807,-0.010039,0.005674,0.000
4.8689,4.017936,0.021521,-0.004680,0.000
4.9697,4.007116,-0.002192,-0.033506,0.000
5.0695,3.992062,0.009147,-0.048682,0.000
5.1684,4.004868,0.006845,-0.069048,0.000
5.2691,3.999092,0.030983,-0.063729,0.000
5.3737,3.955025,0.032034,-0.089173,0.000
5.4802,3.997874,-0.000316,-0.096242,0.000
5.5697,3.994455,0.022639,-0.089700,0.000
5.6686,3.982142,-0.017239,-0.103529,0.000
5.7696,3.990141,-0.000481,-0.101712,0.000
5.8689,4.057369,-0.024665,-0.107099,0.000
5.9693,4.000426,0.021468,-0.127759,0.000
6.0682,3.987602,-0.003776,-0.097033,0.000
6.1722,3.997181,-0.049257,-0.095900,0.000
6.2692,4.006831,-0.073304,-0.101947,0.000
6.3699,3.962870,-0.056370,-0.096204,0.000
6.4681,3.959680,-0.079628,-0.118152,0.000
6.5692,3.998794,-0.025889,-0.051605,0.000
6.6693,3.993384,-0.038177,-0.021023,0.000
6.7701,4.006247,-0.025475,-0.025434,0.000
6.8761,4.015245,-0.018296,-0.001366,0.000
6.9695,3.984469,0.011733,-0.004108,0.000
7.0709,3.987437,0.010211,0.017172,0.000
7.1687,3.983212,0.014562,0.024413,0.000
7.2695,3.996891,0.012563,-0.006606,0.000
7.3680,3.989231,0.035192,0.030666,0.000
7.4683,3.995820,0.043921,0.031111,0.000
7.5683,3.988412,0.029226,-0.008255,0.000
7.6713,3.984958,0.030860,0.020332,0.000
7.7687,3.985877,0.005820,-0.011176,0.000
7.8727,3.972399,0.012245,-0.010332,0.000
7.9708,3.986874,0.008317,0.008204,0.000
8.0687,4.007174,0.052895,-0.001008,0.000
8.1687,3.995114,0.004793,-0.004090,0.000
8.2687,4.012685,-0.007507,0.011407,0.000
8.3700,3.970438,0.023445,0.014174,0.000
8.4698,3.979773,0.013801,0.003928,0.000
8.5714,3.945739,0.009930,0.016229,0.000
8.6681,3.968608,0.005519,0.027655,0.000
8.7683,3.937114,-0.019908,0.004801,0.000
8.8680,4.019648,-0.001212,0.001150,0.000
8.9694,3.994282,0.015981,0.016859,0.000
9.0686,3.999024,-0.001980,0.010457,0.000
9.1705,4.024337,-0.015223,0.017780,0.000
9.2687,4.005054,0.023623,-0.011881,0.000
9.3689,4.011985,-0.002102,-0.003378,0.000
9.4685,4.009616,-0.004062,-0.015089,0.000
9.5705,3.975689,0.028123,0.013412,0.000
9.6684,4.021970,-0.016947,-0.017592,0.000
9.7693,4.006357,-0.007038,0.015204,0.000
9.8679,4.006724,0.005855,0.012353,0.000
9.9690,3.990769,0.014741,0.029207,0.000
10.0692,4.036237,0.049576,0.030980,0.000
10.1692,4.004314,0.004828,0.029423,0.000
12.5859,3.986322,0.007895,0.005298,0.000
12.6836,3.965226,0.027843,-0.003988,0.000
12.7835,3.970275,0.002425,0.014729,0.000
12.8842,4.003568,0.006174,0.007393,0.000
12.9825,3.993801,0.003458,-0.008320,0.000
13.0834,3.941806,0.021092,0.009485,0.000
13.1830,3.993305,0.034670,-0.001211,0.000
13.2843,3.951040,-0.016929,0.003281,0.000
13.3846,3.953209,0.015671,-0.017807,0.000
13.4849,3.957015,-0.003274,-0.018440,0.000
13.5827,3.986467,0.009054,-0.002987,0.000
13.6838,3.985606,0.020314,-0.001879,0.000
13.7859,3.953781,0.003149,-0.002364,0.000
13.8878,3.968094,-0.007485,0.003672,0.000
13.9849,3.960933,0.030305,0.005192,0.000
14.0872,3.959333,0.002000,-0.000686,0.000
14.1825,3.969102,0.035099,0.018214,0.000
14.2842,3.958149,0.028143,0.012435,0.000
14.3846,3.978534,0.027283,0.035212,0.000
14.4833,3.945261,0.021396,0.033853,0.000
14.5850,3.956485,0.031968,0.018159,0.000
14.6838,3.954868,0.051473,0.035210,0.000
14.7853,3.962602,0.025006,0.035370,0.000
14.8826,3.966427,0.053100,0.010520,0.000
14.9874,3.993857,0.047930,0.001847,0.000
15.0833,4.007053,0.054343,0.020369,0.000
15.1845,3.963730,0.009939,0.030452,0.000
15.2837,3.969614,-0.003210,0.001338,0.000
15.3855,3.939746,-0.015390,-0.004914,0.000
15.4853,3.969379,-0.021715,-0.012279,0.000
15.5839,3.949269,0.007918,-0.033022,0.000
15.6833,3.951474,-0.001752,-0.053571,0.000
15.7837,3.972937,0.023485,-0.036599,0.000
15.8832,3.981520,0.032628,-0.044513,0.000
15.9838,3.991659,0.033196,-0.041859,0.000
16.0834,3.994685,0.039020,-0.057890,0.000
16.1830,3.962736,0.049063,-0.081892,0.000
