t_sec,x,y,z,solve_ms
2.6465,2.000000,2.000000,0.000000,0.000
2.7411,2.000000,2.000000,0.000000,0.000
2.8413,2.000000,2.000000,0.000000,0.000
2.9425,2.000000,2.000000,0.000000,0.000
3.0419,2.000000,2.000000,0.000000,0.000
3.1498,2.000000,2.000000,0.000000,0.000
3.2422,2.000000,2.000000,0.000000,0.000
3.3417,2.000000,2.000000,0.000000,0.000
3.4412,2.000000,2.000000,0.000000,0.000
3.5415,2.000000,2.000000,0.000000,0.000
3.6411,2.000000,2.000000,0.000000,0.000
3.7410,2.000000,2.000000,0.000000,0.000
3.8412,2.000000,2.000000,0.000000,0.000
3.9446,1.989024,2.006938,-0.001488,0.000
4.0430,1.993381,2.016293,-0.025461,0.000
4.1419,2.024503,2.031613,-0.024310,0.000
4.2419,2.018618,1.975202,-0.030541,0.000
4.3415,2.028150,2.006140,-0.012752,0.000
4.4429,2.022607,2.031276,0.005141,0.000
4.5428,2.062295,2.014675,-0.000738,0.000
4.6451,2.062270,2.015636,-0.012877,0.000
4.7441,2.080504,1.997300,0.004047,0.000
4.8413,2.000353,2.064530,0.028539,0.000
4.9426,1.986567,2.055099,0.010953,0.000
5.0415,1.988196,2.036806,0.004259,0.000
5.1421,1.965306,2.088742,0.033459,0.000
5.2418,1.994139,2.100125,0.027586,0.000
5.3412,2.011396,2.122788,0.021476,0.000
5.4417,1.976114,2.083916,0.029968,0.000
5.5420,1.990815,2.079554,0.069354,0.000
5.6423,1.982185,2.107167,0.026594,0.000
5.7425,2.008453,2.048766,0.015958,0.000
5.8417,2.024792,2.077163,0.023232,0.000
5.9419,2.023875,2.076061,0.033082,0.000
6.0417,2.006694,2.085284,0.007646,0.000
6.1423,2.047700,2.054383,-0.007781,0.000
6.2420,2.080343,2.035795,-0.024383,0.000
6.3422,2.071745,2.052937,-0.004186,0.000
6.4427,2.086276,2.066816,0.004119,0.000
6.5417,2.063381,2.002182,0.001539,0.000
6.6574,2.116282,2.001408,0.027448,0.000
6.7428,2.136793,2.038025,0.015568,0.000
6.8428,2.126731,2.051562,0.005142,0.000
6.9431,2.118880,2.041541,-0.015982,0.000
7.0430,2.078793,2.033821,-0.005260,0.000
7.1422,2.058249,2.042449,-0.009069,0.000
7.2418,2.043654,2.005759,0.004282,0.000
7.3428,2.016469,2.086847,-0.041158,0.000
7.4418,2.056745,2.076122,-0.015668,0.000
7.5452,2.046412,2.120051,-0.018387,0.000
7.6467,2.057501,2.099673,-0.020821,0.000
7.7448,2.098023,2.089958,-0.002833,0.000
7.8441,2.090653,2.058820,-0.022788,0.000
7.9427,2.110264,2.117319,-0.023801,0.000
8.0459,2.114393,2.087735,-0.028473,0.000
8.1486,2.124489,2.125579,-0.025096,0.000
8.2414,2.069320,2.043592,-0.001819,0.000
8.3424,2.103127,2.032855,-0.030379,0.000
8.4431,2.103166,2.065756,-0.039562,0.000
8.5422,2.112732,2.042340,-0.031748,0.000
8.6424,2.097252,2.079018,-0.030747,0.000
8.7419,2.076491,2.057820,-0.047964,0.000
8.8427,2.068533,2.053956,-0.038820,0.000
8.9421,2.109753,1.995306,-0.063963,0.000
9.0426,2.070491,2.032816,-0.076638,0.000
9.1423,2.072238,2.007708,-0.053586,0.000
9.2414,2.071873,2.067090,-0.044769,0.000
9.3415,2.123446,2.063589,-0.063486,0.000
9.4451,2.135249,2.077742,-0.060923,0.000
9.5448,2.162537,2.105162,-0.066178,0.000
9.6417,2.153715,2.074213,-0.052053,0.000
9.7415,2.169039,2.120279,-0.083802,0.000
9.8420,2.195502,2.089170,-0.075720,0.000
9.9419,2.205104,2.111309,-0.097842,0.000
10.0414,2.182649,2.045038,-0.093714,0.000
10.1414,2.168142,2.020705,-0.112907,0.000
10.2435,2.172223,2.037203,-0.129241,0.000
10.3427,2.146260,1.994787,-0.105581,0.000
10.4479,2.183281,2.049962,-0.139149,0.000
10.5420,2.165227,2.009488,-0.128094,0.000
10.6420,2.139663,2.017417,-0.139115,0.000
10.7429,2.134334,2.019519,-0.113061,0.000
10.8419,2.156421,2.016400,-0.123111,0.000
10.9418,2.088851,2.004062,-0.131769,0.000
11.0429,2.127206,1.980887,-0.136267,0.000
11.1425,2.117855,2.015582,-0.129393,0.000
11.2465,2.089704,1.983244,-0.144048,0.000
11.3421,2.051268,1.968721,-0.106074,0.000
11.4427,2.115826,2.005849,-0.094552,0.000
11.5421,2.099062,1.982171,-0.103210,0.000
11.6417,2.136148,1.996677,-0.100265,0.000
11.7429,2.084169,2.000640,-0.094476,0.000
11.8434,2.104603,1.977284,-0.106488,0.000
11.9434,2.078997,2.003386,-0.093226,0.000
12.0432,2.066707,1.988013,-0.094528,0.000
12.1442,2.055107,2.004232,-0.083449,0.000
12.2442,2.086525,2.015320,-0.102613,0.000
12.3418,2.066011,1.997424,-0.107628,0.000
12.4416,2.111076,1.988960,-0.118605,0.000
12.5424,2.116769,1.988073,-0.129833,0.000
12.6423,2.169242,1.997325,-0.123973,0.000
12.7416,2.122453,2.017461,-0.119218,0.000
12.8418,2.110056,1.992296,-0.116144,0.000
12.9443,2.132344,1.994531,-0.115698,0.000
13.0422,2.130850,1.982207,-0.122232,0.000
13.1431,2.106634,1.981119,-0.127566,0.000
13.2429,2.133685,1.908863,-0.123163,0.000
13.3424,2.125505,1.956789,-0.140717,0.000
13.4450,2.106090,1.917136,-0.132910,0.000
13.5420,2.090641,1.922691,-0.095596,0.000
13.6423,2.104108,1.969692,-0.104656,0.000
13.7453,2.108862,1.975753,-0.105748,0.000
13.8415,2.099250,1.930613,-0.102056,0.000
13.9427,2.075947,1.949288,-0.105780,0.000
14.0417,2.091724,1.953769,-0.113595,0.000
14.1426,2.062846,1.962589,-0.127393,0.000
14.2416,2.057103,1.938124,-0.125153,0.000
14.3436,2.082538,1.913856,-0.101033,0.000
14.4420,2.053069,1.909095,-0.103461,0.000
14.5458,2.090013,1.921165,-0.100774,0.000
14.6546,2.106258,1.875424,-0.093591,0.000
14.7421,2.113900,1.940379,-0.078881,0.000
14.8426,2.159299,1.913837,-0.078609,0.000
14.9424,2.177857,1.931441,-0.113154,0.000
15.0419,2.156906,1.933388,-0.072130,0.000
15.1421,2.153063,1.984586,-0.068739,0.000
15.2420,2.125497,1.999496,-0.066655,0.000
15.3416,2.154873,1.998035,-0.078444,0.000
15.4456,2.173117,1.977681,-0.087244,0.000
15.5414,2.207662,2.000986,-0.079233,0.000
15.6426,2.149988,1.980404,-0.083348,0.000
15.7431,2.157817,1.979737,-0.081193,0.000
15.8434,2.115956,2.010054,-0.075453,0.000
15.9417,2.136616,1.985136,-0.088280,0.000
16.0445,2.131537,2.016374,-0.068967,0.000
16.1449,2.119805,1.997848,-0.074456,0.000
16.2422,2.138286,1.993005,-0.043269,0.000
16.3421,2.136001,1.953849,-0.061073,0.000
16.4444,2.139269,1.983553,-0.063971,0.000
16.5415,2.134385,2.007061,-0.054834,0.000
16.6418,2.164605,2.002812,-0.062266,0.000
16.7428,2.150104,2.015444,-0.064777,0.000
16.8427,2.165791,1.987997,-0.083127,0.000
16.9418,2.172093,1.995842,-0.055443,0.000
17.0448,2.161295,2.005634,-0.096119,0.000
17.1431,2.128459,1.984244,-0.091980,0.000
17.2423,2.133679,2.013613,-0.087357,0.000
17.3427,2.156431,1.992059,-0.118777,0.000
17.4435,2.165324,2.027398,-0.142477,0.000
17.5420,2.121036,2.032836,-0.139568,0.000
17.6443,2.131529,2.054187,-0.112204,0.000
17.7449,2.144815,2.067122,-0.129123,0.000
17.8432,2.130882,2.028907,-0.122485,0.000
17.9423,2.139804,2.034239,-0.136466,0.000
18.0453,2.152657,2.022204,-0.133462,0.000
18.1432,2.141929,2.002219,-0.128952,0.000
18.2427,2.190114,2.039290,-0.119674,0.000
18.3432,2.189290,2.015729,-0.119564,0.000
18.4475,2.219278,2.026638,-0.125626,0.000
18.5417,2.190245,2.021255,-0.122154,0.000
18.6417,2.169791,2.023150,-0.098549,0.000
18.7435,2.183542,2.023561,-0.106258,0.000
18.8449,2.185932,2.042839,-0.102949,0.000
18.9427,2.193785,2.041615,-0.091746,0.000
19.0427,2.174966,2.027133,-0.061597,0.000
19.1510,2.169024,2.038136,-0.067757,0.000
19.2434,2.137642,2.020091,-0.073263,0.000
19.3420,2.143593,2.037618,-0.090746,0.000
19.4425,2.150920,2.046705,-0.098286,0.000
19.5446,2.156110,2.044166,-0.108319,0.000
19.6414,2.174564,2.069283,-0.073105,0.000
19.7426,2.185470,2.004770,-0.072409,0.000
19.8433,2.219135,2.011707,-0.066033,0.000
19.9434,2.212783,2.001837,-0.030583,0.000
20.0416,2.188180,2.001319,-0.063272,0.000
20.1418,2.165962,1.986637,-0.068137,0.000
20.2428,2.181576,1.964473,-0.099011,0.000
20.3419,2.209320,2.001435,-0.072669,0.000
20.4426,2.176350,1.974159,-0.084969,0.000
20.5421,2.182664,1.966670,-0.098262,0.000
20.6433,2.193921,1.995051,-0.075973,0.000
20.7420,2.229279,1.976598,-0.102342,0.000
20.8424,2.250155,2.003157,-0.080303,0.000
20.9446,2.276300,2.002522,-0.071791,0.000
21.0419,2.320737,2.001324,-0.072677,0.000
21.1424,2.287408,1.996893,-0.077850,0.000
21.2427,2.286348,2.003274,-0.060239,0.000
21.3416,2.281783,1.995821,-0.066468,0.000
21.4448,2.265934,2.015139,-0.056783,0.000
21.5434,2.335501,2.040130,-0.078476,0.000
21.6432,2.336399,1.993432,-0.069050,0.000
21.7423,2.291664,1.965222,-0.063487,0.000
21.8416,2.276437,1.942911,-0.063380,0.000
21.9416,2.274432,1.904940,-0.050578,0.000
22.0451,2.281680,1.964661,-0.034523,0.000
22.1418,2.254913,1.956596,-0.030114,0.000
22.2549,2.234511,1.957545,-0.026911,0.000
22.3418,2.244770,1.964313,-0.034000,0.000
22.4421,2.266864,1.934826,-0.028056,0.000
22.5420,2.287965,1.896410,-0.006849,0.000
22.6422,2.284000,1.970769,-0.002739,0.000
22.7416,2.270414,1.936841,-0.022576,0.000
22.8420,2.262683,1.949615,-0.016281,0.000
22.9419,2.249419,1.953629,-0.032059,0.000
23.0420,2.221890,1.925084,0.007609,0.000
23.1421,2.247217,1.954375,-0.007891,0.000
23.2416,2.243913,1.986555,0.002746,0.000
23.3433,2.204760,1.929862,0.040849,0.000
23.4422,2.252101,1.912124,0.014723,0.000
23.5426,2.263113,1.903719,-0.001751,0.000
23.6422,2.234741,1.897907,0.015373,0.000
23.7463,2.243697,1.916901,0.027343,0.000
23.8421,2.311869,1.938537,0.005739,0.000
23.9423,2.285274,1.922619,-0.017927,0.000
24.0420,2.277707,1.942505,-0.011879,0.000
24.1422,2.272723,1.898892,-0.054610,0.000
24.2419,2.239663,1.891502,-0.063242,0.000
24.3424,2.234825,1.916457,-0.049859,0.000
24.4424,2.269756,1.910812,-0.040369,0.000
24.5419,2.256524,1.933778,-0.042266,0.000
24.6439,2.247337,1.928546,-0.060029,0.000
24.7417,2.243773,1.919265,-0.053838,0.000
24.8419,2.228387,1.898664,-0.043466,0.000
24.9419,2.157622,1.901839,-0.038963,0.000
25.0420,2.175036,1.915349,-0.021497,0.000
25.1486,2.165517,1.878796,-0.015923,0.000
25.2429,2.217125,1.887285,-0.013410,0.000
25.3437,2.198267,1.883110,0.010265,0.000
25.4431,2.228345,1.917953,-0.005999,0.000
25.5428,2.210489,1.879948,-0.018187,0.000
25.6428,2.203241,1.869274,-0.030119,0.000
25.7418,2.229734,1.854942,-0.051432,0.000
25.8422,2.222547,1.880605,-0.051382,0.000
25.9421,2.220445,1.876224,-0.045116,0.000
26.0428,2.209082,1.868938,-0.039715,0.000
26.1421,2.241474,1.849138,-0.034413,0.000
26.2446,2.244821,1.812946,-0.040374,0.000
26.3416,2.258603,1.857018,-0.027169,0.000
26.4433,2.252606,1.843932,-0.029711,0.000
26.5428,2.318229,1.832034,-0.038991,0.000
26.6417,2.286473,1.832228,-0.035549,0.000
26.7426,2.291139,1.820505,-0.044858,0.000
26.8436,2.276185,1.789068,-0.044997,0.000
26.9441,2.238141,1.811030,-0.008887,0.000
27.0492,2.269582,1.792042,-0.030417,0.000
27.1432,2.293263,1.790312,-0.025363,0.000
27.2421,2.301348,1.801155,-0.067431,0.000
27.3414,2.291559,1.807175,-0.048085,0.000
27.4413,2.251803,1.853698,-0.026745,0.000
27.5431,2.251772,1.839585,-0.033312,0.000
27.6420,2.277637,1.867662,-0.010891,0.000
27.7423,2.262044,1.809176,-0.016190,0.000
27.8434,2.300079,1.851890,-0.002976,0.000
27.9435,2.315940,1.875704,-0.003398,0.000
28.0422,2.292287,1.891322,-0.023415,0.000
28.1416,2.281476,1.878266,-0.011201,0.000
28.2422,2.273059,1.889114,-0.013037,0.000
28.3420,2.301085,1.883557,-0.035014,0.000
28.4415,2.316701,1.919311,0.018747,0.000
28.5428,2.259387,1.866927,0.017008,0.000
28.6438,2.245246,1.856383,-0.006755,0.000
28.7423,2.234868,1.871324,-0.000729,0.000
28.8424,2.254437,1.873846,0.012652,0.000
28.9437,2.302776,1.871832,0.013259,0.000
29.0423,2.286447,1.827570,0.015320,0.000
29.1423,2.330578,1.824237,0.006095,0.000
29.2418,2.306422,1.806896,0.012207,0.000
29.3434,2.343334,1.847669,-0.009718,0.000
29.4427,2.317775,1.824105,0.023490,0.000
29.5429,2.326367,1.803624,0.002680,0.000
29.6424,2.356991,1.845846,0.021234,0.000
29.7425,2.360548,1.812103,0.034732,0.000
29.8417,2.366233,1.817359,0.027652,0.000
29.9437,2.348006,1.786607,0.027474,0.000
30.0435,2.380183,1.783731,0.011072,0.000
30.1439,2.359612,1.792583,0.026287,0.000
30.2419,2.304574,1.781937,0.005865,0.000
30.3447,2.304981,1.783525,0.000623,0.000
30.4423,2.279779,1.828890,-0.005054,0.000
30.5428,2.319659,1.809091,0.002114,0.000
30.6418,2.298913,1.784911,0.001214,0.000
30.7430,2.293708,1.780562,0.004156,0.000
30.8419,2.299012,1.802513,0.028580,0.000
30.9419,2.267269,1.765870,0.026845,0.000
31.0432,2.296763,1.781304,0.033685,0.000
31.1420,2.283019,1.772406,0.005609,0.000
31.2418,2.307490,1.773847,0.026648,0.000
31.3420,2.279520,1.776550,-0.001222,0.000
31.4470,2.262414,1.765821,0.008023,0.000
31.5418,2.269429,1.774807,0.031941,0.000
31.6423,2.315677,1.734410,0.039541,0.000
31.7455,2.209072,1.754865,0.042978,0.000
31.8438,2.275430,1.766640,-0.000749,0.000
31.9429,2.293893,1.759448,-0.002901,0.000
32.0425,2.301931,1.819851,-0.001975,0.000
32.1419,2.300979,1.795410,0.000887,0.000
32.2448,2.327991,1.818763,-0.020266,0.000
32.3424,2.322647,1.824326,-0.000726,0.000
32.4425,2.306166,1.809615,-0.001419,0.000
32.5427,2.343676,1.772971,-0.012732,0.000
32.6413,2.338540,1.797278,0.006243,0.000
32.7438,2.277380,1.794711,0.001935,0.000
32.8431,2.301892,1.797189,-0.023356,0.000
32.9427,2.321744,1.841687,0.002085,0.000
33.0458,2.318567,1.831902,-0.011301,0.000
33.1424,2.311344,1.805487,-0.028528,0.000
33.2420,2.285720,1.804937,-0.018400,0.000
33.3421,2.330361,1.816085,-0.022529,0.000
33.4420,2.326574,1.825001,0.002747,0.000
33.5424,2.303142,1.860024,-0.006539,0.000
33.6420,2.321557,1.812728,-0.024035,0.000
33.7430,2.303022,1.809180,-0.033576,0.000
33.8427,2.313060,1.839993,-0.040784,0.000
33.9421,2.366223,1.856032,-0.042885,0.000
34.0480,2.340084,1.860324,-0.023992,0.000
34.1422,2.375983,1.817050,-0.013056,0.000
34.2438,2.382128,1.802663,-0.013356,0.000
34.3433,2.382044,1.839675,0.001423,0.000
34.4416,2.341180,1.790737,-0.000077,0.000
34.5435,2.349895,1.798436,-0.016583,0.000
34.6460,2.286682,1.791320,-0.015839,0.000
34.7417,2.285341,1.777338,-0.006495,0.000
34.8443,2.303700,1.734249,-0.014217,0.000
34.9421,2.300356,1.787280,-0.014378,0.000
35.0415,2.310018,1.768436,-0.008182,0.000
35.1448,2.323240,1.783467,-0.039014,0.000
35.2422,2.316762,1.795959,-0.016776,0.000
35.3424,2.360797,1.824430,-0.008859,0.000
35.4445,2.334586,1.773630,0.012121,0.000
35.5435,2.368438,1.798938,0.022570,0.000
35.6431,2.309633,1.792104,0.024673,0.000
35.7415,2.313942,1.796911,0.034920,0.000
35.8418,2.339654,1.791461,0.016667,0.000
35.9430,2.362866,1.793229,-0.004205,0.000
36.0414,2.374532,1.782187,0.000212,0.000
36.1416,2.337738,1.766103,0.008638,0.000
36.2415,2.336081,1.773427,0.008673,0.000
36.3419,2.349806,1.770608,-0.009617,0.000
36.4418,2.346856,1.785086,-0.009166,0.000
36.5421,2.336547,1.800481,-0.002028,0.000
36.6433,2.354252,1.801972,-0.001203,0.000
36.7430,2.338461,1.776643,0.031133,0.000
36.8419,2.273106,1.837745,0.028274,0.000
36.9441,2.307722,1.786784,0.021172,0.000
37.0419,2.308403,1.780154,-0.000439,0.000
37.1418,2.302195,1.774086,-0.005997,0.000
37.2417,2.315049,1.778376,0.006070,0.000
37.3427,2.345360,1.784744,-0.001608,0.000
37.4422,2.302364,1.773124,0.014429,0.000
37.5436,2.324986,1.769160,0.022489,0.000
37.6451,2.303293,1.822698,0.017061,0.000
37.7441,2.329369,1.788354,0.023373,0.000
37.8417,2.318737,1.804952,0.024131,0.000
37.9434,2.305195,1.834282,0.018353,0.000
38.0414,2.321846,1.807701,0.022457,0.000
38.1428,2.298896,1.833056,0.038251,0.000
38.2434,2.345548,1.812528,0.041242,0.000
38.3429,2.310897,1.851709,0.027594,0.000
38.4421,2.333531,1.828986,0.066745,0.000
38.5419,2.355439,1.803280,0.073901,0.000
38.6423,2.380105,1.812837,0.089367,0.000
38.7429,2.362308,1.817097,0.124298,0.000
38.8419,2.364141,1.827820,0.100806,0.000
38.9426,2.371423,1.829427,0.098332,0.000
39.0426,2.421895,1.876173,0.085096,0.000
39.1421,2.381757,1.835904,0.099065,0.000
39.2420,2.391346,1.862595,0.100617,0.000
39.3430,2.428257,1.897888,0.100677,0.000
39.4421,2.412035,1.906448,0.099694,0.000
39.5429,2.422364,1.880756,0.090502,0.000
39.6417,2.418345,1.874340,0.094594,0.000
39.7419,2.424813,1.865321,0.094330,0.000
39.8419,2.436231,1.870743,0.116499,0.000
39.9428,2.436467,1.886712,0.111816,0.000
40.0419,2.405949,1.831591,0.114288,0.000
40.1419,2.377005,1.905244,0.115957,0.000
40.2414,2.404807,1.876602,0.124832,0.000
40.3428,2.435970,1.878199,0.129226,0.000
40.4417,2.448204,1.865434,0.135935,0.000
40.5431,2.417164,1.875916,0.131569,0.000
40.6447,2.402981,1.874573,0.141879,0.000
40.7415,2.432107,1.879137,0.147205,0.000
40.8473,2.365071,1.858875,0.146630,0.000
40.9433,2.381747,1.843356,0.142817,0.000
41.0429,2.333137,1.807927,0.147423,0.000
41.1421,2.370789,1.817838,0.171591,0.000
41.2443,2.375666,1.821477,0.180126,0.000
41.3415,2.366463,1.824955,0.155916,0.000
41.4429,2.377253,1.830676,0.179882,0.000
41.5436,2.369225,1.822205,0.165635,0.000
41.6420,2.374099,1.812967,0.179670,0.000
41.7417,2.407987,1.841085,0.195472,0.000
41.8421,2.396596,1.844686,0.172780,0.000
41.9416,2.331846,1.828333,0.186734,0.000
42.0453,2.361017,1.814920,0.197484,0.000
42.1418,2.366677,1.834595,0.176780,0.000
42.2423,2.345183,1.828075,0.187965,0.000
42.3438,2.319665,1.842290,0.217846,0.000
42.4432,2.312199,1.826617,0.184160,0.000
42.5418,2.384585,1.851487,0.223698,0.000
42.6427,2.346920,1.852269,0.180861,0.000
42.7416,2.322374,1.832932,0.198208,0.000
42.8426,2.352492,1.848821,0.185521,0.000
42.9423,2.385518,1.841028,0.179123,0.000
43.0420,2.367074,1.821359,0.192121,0.000
43.1422,2.394987,1.798516,0.184494,0.000
43.2449,2.394561,1.812926,0.192100,0.000
43.3436,2.395686,1.802586,0.210258,0.000
43.4416,2.392374,1.849445,0.205585,0.000
43.5432,2.400455,1.839609,0.227304,0.000
43.6439,2.387071,1.873149,0.218506,0.000
43.7426,2.409536,1.854000,0.233086,0.000
43.8443,2.375922,1.858662,0.232234,0.000
43.9420,2.402029,1.820847,0.243122,0.000
44.0426,2.383200,1.801020,0.253540,0.000
44.1417,2.353233,1.837007,0.239456,0.000
44.2418,2.399923,1.852156,0.260373,0.000
44.3421,2.406414,1.859605,0.276062,0.000
44.4441,2.415558,1.866536,0.248880,0.000
44.5419,2.403909,1.881851,0.256496,0.000
44.6429,2.411060,1.880968,0.237701,0.000
44.7424,2.378615,1.891729,0.238467,0.000
44.8422,2.423695,1.906807,0.228182,0.000
44.9433,2.393426,1.909346,0.229905,0.000
45.0421,2.372972,1.880771,0.206307,0.000
45.1427,2.356296,1.886123,0.211029,0.000
45.2417,2.370668,1.901836,0.200096,0.000
45.3429,2.346935,1.868451,0.196065,0.000
45.4452,2.312811,1.857517,0.189232,0.000
45.5428,2.335735,1.889758,0.184737,0.000
45.6416,2.343194,1.889960,0.182311,0.000
45.7441,2.348544,1.923658,0.196453,0.000
45.8446,2.318919,1.904812,0.212190,0.000
45.9425,2.321031,1.881340,0.177023,0.000
46.0415,2.330259,1.894688,0.179668,0.000
46.1418,2.317802,1.956049,0.183098,0.000
46.2445,2.331978,1.922989,0.183013,0.000
46.3426,2.365244,1.935963,0.179583,0.000
46.4414,2.346371,1.906211,0.194899,0.000
46.5415,2.325551,1.958539,0.215777,0.000
46.6427,2.348532,1.952239,0.197569,0.000
46.7445,2.323894,1.954366,0.197899,0.000
46.8422,2.347470,1.946440,0.195717,0.000
46.9419,2.335136,1.919140,0.181019,0.000
47.0428,2.358798,1.927065,0.164149,0.000
47.1429,2.382984,1.908807,0.174244,0.000
47.2418,2.396024,1.891069,0.225970,0.000
47.3436,2.414440,1.939354,0.191538,0.000
47.4423,2.442038,1.906651,0.191848,0.000
47.5417,2.385686,1.909874,0.190521,0.000
47.6422,2.450306,1.933897,0.190590,0.000
47.7412,2.417710,1.922705,0.164116,0.000
