t_sec,x,y,z,solve_ms
1.9524,0.000000,0.000000,0.000000,0.000
2.0529,0.000000,0.000000,0.000000,0.000
2.1524,0.000000,0.000000,0.000000,0.000
2.2518,0.000000,0.000000,0.000000,0.000
2.3526,0.000000,0.000000,0.000000,0.000
2.4546,2.000000,2.000000,0.000000,0.000
2.5518,2.000000,2.000000,0.000000,0.000
2.6522,2.000000,2.000000,0.000000,0.000
2.7516,2.000000,2.000000,0.000000,0.000
2.8523,2.000000,2.000000,0.000000,0.000
2.9542,2.000000,2.000000,0.000000,0.000
3.0550,2.000000,2.000000,0.000000,0.000
3.1522,2.000000,2.000000,0.000000,0.000
3.2519,2.000000,2.000000,0.000000,0.000
3.3528,2.000000,2.000000,0.000000,0.000
3.4530,2.000000,2.000000,0.000000,0.000
3.5546,2.000000,2.000000,0.000000,0.000
3.6569,2.000000,2.000000,0.000000,0.000
3.7525,2.000000,2.000000,0.000000,0.000
3.8556,2.000000,2.000000,0.000000,0.000
3.9529,2.000000,2.000000,0.000000,0.000
4.0536,2.000000,2.000000,0.000000,0.000
4.1527,2.000000,2.000000,0.000000,0.000
4.2524,2.000000,2.000000,0.000000,0.000
4.3533,2.000000,2.000000,0.000000,0.000
6.8624,2.024050,1.986663,-0.008704,0.000
6.9613,1.932767,1.999524,-0.004909,0.000
7.0621,1.989786,1.964918,0.010898,0.000
7.1610,1.971096,1.950742,0.037451,0.000
7.2639,1.984834,1.976254,0.015619,0.000
7.3613,1.982789,2.008150,0.007177,0.000
7.4634,2.001055,2.040425,0.026920,0.000
7.5606,2.051965,2.032296,0.019711,0.000
7.6622,1.986108,2.070012,0.020873,0.000
7.7630,2.022446,2.003516,0.026195,0.000
7.8606,1.992192,2.011086,0.025051,0.000
7.9608,2.055812,1.960013,0.015210,0.000
8.0616,2.053049,2.000179,0.020336,0.000
8.1605,2.059731,2.010338,0.015799,0.000
8.2602,2.073491,1.984292,0.010752,0.000
8.3627,2.034710,1.994147,0.008733,0.000
8.4604,2.078134,1.978131,0.001144,0.000
8.5615,2.056535,1.994470,0.010494,0.000
8.6599,2.074600,1.964837,0.019272,0.000
8.7601,2.037383,2.000401,0.000874,0.000
8.8624,2.029384,1.942863,0.018438,0.000
8.9626,2.017011,1.981038,0.028762,0.000
9.0603,2.027548,2.011027,0.027707,0.000
9.1625,2.028081,1.991439,0.030506,0.000
9.2603,2.000003,2.038345,0.025223,0.000
9.3618,2.036778,2.020438,0.006310,0.000
9.4610,2.060276,2.010894,-0.002075,0.000
9.5612,2.035489,2.016963,-0.005818,0.000
9.6612,2.001627,2.023639,-0.010297,0.000
9.7611,1.977262,1.987023,-0.002402,0.000
9.8656,1.965218,1.964515,-0.002479,0.000
9.9637,2.002740,1.982053,-0.000895,0.000
10.0609,1.992531,1.978101,-0.030093,0.000
10.1606,1.957822,2.003372,-0.033874,0.000
10.2614,1.962718,2.013217,-0.038790,0.000
10.3620,2.001989,2.015766,0.009271,0.000
10.4616,1.996073,2.023024,-0.001020,0.000
10.5617,1.999683,2.005370,-0.014593,0.000
10.6603,2.020662,2.046618,0.023694,0.000
10.7624,1.970340,2.028528,0.011032,0.000
10.8622,1.973025,2.043483,0.045605,0.000
10.9608,1.967622,2.005444,0.034459,0.000
11.0606,1.984592,2.037104,0.011877,0.000
11.1618,1.991126,2.050510,0.012439,0.000
11.2606,1.984168,2.048023,-0.006588,0.000
11.3606,2.010701,2.050530,0.010397,0.000
11.4619,2.034088,2.024770,0.012607,0.000
11.5629,2.011614,2.038842,0.006334,0.000
11.6636,2.027227,2.027558,0.004468,0.000
11.7608,1.991071,2.065931,0.025974,0.000
11.8605,2.008405,2.026975,0.003060,0.000
11.9609,2.005681,2.070296,0.013478,0.000
12.0604,1.996772,2.069756,0.006673,0.000
12.1624,1.995797,2.064427,-0.013401,0.000
12.2667,1.976103,2.049834,0.000714,0.000
12.3636,1.963016,2.072224,0.021045,0.000
12.4600,1.991764,2.057168,0.002297,0.000
12.5648,1.980707,2.079284,-0.005418,0.000
12.6613,1.956654,2.053488,-0.010820,0.000
12.7617,2.014901,2.075633,-0.012218,0.000
12.8603,2.017316,2.064029,0.006288,0.000
12.9607,2.046588,2.055392,0.030801,0.000
13.0612,2.052087,2.046902,0.025770,0.000
13.1607,2.042155,2.031004,0.031703,0.000
13.2604,2.028676,2.073436,0.022122,0.000
13.3614,2.072939,2.057263,0.038069,0.000
13.4606,2.028824,2.057697,0.035517,0.000
13.5610,2.000062,2.090939,0.044250,0.000
13.6609,2.002808,2.044514,0.058209,0.000
13.7621,1.985681,2.073242,0.030438,0.000
13.8629,1.999260,2.062093,0.007420,0.000
13.9610,1.991313,2.050315,0.010174,0.000
14.0611,1.995539,2.068116,0.000120,0.000
14.1618,2.014646,2.029483,-0.015195,0.000
14.2607,2.002727,2.004901,0.001028,0.000
14.3615,1.999627,2.019923,0.006689,0.000
14.4617,2.015847,2.001639,0.029701,0.000
14.5642,2.005596,2.011145,0.027898,0.000
14.6617,1.993487,2.005180,0.027683,0.000
14.7618,1.999947,2.019219,0.063309,0.000
14.8628,1.983141,2.014552,0.054727,0.000
14.9608,2.021723,2.020028,0.081981,0.000
15.0635,2.054843,2.030160,0.098373,0.000
15.1625,2.030884,2.002270,0.093947,0.000
15.2607,2.058886,2.034185,0.079486,0.000
15.3600,2.048433,2.074442,0.065387,0.000
15.4619,2.042541,2.091095,0.058027,0.000
15.5611,2.069751,2.117100,0.080510,0.000
15.6609,2.059738,2.077679,0.079786,0.000
15.7633,2.067246,2.062446,0.063422,0.000
15.8610,2.050818,2.072206,0.049577,0.000
15.9619,2.107477,2.103216,0.067694,0.000
16.0607,2.087025,2.092245,0.041893,0.000
16.1621,2.127768,2.096558,0.056928,0.000
16.2599,2.157770,2.111001,0.070969,0.000
16.3611,2.149554,2.108045,0.059679,0.000
16.4646,2.152227,2.116262,0.056994,0.000
16.5624,2.139001,2.139238,0.038250,0.000
16.6606,2.158844,2.145245,0.056457,0.000
16.7617,2.155243,2.097055,0.064446,0.000
16.8616,2.150136,2.141966,0.050040,0.000
16.9609,2.163045,2.131808,0.020502,0.000
17.0676,2.184949,2.123196,0.061654,0.000
17.1678,2.135715,2.110377,0.051304,0.000
17.2623,2.145474,2.112514,0.058749,0.000
17.3608,2.185358,2.113247,0.060471,0.000
17.4617,2.163128,2.098914,0.054153,0.000
17.5620,2.150506,2.108902,0.061154,0.000
17.6632,2.116163,2.069748,0.044886,0.000
17.7602,2.144418,2.126852,0.032280,0.000
17.8609,2.166745,2.118446,0.057112,0.000
17.9632,2.156968,2.120106,0.024784,0.000
18.0619,2.136041,2.131011,0.049927,0.000
18.1625,2.150051,2.154950,0.060969,0.000
18.2605,2.128233,2.126239,0.069171,0.000
18.3612,2.108627,2.141647,0.063960,0.000
18.4610,2.110623,2.128877,0.065663,0.000
18.5611,2.143566,2.161438,0.049008,0.000
18.6613,2.121593,2.167192,0.047177,0.000
18.7618,2.175025,2.173029,0.038580,0.000
18.8614,2.158059,2.152346,0.050211,0.000
18.9608,2.156253,2.203524,0.040654,0.000
19.0680,2.159431,2.175844,0.061594,0.000
19.1684,2.180020,2.171484,0.059555,0.000
19.2598,2.159111,2.180530,0.044378,0.000
19.3607,2.176672,2.184934,0.045286,0.000
19.4614,2.204867,2.192944,0.058738,0.000
19.5618,2.222576,2.248468,0.032108,0.000
19.6619,2.175472,2.272503,0.030055,0.000
19.7601,2.192773,2.263863,0.023909,0.000
19.8612,2.227546,2.239359,0.016464,0.000
19.9622,2.224547,2.244963,0.031669,0.000
20.0598,2.193230,2.252052,0.049093,0.000
20.1604,2.222529,2.253937,0.043568,0.000
20.2614,2.206478,2.218853,0.040726,0.000
20.3690,2.182351,2.218876,0.047975,0.000
20.4648,2.131270,2.172513,0.034030,0.000
20.5611,2.113557,2.121729,0.025983,0.000
20.6629,2.132125,2.142268,0.020530,0.000
20.7604,2.083858,2.122429,0.016998,0.000
20.8616,2.067142,2.101800,0.035817,0.000
20.9598,2.056358,2.080186,0.048222,0.000
21.0611,2.047913,2.024688,0.057578,0.000
21.1688,2.021454,2.041796,0.029821,0.000
21.2602,2.077675,2.068469,0.039696,0.000
21.3610,2.069085,2.069011,0.039448,0.000
21.4617,2.082413,2.040022,0.025307,0.000
21.5607,2.051535,2.011060,0.022003,0.000
21.6609,2.049687,2.032620,0.034560,0.000
21.7613,2.041161,2.050551,0.044483,0.000
21.8665,2.036757,2.004167,0.058311,0.000
21.9617,2.027612,1.973684,0.067094,0.000
22.0607,2.026688,1.974182,0.041988,0.000
22.1608,2.041007,1.981940,0.044886,0.000
22.2606,2.027233,1.928908,0.044637,0.000
22.3602,2.032034,1.984499,0.044720,0.000
22.4615,2.011908,1.941921,0.047057,0.000
22.5609,2.025763,1.994799,0.034432,0.000
22.6617,2.043286,1.995183,0.025645,0.000
22.7619,2.065936,1.975891,0.036610,0.000
22.8605,2.100596,1.947717,0.026289,0.000
22.9608,2.095867,1.955063,0.030080,0.000
23.0617,2.091050,1.978383,0.033541,0.000
23.1624,2.098249,1.939632,0.014862,0.000
23.2647,2.066871,1.959307,0.033599,0.000
23.3614,2.108953,1.965491,0.024803,0.000
23.4605,2.109256,1.962589,0.023404,0.000
23.5614,2.141008,1.977470,0.016036,0.000
