t_sec,x,y,z,solve_ms
1.9269,4.000000,2.000000,0.000000,0.000
2.0236,4.000000,2.000000,0.000000,0.000
2.1279,4.000000,2.000000,0.000000,0.000
2.2234,4.000000,2.000000,0.000000,0.000
2.3227,4.000000,2.000000,0.000000,0.000
2.4230,4.000000,2.000000,0.000000,0.000
2.5250,4.000000,2.000000,0.000000,0.000
2.6233,4.000000,2.000000,0.000000,0.000
2.7234,4.000000,2.000000,0.000000,0.000
2.8236,4.000000,2.000000,0.000000,0.000
2.9236,4.000000,2.000000,0.000000,0.000
3.0233,4.000000,2.000000,0.000000,0.000
3.1228,4.000000,2.000000,0.000000,0.000
3.2230,4.000000,2.000000,0.000000,0.000
3.3230,4.000000,2.000000,0.000000,0.000
3.4247,4.000000,2.000000,0.000000,0.000
3.5233,4.000000,2.000000,0.000000,0.000
3.6248,4.000000,2.000000,0.000000,0.000
3.7238,4.000000,2.000000,0.000000,0.000
3.8230,4.000000,2.000000,0.000000,0.000
3.9256,4.000000,2.000000,0.000000,0.000
4.0235,4.000000,2.000000,0.000000,0.000
4.1256,4.001542,2.034702,-0.012081,0.000
4.2239,3.980750,1.995645,-0.002473,0.000
4.3238,3.954074,1.987547,0.010165,0.000
4.4248,4.034760,1.971694,0.017439,0.000
4.5284,4.019183,1.996819,0.015692,0.000
4.6255,4.022498,1.959093,0.032115,0.000
4.7263,4.028893,1.981929,0.028671,0.000
4.8257,4.003768,1.999845,0.021175,0.000
4.9248,4.024455,2.040035,0.003392,0.000
5.0246,3.996649,2.029566,0.016426,0.000
5.1239,3.964916,2.058072,0.035441,0.000
5.2243,3.934354,2.051948,0.035165,0.000
5.3244,3.965710,2.039096,0.053444,0.000
5.4233,3.981930,2.038194,0.021202,0.000
5.5234,3.993147,2.044095,0.031448,0.000
5.6237,4.031053,2.050810,0.028999,0.000
5.7246,4.000953,2.038760,0.040811,0.000
5.8234,3.996411,2.020007,0.025528,0.000
5.9261,3.955428,1.989706,0.017229,0.000
6.0238,3.976439,1.984823,-0.001037,0.000
6.1241,3.979961,1.966067,0.013915,0.000
6.2258,3.985471,1.964184,-0.016918,0.000
6.3327,3.989119,1.986387,0.010011,0.000
6.4250,3.956244,1.974180,-0.023141,0.000
6.5256,4.000093,1.962943,0.007488,0.000
6.6237,4.032284,2.009380,-0.029795,0.000
6.7243,4.024632,2.003531,-0.012486,0.000
6.8243,3.995047,2.021605,0.006029,0.000
6.9260,3.973737,1.990498,0.006716,0.000
